frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,176.00,655.00,34.00,30.00,176.00,655.00,34.00,30.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1415,31709,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,38.6143,6.1471,209,0,2,0.7464,176.00,656.41,34.00,30.00,177.00,656.50,36.00,29.00,0.9147,1.00,1,0,3.2674,ACCEPT,0,241,1364,25325,0,0,209,0,0,0,0
2,0,1,1,ACCEPT,18.2906,2.1860,188,2,3,0.3883,177.59,658.52,34.00,30.00,177.00,662.00,38.00,26.00,0.7097,3.53,1,0,3.1058,ACCEPT,0,548,1179,19828,0,0,188,0,0,0,0
3,0,1,1,ACCEPT,9.4043,1.0928,106,1,1,0.8679,178.39,659.22,34.00,30.00,178.00,666.50,36.00,23.00,0.5470,7.29,1,0,3.1661,ACCEPT,0,530,1169,20114,0,0,106,0,0,0,0
4,0,1,1,ACCEPT,8.1833,1.2718,131,-1,1,0.9160,177.59,659.92,34.00,30.00,179.50,667.00,37.00,22.00,0.5304,7.33,1,0,3.2680,ACCEPT,0,756,1139,28142,0,0,131,0,0,0,0
5,0,1,1,ACCEPT,8.6949,1.1006,186,11,20,0.3763,186.36,673.98,34.00,30.00,179.50,669.50,37.00,23.00,0.5083,8.20,1,0,2.7623,ACCEPT,0,727,1128,32767,0,0,186,0,0,0,0
6,0,1,1,ACCEPT,12.2772,1.3011,363,-2,-6,0.0882,184.77,669.77,32.69,28.85,179.50,669.50,37.00,25.00,0.6553,5.27,1,-1,2.4309,ACCEPT,0,907,894,32767,0,0,363,0,0,0,0
7,0,1,1,ACCEPT,15.4340,2.3102,566,-6,-7,0.0689,180.17,665.01,31.43,27.74,176.50,666.00,39.00,34.00,0.6575,3.80,1,-1,2.7004,ACCEPT,0,1019,1015,32767,0,0,566,0,0,0,0
8,0,1,1,ACCEPT,17.8015,2.6947,768,-1,-5,0.0339,179.44,661.77,31.43,27.74,175.00,663.00,44.00,32.00,0.6192,4.61,1,0,2.8439,ACCEPT,0,1259,1165,22348,0,0,768,0,0,0,0
9,0,1,1,ACCEPT,10.6230,1.6059,713,2,-5,0.4390,180.91,658.52,31.43,27.74,174.50,657.50,45.00,27.00,0.6579,6.49,1,-16,1.7103,AT_SEARCH_RAIL,0,1779,963,24088,0,0,713,0,0,0,0
10,0,1,1,ACCEPT,12.1565,1.7979,872,3,-2,0.5023,183.11,657.23,31.43,27.74,175.00,647.50,38.00,27.00,0.3286,12.66,1,-3,2.8221,MAX_STEP,0,2332,1066,21119,0,0,872,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-7.7757,1.0238,-474,8,5,0.1245,183.11,657.23,31.43,27.74,174.50,639.50,37.00,31.00,0.1732,19.71,0,0,0.0000,NOT_RUN,0,2045,869,0,0,0,474,0,0,0,0
12,0,1,1,ACCEPT,7.3899,1.0430,364,7,-7,0.0082,188.25,652.69,30.23,26.67,172.50,633.50,35.00,35.00,0.1071,24.82,1,-1,2.5548,ACCEPT,0,2302,1130,12345,0,0,364,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-10.3305,1.2819,-523,0,2,0.6558,188.25,652.69,30.23,26.67,171.50,637.50,39.00,39.00,0.1567,22.61,0,0,0.0000,NOT_RUN,0,1468,1666,0,0,0,523,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-9.7854,1.1290,-525,-5,7,0.4267,188.25,652.69,30.23,26.67,170.00,645.00,36.00,40.00,0.2044,19.80,0,0,0.0000,NOT_RUN,0,1680,2119,0,0,0,525,0,0,0,0
15,0,1,1,ACCEPT,9.8077,1.2463,506,-10,-5,0.1700,181.14,649.56,30.23,26.67,169.50,650.00,37.00,46.00,0.3049,11.65,1,4,2.3905,MAX_STEP,0,1996,2463,10278,0,0,506,0,0,0,0
16,0,1,1,ACCEPT,11.1623,1.2288,725,2,14,0.2538,182.56,658.31,29.06,25.64,171.00,659.50,36.00,39.00,0.3337,11.62,1,-1,2.4248,ACCEPT,0,2241,1481,9685,0,0,725,0,0,0,0
