frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,155.00,497.00,104.00,60.00,155.00,497.00,104.00,60.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,696,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,101.5180,16.8400,421,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,497.50,102.00,57.00,0.9142,2.06,1,0,3.2520,ACCEPT,0,308,708,32767,0,0,421,0,0,0,0
2,0,1,1,ACCEPT,81.0119,13.1290,407,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,498.50,102.00,59.00,0.9153,2.50,1,0,3.1242,ACCEPT,0,295,720,32767,0,0,407,0,0,0,0
3,0,1,1,ACCEPT,64.6320,11.2326,483,0,0,1.0000,155.00,497.00,104.00,60.00,152.00,499.50,102.00,59.00,0.8692,3.91,1,0,2.9482,ACCEPT,0,391,679,32767,0,0,483,0,0,0,0
4,0,1,1,ACCEPT,55.1180,9.9808,519,0,0,1.0000,155.00,497.00,104.00,60.00,151.50,501.50,103.00,59.00,0.8068,5.70,1,0,2.8054,ACCEPT,0,488,700,32766,0,0,519,0,0,0,0
5,0,1,1,ACCEPT,49.7663,7.7576,512,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,501.00,104.00,60.00,0.8140,5.66,1,0,2.6986,ACCEPT,0,517,785,32767,0,0,512,0,0,0,0
6,0,1,1,ACCEPT,44.8004,7.0769,552,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,2.6768,ACCEPT,0,579,739,32767,0,0,552,0,0,0,0
7,0,1,1,ACCEPT,43.1802,7.3605,633,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,2.7379,ACCEPT,0,578,705,30925,0,0,633,0,0,0,0
8,0,1,1,ACCEPT,40.9679,7.1569,730,0,0,1.0000,155.00,497.00,104.00,60.00,150.50,503.00,109.00,58.00,0.7554,7.50,1,0,2.8083,ACCEPT,0,730,741,29660,0,0,730,0,0,0,0
9,0,1,1,ACCEPT,41.2081,6.5046,709,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,504.50,103.00,57.00,0.6786,10.61,1,0,2.7602,ACCEPT,0,741,711,29016,0,0,709,0,0,0,0
10,0,1,1,ACCEPT,39.1766,5.4640,683,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,506.50,103.00,55.00,0.6315,12.10,1,0,2.7929,ACCEPT,0,685,720,32767,0,0,683,0,0,0,0
11,0,1,1,ACCEPT,37.1084,6.3545,699,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,507.00,103.00,54.00,0.6189,12.50,1,0,2.7405,ACCEPT,0,733,721,32767,0,0,699,0,0,0,0
