frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,98.00,60.50,82.00,75.00,98.00,60.50,82.00,75.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3433,13773,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,53.9551,10.0267,752,1,3,0.3684,99.92,65.77,82.00,75.00,101.00,69.00,82.00,70.00,0.8920,3.40,1,0,3.1870,ACCEPT,0,450,2944,20594,0,0,752,0,0,0,0
2,0,1,1,ACCEPT,30.0906,3.2653,960,3,3,0.1469,105.69,71.05,82.00,75.00,106.00,73.50,84.00,69.00,0.8998,2.47,1,0,3.0378,ACCEPT,0,819,2371,22794,0,0,960,0,0,0,0
3,0,1,1,ACCEPT,21.2540,2.4349,879,3,3,0.0887,111.45,76.32,82.00,75.00,111.50,82.00,81.00,62.00,0.8166,5.68,1,0,2.9270,ACCEPT,0,1506,2052,22340,0,0,879,0,0,0,0
4,0,1,1,ACCEPT,19.8276,2.8731,951,3,4,0.1104,117.22,83.35,78.85,72.12,115.50,91.00,77.00,62.00,0.7631,7.84,1,-1,2.8190,ACCEPT,0,1295,1696,28103,0,0,951,0,0,0,0
5,0,1,1,ACCEPT,16.3624,2.1545,948,-1,5,0.0243,115.37,91.79,78.85,72.12,119.00,100.50,82.00,63.00,0.7135,9.44,1,0,2.7646,ACCEPT,0,1587,1682,25896,0,0,948,0,0,0,0
6,0,1,1,ACCEPT,16.5972,2.7254,943,0,6,0.0657,115.37,101.91,78.85,72.12,123.00,109.50,80.00,67.00,0.6744,10.76,1,0,2.9069,ACCEPT,0,1461,1634,26299,0,0,943,0,0,0,0
7,0,1,1,ACCEPT,14.5892,2.3651,894,1,4,0.1644,117.22,108.66,78.85,72.12,125.50,117.50,77.00,65.00,0.6367,12.11,1,0,2.7248,ACCEPT,0,1890,1601,23732,0,0,894,0,0,0,0
8,0,1,1,ACCEPT,13.2222,1.8397,769,2,4,0.1417,120.92,115.41,78.85,72.12,126.50,125.00,81.00,66.00,0.6688,11.09,1,0,2.7376,ACCEPT,0,1670,1686,18884,0,0,769,0,0,0,0
9,0,1,1,ACCEPT,16.2136,1.8508,918,2,6,0.0523,124.62,125.54,78.85,72.12,132.00,138.00,78.00,70.00,0.5962,14.48,1,0,2.9865,ACCEPT,0,1598,1836,16570,0,0,918,0,0,0,0
