frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,437.50,415.50,107.00,9.00,437.50,415.50,107.00,9.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,346,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,10.7064,1.6667,10,-1,-24,0.2000,434.99,410.44,107.00,9.00,436.00,409.00,108.00,14.00,0.6320,1.76,1,0,3.3220,ACCEPT,0,52,418,29937,0,0,10,0,0,0,0
2,0,1,0,NEGATIVE_PEAK,-5.4630,1.1429,-8,6,18,0.3750,434.99,410.44,107.00,9.00,437.00,398.50,110.00,15.00,0.0026,12.11,0,0,0.0000,NOT_RUN,0,61,469,0,0,0,8,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-5.1215,1.0000,-7,9,-1,0.7143,434.99,410.44,107.00,9.00,445.50,392.50,105.00,23.00,0.0000,20.79,0,0,0.0000,NOT_RUN,0,63,630,0,0,0,8,0,0,0,0
4,0,1,0,NEGATIVE_PEAK,-6.2655,1.4444,-13,13,9,0.1538,434.99,410.44,107.00,9.00,455.50,394.00,111.00,30.00,0.0674,26.28,0,0,0.0000,NOT_RUN,0,222,548,0,0,0,13,0,0,0,0
5,0,1,0,NEGATIVE_PEAK,-4.0096,1.0000,-5,2,0,0.6000,434.99,410.44,107.00,9.00,455.50,408.00,115.00,30.00,0.2263,20.65,0,0,0.0000,NOT_RUN,0,45,1461,0,0,0,6,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-5.4374,1.0000,-7,41,-1,0.4286,434.99,410.44,107.00,9.00,457.50,411.50,115.00,31.00,0.2134,22.53,0,0,0.0000,NOT_RUN,0,46,1434,0,0,0,8,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-5.9398,1.2857,-9,9,0,0.0000,434.99,410.44,107.00,9.00,457.50,420.00,113.00,30.00,0.2208,24.45,0,0,0.0000,NOT_RUN,0,84,941,0,0,0,9,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-5.7007,1.3333,-4,0,0,1.0000,434.99,410.44,107.00,9.00,454.00,440.50,116.00,33.00,0.0000,35.57,0,0,0.0000,NOT_RUN,0,34,550,0,0,0,5,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.2666,1.0000,-4,5,-3,0.5000,434.99,410.44,107.00,9.00,455.00,455.50,118.00,25.00,0.0000,49.30,0,0,0.0000,NOT_RUN,0,45,410,0,0,0,4,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-4.3612,1.0000,-4,5,-2,0.0000,434.99,410.44,107.00,9.00,456.00,460.50,118.00,21.00,0.0000,54.29,0,0,0.0000,NOT_RUN,0,37,345,0,0,0,5,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-3.8825,1.0000,-3,2,0,0.6667,434.99,410.44,107.00,9.00,450.00,460.00,120.00,24.00,0.0000,51.78,0,0,0.0000,NOT_RUN,0,32,324,0,0,0,4,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-6.5336,1.6667,-5,15,0,0.4000,434.99,410.44,107.00,9.00,446.50,461.50,117.00,27.00,0.0000,52.34,0,0,0.0000,NOT_RUN,0,40,500,0,0,0,6,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-6.4817,1.2500,-5,-1,0,0.8000,434.99,410.44,107.00,9.00,443.50,464.50,121.00,29.00,0.0000,54.73,0,0,0.0000,NOT_RUN,0,36,304,0,0,0,5,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-4.7734,1.0000,-4,14,-1,0.7500,434.99,410.44,107.00,9.00,435.50,486.00,119.00,28.00,0.0000,75.56,0,0,0.0000,NOT_RUN,0,34,397,0,0,0,5,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-5.7702,1.2500,-5,-20,-1,0.4000,434.99,410.44,107.00,9.00,423.00,507.50,126.00,25.00,0.0000,97.80,0,0,0.0000,NOT_RUN,0,31,318,0,0,0,5,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-6.1199,1.5000,-6,0,-1,0.8333,434.99,410.44,107.00,9.00,424.00,519.50,124.00,25.00,0.0000,109.62,0,0,0.0000,NOT_RUN,0,45,399,0,0,0,6,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-7.1589,1.1429,-8,24,0,0.3750,434.99,410.44,107.00,9.00,427.50,519.00,119.00,24.00,0.0000,108.82,0,0,0.0000,NOT_RUN,0,48,316,0,0,0,9,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-6.4457,1.4000,-7,33,0,0.1429,434.99,410.44,107.00,9.00,426.50,517.00,117.00,28.00,0.0000,106.90,0,0,0.0000,NOT_RUN,0,49,240,0,0,0,8,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-6.2207,1.1667,-7,32,0,0.2857,434.99,410.44,107.00,9.00,422.50,522.00,117.00,30.00,0.0000,112.26,0,0,0.0000,NOT_RUN,0,43,518,0,0,0,8,0,0,0,0
20,0,1,1,ACCEPT,6.0787,1.1429,8,5,-19,0.6250,447.53,406.43,107.00,9.00,425.00,526.50,116.00,31.00,0.0000,122.17,1,12,1.4179,MAX_STEP,0,72,690,13960,0,0,8,0,0,0,0
21,0,1,0,NEGATIVE_PEAK,-11.4125,1.6250,-13,7,-5,0.1538,447.53,406.43,107.00,9.00,428.00,536.50,114.00,31.00,0.0000,131.53,0,0,0.0000,NOT_RUN,0,54,666,0,0,0,13,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-5.8710,1.2000,-6,0,-1,0.8333,447.53,406.43,107.00,9.00,431.50,547.50,113.00,27.00,0.0000,141.98,0,0,0.0000,NOT_RUN,0,48,511,0,0,0,6,0,0,0,0
23,0,1,0,NEGATIVE_PEAK,-9.1299,1.2500,-10,24,-1,0.7000,447.53,406.43,107.00,9.00,439.00,553.00,112.00,24.00,0.0000,146.82,0,0,0.0000,NOT_RUN,0,43,448,0,0,0,10,0,0,0,0
24,0,1,0,NEGATIVE_PEAK,-7.8092,1.0000,-8,1,-24,0.7500,447.53,406.43,107.00,9.00,442.00,563.00,122.00,24.00,0.0000,156.67,0,0,0.0000,NOT_RUN,0,47,515,0,0,0,8,0,0,0,0
25,0,1,0,NEGATIVE_PEAK,-7.6946,1.1250,-9,2,0,0.8889,447.53,406.43,107.00,9.00,444.00,573.00,114.00,28.00,0.0000,166.61,0,0,0.0000,NOT_RUN,0,42,475,0,0,0,10,0,0,0,0
26,0,1,0,NEGATIVE_PEAK,-8.1847,1.0833,-13,7,-1,0.4615,447.53,406.43,107.00,9.00,440.50,578.50,117.00,33.00,0.0000,172.21,0,0,0.0000,NOT_RUN,0,62,313,0,0,0,13,0,0,0,0
27,0,1,0,NEGATIVE_PEAK,-8.9219,1.2727,-14,15,0,0.2857,447.53,406.43,107.00,9.00,430.50,584.50,109.00,41.00,0.0000,178.88,0,0,0.0000,NOT_RUN,0,76,386,0,0,0,15,0,0,0,0
28,0,1,0,NEGATIVE_PEAK,-8.1912,1.1000,-11,-13,-1,0.2727,447.53,406.43,107.00,9.00,424.00,588.00,108.00,48.00,0.0000,183.09,0,0,0.0000,NOT_RUN,0,47,476,0,0,0,11,0,0,0,0
29,0,1,0,NEGATIVE_PEAK,-8.2660,1.0000,-12,15,-5,0.1667,447.53,406.43,107.00,9.00,417.00,582.00,104.00,48.00,0.0000,178.21,0,0,0.0000,NOT_RUN,0,55,980,0,0,0,12,0,0,0,0
30,0,1,0,NEGATIVE_PEAK,-8.6292,1.5000,-9,23,0,0.3333,447.53,406.43,107.00,9.00,418.00,578.50,100.00,47.00,0.0000,174.59,0,0,0.0000,NOT_RUN,0,45,902,0,0,0,9,0,0,0,0
31,0,1,0,NEGATIVE_PEAK,-5.3927,1.0000,-5,2,-39,0.8000,447.53,406.43,107.00,9.00,423.00,567.00,100.00,48.00,0.0000,162.43,0,0,0.0000,NOT_RUN,0,47,428,0,0,0,6,0,0,0,0
32,0,1,0,NEGATIVE_PEAK,-5.0936,1.3333,-4,0,0,1.0000,447.53,406.43,107.00,9.00,423.00,574.50,94.00,45.00,0.0000,169.85,0,0,0.0000,NOT_RUN,0,40,409,0,0,0,6,0,0,0,0
33,0,1,0,NEGATIVE_PEAK,-6.0536,1.0000,-6,19,-5,0.6667,447.53,406.43,107.00,9.00,417.50,575.00,93.00,50.00,0.0000,171.22,0,0,0.0000,NOT_RUN,0,43,353,0,0,0,6,0,0,0,0
34,0,1,0,NEGATIVE_PEAK,-7.9286,1.2000,-12,17,-1,0.4167,447.53,406.43,107.00,9.00,410.50,582.00,93.00,56.00,0.0000,179.43,0,0,0.0000,NOT_RUN,0,68,770,0,0,0,13,0,0,0,0
35,0,1,0,NEGATIVE_PEAK,-6.8615,1.0000,-10,7,-20,0.6000,447.53,406.43,107.00,9.00,409.50,583.00,89.00,54.00,0.0000,180.62,0,0,0.0000,NOT_RUN,0,59,561,0,0,0,10,0,0,0,0
36,0,1,0,NEGATIVE_PEAK,-7.4342,1.0000,-10,13,-1,0.4000,447.53,406.43,107.00,9.00,410.00,574.50,94.00,53.00,0.0000,172.21,0,0,0.0000,NOT_RUN,0,51,1156,0,0,0,10,0,0,0,0
37,0,1,0,NEGATIVE_PEAK,-8.5737,1.2000,-6,27,-1,0.3333,447.53,406.43,107.00,9.00,403.00,581.50,90.00,47.00,0.0000,180.65,0,0,0.0000,NOT_RUN,0,25,546,0,0,0,7,0,0,0,0
38,0,1,0,NEGATIVE_PEAK,-9.3892,2.0000,-6,41,0,0.5000,447.53,406.43,107.00,9.00,399.50,585.00,85.00,42.00,0.0000,184.92,0,0,0.0000,NOT_RUN,0,25,445,0,0,0,7,0,0,0,0
39,0,1,0,NEGATIVE_PEAK,-8.8503,1.1667,-7,-11,0,0.4286,447.53,406.43,107.00,9.00,383.00,578.50,90.00,41.00,0.0000,183.77,0,0,0.0000,NOT_RUN,0,26,703,0,0,0,7,0,0,0,0
40,0,1,0,NEGATIVE_PEAK,-4.9780,1.0000,-4,9,0,0.5000,447.53,406.43,107.00,9.00,378.50,573.00,87.00,40.00,0.0000,180.31,0,0,0.0000,NOT_RUN,0,26,471,0,0,0,5,0,0,0,0
41,0,1,0,NEGATIVE_PEAK,-5.6088,1.0000,-5,1,-24,0.2000,447.53,406.43,107.00,9.00,380.00,573.00,90.00,42.00,0.0000,179.74,0,0,0.0000,NOT_RUN,0,37,414,0,0,0,5,0,0,0,0
42,0,1,0,NEGATIVE_PEAK,-7.7225,1.5000,-6,9,-6,0.6667,447.53,406.43,107.00,9.00,404.00,578.50,90.00,41.00,0.0000,177.49,0,0,0.0000,NOT_RUN,0,30,454,0,0,0,6,0,0,0,0
43,0,1,0,NEGATIVE_PEAK,-6.5469,1.2000,-6,11,-5,0.8333,447.53,406.43,107.00,9.00,404.50,576.00,91.00,42.00,0.0000,174.95,0,0,0.0000,NOT_RUN,0,31,424,0,0,0,6,0,0,0,0
