frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,196.50,196.50,45.00,37.00,196.50,196.50,45.00,37.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4225,5551,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,5.9836,1.3500,27,1,-1,0.7407,197.20,195.92,45.00,37.00,150.50,202.50,43.00,39.00,0.0000,47.16,1,-2,1.4881,LOW_CONF,0,177,4111,4845,0,0,27,0,0,0,0,0.3193
2,0,1,1,ACCEPT,13.7708,2.7059,46,1,1,0.6522,197.91,196.50,43.27,35.58,125.00,208.50,42.00,37.00,0.0000,73.89,1,-1,2.0542,ACCEPT,0,72,3415,3627,0,0,46,0,0,0,0,0.3383
3,0,1,1,ACCEPT,14.6815,2.9375,47,-1,-1,0.7447,197.23,195.95,41.61,34.21,114.00,215.50,42.00,37.00,0.0000,85.49,1,-1,2.2588,ACCEPT,0,74,3454,3504,0,0,47,0,0,0,0,0.3249
4,0,1,1,ACCEPT,11.0438,1.8571,39,1,2,0.4872,197.88,197.01,40.00,32.89,120.00,222.50,40.00,37.00,0.0000,81.94,1,-1,2.7101,ACCEPT,0,94,2940,5520,0,0,39,0,0,0,0,0.3558
5,0,1,1,ACCEPT,10.5130,1.5588,53,1,1,0.6792,198.50,197.52,40.00,32.89,143.00,229.00,44.00,38.00,0.0000,63.80,1,0,2.8130,ACCEPT,0,136,2908,6455,0,0,53,0,0,0,0,0.3630
6,0,1,1,ACCEPT,13.0462,2.2703,84,-1,-1,0.9167,197.88,197.01,40.00,32.89,183.00,235.50,44.00,41.00,0.0000,41.27,1,0,2.8721,ACCEPT,0,162,3051,4703,0,0,84,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,17.0954,2.8857,101,1,1,0.8218,198.50,197.52,40.00,32.89,239.00,239.50,44.00,39.00,0.0000,58.33,1,0,2.9785,ACCEPT,0,186,2538,5762,0,0,101,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,18.9997,3.4545,114,0,-1,0.8596,198.50,197.01,40.00,32.89,304.00,246.50,48.00,43.00,0.0000,116.53,1,0,2.8914,ACCEPT,0,148,2562,5603,0,0,114,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,19.7673,3.1282,122,-1,1,0.8115,197.88,197.52,40.00,32.89,356.00,246.50,42.00,43.00,0.0000,165.54,1,0,3.0372,ACCEPT,0,158,2102,6788,0,0,122,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,23.3941,3.4762,146,1,-1,0.7740,198.50,197.01,40.00,32.89,284.50,241.50,45.00,45.00,0.0000,96.83,1,0,2.9508,ACCEPT,0,182,2106,7937,0,0,146,0,0,0,0,-1.0000
