frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,213.00,108.00,52.00,265.00,213.00,108.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1285,24298,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,32.5317,6.4222,289,0,-2,0.7370,265.00,211.38,108.00,52.00,267.00,211.00,112.00,52.00,0.9507,2.03,1,0,3.1886,ACCEPT,0,436,1359,21515,0,0,289,0,0,0,0,0.6580
2,0,1,1,ACCEPT,15.3880,2.1475,262,1,-1,0.9504,266.69,210.56,108.00,52.00,269.50,210.00,111.00,50.00,0.9147,2.87,1,0,2.8072,ACCEPT,0,735,1170,14241,0,0,262,0,0,0,0,0.7053
3,0,1,1,ACCEPT,13.7473,2.0783,239,0,-3,0.4728,266.69,208.12,103.85,50.00,270.00,206.00,112.00,50.00,0.8541,3.94,1,-1,2.5633,ACCEPT,0,712,1250,13655,0,0,239,0,0,0,0,0.7273
4,0,1,1,ACCEPT,12.1033,2.1471,219,1,-1,0.7945,268.31,207.34,103.85,50.00,274.00,201.50,110.00,57.00,0.7268,8.15,1,0,2.3433,ACCEPT,0,497,1092,15563,0,0,219,0,0,0,0,0.7595
5,0,1,1,ACCEPT,10.9167,1.4157,235,2,-3,0.5106,271.56,205.00,99.85,48.08,277.50,196.50,111.00,61.00,0.6551,10.37,1,-1,2.2106,ACCEPT,0,535,1186,16761,0,0,235,0,0,0,0,0.7614
6,0,1,1,ACCEPT,9.7451,1.5060,250,0,-2,0.5000,271.56,203.50,99.85,48.08,279.00,195.00,110.00,60.00,0.6378,11.29,1,0,1.5239,LOW_CONF,0,717,1215,13211,0,0,250,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,9.1307,1.2000,228,2,-3,0.2895,274.69,201.25,99.85,48.08,282.00,199.50,106.00,53.00,0.7896,7.52,1,-9,1.5316,MAX_STEP,0,707,1326,11386,0,0,228,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,6.7756,1.1797,151,1,1,0.7616,276.25,202.00,99.85,48.08,282.50,193.00,103.00,66.00,0.6507,10.96,1,9,1.8674,MAX_STEP,0,630,1394,9048,0,0,151,0,0,0,0,-1.0000
9,0,1,0,NEGATIVE_PEAK,-6.3747,1.0685,-156,35,-1,0.8205,276.25,202.00,99.85,48.08,282.50,193.00,101.00,66.00,0.6516,10.96,0,0,0.0000,NOT_RUN,0,809,1192,0,0,0,156,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,5.7233,1.0588,144,23,4,0.7014,312.19,205.00,99.85,48.08,285.00,194.50,106.00,69.00,0.4292,29.14,1,0,2.3464,ACCEPT,0,866,1073,9869,0,0,144,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,9.0013,1.0922,308,1,1,0.8896,313.75,205.75,99.85,48.08,283.00,210.00,98.00,46.00,0.4564,31.04,1,0,2.0857,ACCEPT,0,991,2292,7122,0,0,308,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,11.4533,1.4337,357,-1,-1,0.8768,312.19,205.00,99.85,48.08,282.50,214.00,101.00,46.00,0.3983,31.02,1,0,2.1891,ACCEPT,0,1020,2188,8346,0,0,357,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,13.2074,1.6783,480,1,0,0.9812,313.75,205.00,99.85,48.08,285.50,206.50,109.00,67.00,0.4339,28.29,1,0,1.7777,LOW_CONF,0,1095,2261,8257,0,0,480,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,16.2200,2.0658,628,-1,-1,0.8869,312.19,204.25,99.85,48.08,284.00,205.00,108.00,84.00,0.3559,28.20,1,0,2.0481,ACCEPT,0,1254,2424,8441,0,0,628,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,14.5326,2.2548,584,0,0,1.0000,312.19,204.25,99.85,48.08,282.50,208.50,109.00,65.00,0.4333,29.99,1,0,1.8478,LOW_CONF,0,1184,2577,6666,0,0,584,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,13.4019,2.7325,429,1,-1,0.9534,313.75,203.50,99.85,48.08,281.50,212.00,115.00,72.00,0.3818,33.35,1,0,2.0928,ACCEPT,0,1071,2469,6786,0,0,429,0,0,0,0,-1.0000
