frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,80.00,245.00,64.00,82.00,80.00,245.00,64.00,82.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2401,17476,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,19.4905,3.0526,116,18,-18,0.1638,98.00,221.94,64.00,82.00,97.50,212.00,69.00,84.00,0.7343,9.95,1,0,2.8523,ACCEPT,0,245,2339,17096,0,0,116,0,0,0,0,0.3770
2,0,1,1,ACCEPT,9.9224,1.0696,123,34,-15,0.1626,132.00,202.72,64.00,82.00,125.00,177.00,82.00,92.00,0.4422,26.65,1,-1,1.9073,LOW_CONF,0,361,1611,19170,0,0,123,0,0,0,0,0.4519
3,0,1,1,ACCEPT,10.7514,1.2101,144,27,-14,0.1806,159.00,184.78,64.00,82.00,137.50,149.50,93.00,91.00,0.2705,41.32,1,0,2.2429,ACCEPT,0,349,2486,15922,0,0,144,0,0,0,0,0.4574
4,0,1,0,NEGATIVE_PEAK,-5.5347,1.0476,-88,14,-35,0.3182,159.00,184.78,64.00,82.00,138.50,124.50,97.00,89.00,0.1223,63.67,0,0,0.0000,NOT_RUN,0,378,3911,0,0,0,88,0,0,0,0,-1.0000
5,0,1,1,ACCEPT,6.4184,1.0217,94,4,-25,0.1702,163.00,152.75,64.00,82.00,143.00,105.50,84.00,81.00,0.1813,51.31,1,0,2.8611,ACCEPT,0,404,3217,10610,0,0,94,0,0,0,0,0.4683
6,0,1,1,ACCEPT,8.3324,1.1017,195,18,-2,0.1436,181.00,150.19,64.00,82.00,161.00,98.00,84.00,62.00,0.1140,55.89,1,-1,1.7839,LOW_CONF,0,559,2033,14494,0,0,195,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,10.9650,1.5762,331,10,1,0.1208,191.00,151.47,64.00,82.00,172.00,102.00,82.00,70.00,0.1499,52.99,1,0,2.2419,ACCEPT,0,687,2466,12558,0,0,331,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,13.7184,1.3440,336,14,1,0.1101,205.00,152.75,64.00,82.00,185.00,113.50,92.00,91.00,0.2519,44.05,1,0,2.8501,ACCEPT,0,860,1971,10680,0,0,336,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,7.3544,1.0559,170,36,-45,0.0294,241.00,95.09,64.00,82.00,185.50,151.50,69.00,83.00,0.0269,79.13,1,0,3.1449,ACCEPT,0,645,1433,12571,0,0,170,0,0,0,0,-1.0000
