frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,387.50,169.00,107.00,76.00,387.50,169.00,107.00,76.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3173,24440,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,16.4892,3.1463,645,0,0,1.0000,387.50,169.00,107.00,76.00,383.50,169.00,119.00,76.00,0.8992,4.00,1,0,2.4521,ACCEPT,0,1622,3420,20735,0,0,645,0,0,0,0,0.7070
2,0,1,1,ACCEPT,9.1386,1.6992,418,-1,0,0.9952,385.83,169.00,107.00,76.00,381.00,165.50,126.00,67.00,0.7623,5.96,1,9,1.7742,MAX_STEP,0,2815,3950,26315,0,0,418,0,0,0,0,0.7298
3,0,1,0,NEGATIVE_PEAK,-5.5685,1.0750,-258,-31,7,0.5775,385.83,169.00,107.00,76.00,381.50,165.00,121.00,76.00,0.8005,5.89,0,0,0.0000,NOT_RUN,0,1290,3576,0,0,0,258,0,0,0,0,-1.0000
4,0,1,1,ACCEPT,6.4640,1.1417,290,2,2,0.3241,389.17,171.38,111.28,79.04,379.00,168.00,100.00,96.00,0.6955,10.72,1,1,2.0384,ACCEPT,0,1164,2943,26785,0,0,290,0,0,0,0,0.7808
5,0,1,1,ACCEPT,14.9111,2.5442,547,-2,0,0.6307,385.69,171.38,111.28,79.04,386.00,167.00,74.00,94.00,0.5906,4.39,1,0,3.3224,ACCEPT,0,1096,2614,30614,0,0,547,0,0,0,0,0.7690
6,0,1,1,ACCEPT,12.5274,2.1572,645,-1,1,0.9178,383.95,172.61,115.73,82.20,381.00,172.00,54.00,104.00,0.4152,3.01,1,1,2.9073,ACCEPT,0,1808,2359,24905,0,0,645,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,10.7975,2.0157,514,-1,-1,0.8696,382.14,171.33,115.73,82.20,370.00,178.00,58.00,104.00,0.4424,13.85,1,7,2.1452,MAX_STEP,0,1337,2311,25251,0,0,514,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,11.6097,1.9573,550,0,2,0.7836,382.14,173.89,115.73,82.20,351.00,164.00,72.00,96.00,0.4337,32.67,1,0,2.4409,ACCEPT,0,1383,2015,22352,0,0,550,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,15.4893,2.5956,584,-1,-1,0.9675,380.34,172.61,115.73,82.20,321.50,157.00,115.00,80.00,0.2466,60.87,1,0,3.2883,ACCEPT,0,1119,1915,24978,0,0,584,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,20.2394,4.4371,741,1,1,0.9825,382.14,173.89,115.73,82.20,304.50,165.00,141.00,68.00,0.2133,78.15,1,0,3.4125,ACCEPT,0,1173,1650,24495,0,0,741,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,23.5198,5.0000,825,-1,0,0.9552,380.34,173.89,115.73,82.20,295.00,166.50,136.00,65.00,0.1676,85.66,1,0,3.4798,ACCEPT,0,1060,1819,23124,0,0,825,0,0,0,0,-1.0000
