frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,169.00,182.00,334.00,96.00,169.00,182.00,334.00,96.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2678,11235,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,41.5905,6.0833,73,0,-1,0.9863,169.00,180.50,334.00,96.00,170.00,184.00,334.00,94.00,0.9236,3.64,1,0,3.2320,ACCEPT,0,67,2473,7978,0,0,73,0,0,0,0,0.6651
2,0,1,1,ACCEPT,22.2643,2.7895,106,0,-2,0.9340,169.00,177.50,334.00,96.00,170.00,181.00,336.00,94.00,0.9237,3.64,1,0,3.1040,ACCEPT,0,147,2377,8463,0,0,106,0,0,0,0,0.7016
3,0,1,1,ACCEPT,20.5969,1.6533,124,0,0,1.0000,169.00,177.50,334.00,96.00,171.00,179.00,334.00,94.00,0.9576,2.50,1,0,2.9581,ACCEPT,0,187,2171,7670,0,0,124,0,0,0,0,0.7214
4,0,1,1,ACCEPT,22.6357,2.5424,150,-1,-1,0.9200,163.78,176.00,334.00,96.00,171.50,174.00,335.00,94.00,0.9164,7.97,1,0,2.7848,ACCEPT,0,221,2049,7311,0,0,150,0,0,0,0,0.7408
5,0,1,1,ACCEPT,17.3620,2.3281,149,0,0,1.0000,163.78,176.00,334.00,96.00,175.00,172.50,326.00,89.00,0.8675,11.75,1,0,2.8382,ACCEPT,0,342,1774,7505,0,0,149,0,0,0,0,0.7672
6,0,1,1,ACCEPT,17.4308,2.7273,210,1,0,0.9810,169.00,176.00,334.00,96.00,174.50,173.50,331.00,97.00,0.9194,6.04,1,0,2.7453,ACCEPT,0,367,1743,7772,0,0,210,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,20.4360,2.7757,297,1,0,0.9495,174.22,176.00,321.15,92.31,184.00,178.00,314.00,106.00,0.8231,9.98,1,-1,2.7116,ACCEPT,0,373,1717,9388,0,0,297,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,16.7452,2.4154,314,0,-2,0.7357,174.22,173.11,321.15,92.31,194.00,176.50,296.00,109.00,0.7562,20.07,1,0,2.8384,ACCEPT,0,527,1695,9694,0,0,314,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,19.7205,3.0645,380,0,-1,0.8605,174.22,171.66,321.15,92.31,201.50,169.00,283.00,102.00,0.7653,27.41,1,0,2.8915,ACCEPT,0,583,1653,10921,0,0,380,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,19.7292,2.6646,421,0,-2,0.6200,174.22,168.77,321.15,92.31,205.50,160.50,279.00,97.00,0.6933,32.36,1,0,3.1491,ACCEPT,0,617,1609,9771,0,0,421,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,18.3884,2.5954,340,-1,-1,0.7059,169.20,167.33,334.00,96.00,207.00,157.50,274.00,95.00,0.6463,39.05,1,1,2.7281,ACCEPT,0,519,1510,7395,0,0,340,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,14.4065,1.7480,215,-2,-1,0.8837,158.77,165.83,347.36,99.84,211.50,152.00,267.00,82.00,0.5307,54.52,1,1,2.2641,ACCEPT,0,548,1488,7603,0,0,215,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,11.7934,1.5636,172,4,1,0.7442,180.48,167.39,334.00,96.00,215.50,148.50,263.00,83.00,0.5257,39.79,1,-1,2.7175,ACCEPT,0,580,1453,8102,0,0,172,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,14.9571,2.0792,210,1,-2,0.6190,185.70,164.39,321.15,92.31,217.00,145.00,262.00,84.00,0.5302,36.82,1,-1,2.9460,ACCEPT,0,478,1451,7532,0,0,210,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,16.7778,2.6235,223,0,-2,0.6054,185.70,161.50,308.80,88.76,219.50,142.00,261.00,82.00,0.5127,39.02,1,-1,3.0658,ACCEPT,0,439,1431,10295,0,0,223,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,16.3574,2.4696,284,0,-1,0.7817,185.70,160.11,308.80,88.76,223.00,141.00,258.00,80.00,0.5022,41.91,1,0,3.1188,ACCEPT,0,592,1419,8950,0,0,284,0,0,0,0,-1.0000
17,0,1,1,ACCEPT,17.3288,2.5876,251,0,-1,0.9641,185.70,158.72,308.80,88.76,226.50,138.00,255.00,82.00,0.4763,45.76,1,0,2.9480,ACCEPT,0,500,1399,11203,0,0,251,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,19.4949,2.7236,335,1,0,0.9970,190.53,158.72,308.80,88.76,227.50,138.50,253.00,81.00,0.4909,42.14,1,0,2.9511,ACCEPT,0,612,1406,11702,0,0,335,0,0,0,0,-1.0000
19,0,1,1,ACCEPT,21.9544,3.2957,379,0,0,1.0000,190.53,158.72,308.80,88.76,230.00,137.50,252.00,83.00,0.4757,44.81,1,0,2.9689,ACCEPT,0,646,1379,14178,0,0,379,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,25.1234,3.8400,480,0,-1,0.9833,190.53,157.33,308.80,88.76,229.50,136.50,253.00,81.00,0.4782,44.19,1,0,2.9939,ACCEPT,0,751,1382,13524,0,0,480,0,0,0,0,0.9036
21,0,1,1,ACCEPT,26.3470,3.9339,476,0,1,0.9580,190.53,158.72,308.80,88.76,232.50,134.50,251.00,87.00,0.4442,48.46,1,0,2.8510,ACCEPT,0,743,1382,14560,0,0,476,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,29.4678,4.2692,555,0,-1,0.8414,190.53,157.33,308.80,88.76,233.00,134.00,250.00,86.00,0.4499,48.45,1,0,2.8738,ACCEPT,0,768,1347,15219,0,0,555,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,29.5335,4.4786,524,0,0,1.0000,190.53,157.33,308.80,88.76,233.50,133.00,253.00,86.00,0.4391,49.38,1,0,2.9322,ACCEPT,0,753,1374,12351,0,0,524,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,31.5244,4.5152,447,1,0,0.9732,195.36,157.33,308.80,88.76,235.00,133.00,250.00,86.00,0.4474,46.51,1,0,3.0503,ACCEPT,0,637,1408,10922,0,0,447,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,31.6846,4.4688,429,0,0,1.0000,195.36,157.33,308.80,88.76,236.50,133.50,249.00,83.00,0.4427,47.54,1,0,3.1270,ACCEPT,0,587,1379,12502,0,0,429,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,32.1775,4.6075,493,0,0,1.0000,195.36,157.33,308.80,88.76,237.00,131.50,250.00,85.00,0.4251,49.00,1,0,3.1652,ACCEPT,0,641,1380,11187,0,0,493,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,33.7636,4.4854,462,0,0,1.0000,195.36,157.33,308.80,88.76,238.50,131.50,249.00,85.00,0.4211,50.28,1,0,3.1743,ACCEPT,0,589,1374,13138,0,0,462,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,33.7213,4.6957,540,0,0,1.0000,195.36,157.33,308.80,88.76,237.50,132.50,249.00,83.00,0.4299,48.91,1,0,3.2341,ACCEPT,0,654,1373,13216,0,0,540,0,0,0,0,-1.0000
29,0,1,1,ACCEPT,34.4696,4.6610,550,0,0,1.0000,195.36,157.33,308.80,88.76,238.00,131.50,250.00,85.00,0.4226,49.85,1,0,3.2540,ACCEPT,0,621,1360,18393,0,0,550,0,0,0,0,-1.0000
30,0,1,1,ACCEPT,32.7210,4.5796,719,0,0,1.0000,195.36,157.33,308.80,88.76,240.00,133.00,246.00,82.00,0.4258,50.84,1,0,3.2575,ACCEPT,0,816,1379,20689,0,0,719,0,0,0,0,-1.0000
31,0,1,1,ACCEPT,33.8165,4.3819,872,0,0,1.0000,195.36,157.33,308.80,88.76,238.50,133.00,249.00,80.00,0.4268,49.53,1,0,3.2616,ACCEPT,0,926,1381,24040,0,0,872,0,0,0,0,-1.0000
32,0,1,1,ACCEPT,34.1647,4.1653,1033,0,0,1.0000,195.36,157.33,308.80,88.76,241.00,134.50,248.00,81.00,0.4370,51.03,1,0,3.1913,ACCEPT,0,1100,1399,22716,0,0,1033,0,0,0,0,-1.0000
33,0,1,1,ACCEPT,34.7238,4.0581,1047,0,1,0.9245,195.36,158.72,308.80,88.76,242.00,133.50,248.00,85.00,0.4179,53.02,1,0,3.1059,ACCEPT,0,1097,1403,21813,0,0,1047,0,0,0,0,-1.0000
34,0,1,1,ACCEPT,36.0532,4.3651,1052,1,0,0.9962,200.19,158.72,308.80,88.76,243.00,135.00,248.00,82.00,0.4373,48.94,1,0,3.2394,ACCEPT,0,1068,1413,21569,0,0,1052,0,0,0,0,-1.0000
35,0,1,1,ACCEPT,36.9173,4.6828,1063,0,0,1.0000,200.19,158.72,308.80,88.76,243.00,133.50,248.00,83.00,0.4240,49.69,1,0,3.2246,ACCEPT,0,1094,1424,18539,0,0,1063,0,0,0,0,-1.0000
36,0,1,1,ACCEPT,39.3713,4.9271,946,0,1,0.9503,200.19,160.11,308.80,88.76,245.00,135.00,248.00,86.00,0.4254,51.37,1,0,3.2993,ACCEPT,0,931,1446,18842,0,0,946,0,0,0,0,-1.0000
37,0,1,1,ACCEPT,40.3357,4.8274,951,0,0,1.0000,200.19,160.11,308.80,88.76,245.50,135.50,245.00,83.00,0.4229,51.56,1,0,3.2809,ACCEPT,0,879,1440,18608,0,0,951,0,0,0,0,-1.0000
38,0,1,1,ACCEPT,40.8596,4.8677,920,0,0,1.0000,200.19,160.11,308.80,88.76,246.50,136.50,245.00,83.00,0.4301,51.98,1,0,3.2193,ACCEPT,0,808,1446,18608,0,0,920,0,0,0,0,-1.0000
39,0,1,1,ACCEPT,41.6497,5.2343,916,0,1,0.9629,200.19,161.50,308.80,88.76,248.00,135.50,246.00,83.00,0.4034,54.42,1,0,3.1415,ACCEPT,0,814,1449,21201,0,0,916,0,0,0,0,-1.0000
40,0,1,1,ACCEPT,43.0268,5.6158,994,0,-1,0.9829,200.19,160.11,308.80,88.76,249.00,137.50,244.00,79.00,0.4259,53.79,1,0,3.1168,ACCEPT,0,843,1413,20499,0,0,994,0,0,0,0,0.8876
41,0,1,1,ACCEPT,46.3931,5.9815,969,0,1,0.9102,200.19,161.50,308.80,88.76,248.50,136.00,245.00,84.00,0.4084,54.63,1,0,3.0952,ACCEPT,0,785,1442,25311,0,0,969,0,0,0,0,-1.0000
42,0,1,1,ACCEPT,45.7082,5.9259,1120,0,0,1.0000,200.19,161.50,308.80,88.76,250.00,137.00,244.00,84.00,0.4138,55.51,1,0,3.0798,ACCEPT,0,913,1418,22452,0,0,1120,0,0,0,0,-1.0000
43,0,1,1,ACCEPT,47.1375,6.5329,993,0,0,1.0000,200.19,161.50,308.80,88.76,248.50,137.00,247.00,84.00,0.4185,54.17,1,0,3.1130,ACCEPT,0,787,1408,24525,0,0,993,0,0,0,0,-1.0000
44,0,1,1,ACCEPT,44.3841,6.5677,1018,0,0,1.0000,200.19,161.50,308.80,88.76,249.00,137.00,246.00,86.00,0.4204,54.62,1,0,3.1240,ACCEPT,0,839,1402,21974,0,0,1018,0,0,0,0,-1.0000
45,0,1,1,ACCEPT,35.8869,5.1579,882,0,0,1.0000,200.19,161.50,308.80,88.76,249.00,140.00,246.00,88.00,0.4527,53.34,1,0,3.1867,ACCEPT,0,801,1392,22967,0,0,882,0,0,0,0,-1.0000
