frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,219.00,316.00,168.00,48.00,219.00,316.00,168.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3158,25910,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,148.1714,23.4750,939,0,1,0.7998,219.00,316.75,168.00,48.00,219.50,316.00,169.00,50.00,0.9543,0.90,1,0,3.3375,ACCEPT,0,332,3036,26395,0,0,939,0,0,0,0,0.7214
2,0,1,1,ACCEPT,99.6576,15.1111,816,0,1,0.9596,219.00,317.50,168.00,48.00,219.00,317.00,168.00,50.00,0.9600,0.50,1,0,3.3050,ACCEPT,0,368,2973,23387,0,0,816,0,0,0,0,0.7411
3,0,1,1,ACCEPT,73.3584,11.8148,638,0,1,0.8699,219.00,318.25,168.00,48.00,219.50,318.50,167.00,49.00,0.9739,0.56,1,0,3.2893,ACCEPT,0,367,2856,20076,0,0,638,0,0,0,0,0.7553
4,0,1,1,ACCEPT,55.2844,9.5714,469,0,3,0.6674,219.00,320.50,168.00,48.00,216.50,321.00,171.00,48.00,0.9512,2.55,1,0,3.2222,ACCEPT,0,305,2837,17914,0,0,469,0,0,0,0,0.7679
5,0,1,1,ACCEPT,48.5336,7.9423,413,0,-1,0.9758,219.00,319.75,168.00,48.00,220.50,321.50,165.00,49.00,0.9145,2.30,1,0,3.2539,ACCEPT,0,309,2759,16391,0,0,413,0,0,0,0,0.7801
6,0,1,1,ACCEPT,45.7788,5.2045,458,0,1,0.8952,219.00,320.50,168.00,48.00,219.50,323.00,167.00,50.00,0.8979,2.55,1,0,3.2516,ACCEPT,0,306,2721,19846,0,0,458,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,42.6803,5.4722,591,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,169.00,50.00,0.8977,2.55,1,0,3.2929,ACCEPT,0,404,2667,22356,0,0,591,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,36.8190,5.1172,655,1,0,0.9206,221.62,320.50,168.00,48.00,220.00,322.50,168.00,49.00,0.9038,2.58,1,0,3.1524,ACCEPT,0,652,2628,24063,0,0,655,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,36.5431,4.8095,707,0,-2,0.7652,221.62,319.00,168.00,48.00,218.50,322.50,163.00,49.00,0.8356,4.69,1,0,3.2055,ACCEPT,0,602,2538,23739,0,0,707,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,33.0354,4.6419,687,0,0,1.0000,221.62,319.00,168.00,48.00,216.50,322.50,161.00,47.00,0.8137,6.21,1,0,3.2038,ACCEPT,0,687,2591,19070,0,0,687,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,33.9314,3.8046,662,0,-2,0.5574,221.62,317.50,168.00,48.00,216.50,320.00,161.00,48.00,0.8491,5.70,1,0,3.1968,ACCEPT,0,644,2545,17043,0,0,662,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,34.9831,4.7305,667,0,-3,0.2519,221.62,315.25,168.00,48.00,216.00,318.00,160.00,46.00,0.8327,6.26,1,0,3.2179,ACCEPT,0,618,2460,16308,0,0,667,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,34.9945,4.6159,697,0,-2,0.5968,221.62,313.75,168.00,48.00,215.00,316.00,158.00,46.00,0.8396,7.00,1,0,3.1711,ACCEPT,0,605,2354,14801,0,0,697,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,36.7490,5.0414,731,0,-4,0.1956,221.62,310.75,168.00,48.00,215.00,313.50,156.00,45.00,0.8203,7.17,1,0,3.1602,ACCEPT,0,593,2244,16124,0,0,731,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,38.2886,4.8333,812,0,-3,0.3522,221.62,308.50,168.00,48.00,215.50,311.00,159.00,44.00,0.8334,6.62,1,0,3.1829,ACCEPT,0,640,2186,15415,0,0,812,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,42.5875,4.7861,828,0,-3,0.2464,221.62,306.25,168.00,48.00,215.00,309.50,160.00,43.00,0.8016,7.38,1,0,3.1579,ACCEPT,0,624,2228,16185,0,0,828,0,0,0,0,-1.0000
