frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3181,6811,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,6.3131,1.1600,29,-2,-19,0.2414,276.53,426.47,31.00,22.00,274.00,438.50,24.00,21.00,0.2370,12.29,1,-1,1.9088,LOW_CONF,0,129,2818,10947,0,0,29,0,0,0,0,0.5761
2,0,1,1,ACCEPT,7.4833,1.0545,58,-2,0,0.8793,275.56,426.47,31.00,22.00,271.00,438.50,26.00,21.00,0.2264,12.87,1,6,1.6710,MAX_STEP,0,337,2840,11728,0,0,58,0,0,0,0,0.5782
3,0,1,1,ACCEPT,13.0618,2.0500,41,-5,12,0.3415,273.14,430.59,31.00,22.00,275.50,430.50,25.00,19.00,0.6965,2.36,1,0,3.0527,ACCEPT,0,163,3022,6330,0,0,41,0,0,0,0,0.6277
4,0,1,1,ACCEPT,11.6645,1.2241,71,29,-7,0.1972,287.19,428.19,31.00,22.00,281.00,422.50,22.00,15.00,0.3462,8.40,1,0,3.4753,ACCEPT,0,232,1713,18442,0,0,71,0,0,0,0,0.6774
5,0,1,1,ACCEPT,9.3553,1.2736,135,2,-3,0.0889,288.16,427.16,31.00,22.00,287.00,411.00,30.00,16.00,0.0774,16.20,1,0,3.5283,ACCEPT,0,342,1158,26806,0,0,135,0,0,0,0,0.6426
6,0,1,1,ACCEPT,9.2159,1.0614,121,-18,-14,0.2562,279.44,422.34,29.81,21.15,283.50,407.50,29.00,15.00,0.0833,15.39,1,-1,2.5893,ACCEPT,0,547,853,32767,0,0,121,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,10.5011,1.3333,176,-1,-5,0.1875,278.97,420.70,28.66,20.34,285.00,407.00,30.00,14.00,0.0876,14.97,1,-1,2.7088,ACCEPT,0,469,1471,22800,0,0,176,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,8.9112,1.1418,153,-31,-3,0.0392,265.16,419.74,28.66,20.34,285.00,404.00,28.00,14.00,0.0126,25.32,1,0,2.3720,ACCEPT,0,583,1652,19334,0,0,153,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,9.8813,1.0640,216,-4,0,0.5185,263.38,419.74,28.66,20.34,286.00,404.00,30.00,12.00,0.0031,27.56,1,0,2.8325,ACCEPT,0,909,2005,19654,0,0,216,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,10.1929,1.5333,115,25,-4,0.1565,274.52,418.46,28.66,20.34,292.00,400.00,28.00,12.00,0.0000,25.43,1,0,2.7488,ACCEPT,0,422,1859,12523,0,0,115,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,15.0356,1.8198,202,10,2,0.0693,278.97,419.10,28.66,20.34,300.00,396.00,28.00,12.00,0.0000,31.24,1,0,3.3177,ACCEPT,0,367,1459,17359,0,0,202,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,14.5412,1.5159,238,-2,-8,0.2143,278.08,416.54,28.66,20.34,303.50,395.50,35.00,13.00,0.0000,33.00,1,0,3.2453,ACCEPT,0,453,926,24738,0,0,238,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,15.7398,1.5692,306,6,-10,0.0131,280.75,413.34,28.66,20.34,303.00,400.00,34.00,16.00,0.0405,25.94,1,0,3.2876,ACCEPT,0,523,948,25902,0,0,306,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,18.6720,1.3969,366,4,-1,0.1011,282.53,413.02,28.66,20.34,301.50,401.50,31.00,13.00,0.0602,22.19,1,0,3.3593,ACCEPT,0,531,1460,23885,0,0,366,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,19.4316,2.1208,316,7,-4,0.0443,285.65,411.73,28.66,20.34,294.50,404.00,31.00,16.00,0.2546,11.75,1,0,3.5647,ACCEPT,0,483,1087,21515,0,0,316,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,19.2083,2.3361,285,10,3,0.0281,290.10,412.70,28.66,20.34,292.00,406.50,32.00,21.00,0.4880,6.48,1,0,3.1180,ACCEPT,0,497,2450,10804,0,0,285,0,0,0,0,-1.0000
17,0,1,1,ACCEPT,15.5613,1.7255,176,13,5,0.0966,295.89,414.30,28.66,20.34,296.50,407.00,31.00,22.00,0.4584,7.32,1,0,3.0385,ACCEPT,0,432,2286,8581,0,0,176,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,26.1937,2.3066,316,6,-16,0.0285,298.56,409.17,28.66,20.34,305.50,401.00,31.00,22.00,0.3076,10.72,1,0,3.4072,ACCEPT,0,321,703,28617,0,0,316,0,0,0,0,-1.0000
19,0,1,1,ACCEPT,14.2281,1.0600,318,-1,-5,0.1132,298.12,407.57,28.66,20.34,314.00,397.50,36.00,19.00,0.1424,18.81,1,0,2.9556,ACCEPT,0,710,1031,28839,0,0,318,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,22.9632,1.9008,479,-11,-13,0.0814,293.22,403.41,28.66,20.34,312.00,396.50,36.00,29.00,0.1736,20.01,1,0,2.2769,ACCEPT,0,608,782,32767,0,0,479,0,0,0,0,0.8647
21,0,1,1,ACCEPT,27.8085,2.8862,482,-3,-11,0.0726,291.88,399.88,28.66,20.34,314.00,394.50,36.00,21.00,0.1320,22.76,1,0,3.0929,ACCEPT,0,575,792,32767,0,0,482,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,17.3795,1.6522,304,4,-20,0.0461,293.66,393.48,28.66,20.34,315.00,392.00,38.00,22.00,0.1997,21.39,1,0,3.5250,ACCEPT,0,541,1103,18703,0,0,304,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,14.3458,1.4387,223,-15,-4,0.0717,286.98,392.20,28.66,20.34,315.00,399.50,50.00,29.00,0.1070,28.95,1,-5,2.1496,MAX_STEP,0,410,2375,12282,0,0,223,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,18.7527,1.6640,416,-14,5,0.1490,280.75,393.80,28.66,20.34,311.50,401.50,47.00,31.00,0.0665,31.70,1,4,2.1735,MAX_STEP,0,947,4424,6484,0,0,416,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,8.6810,1.0204,50,-38,9,0.0000,263.83,396.68,28.66,20.34,301.50,413.00,47.00,34.00,0.0008,41.06,1,6,0.8129,MAX_STEP,0,207,8559,1627,0,0,50,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,8.6903,1.0909,36,-30,12,0.1389,250.47,400.52,28.66,20.34,294.00,421.00,44.00,34.00,0.0000,48.11,1,-12,1.0414,MAX_STEP,0,154,6684,1861,0,0,36,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,19.0191,1.6952,178,-34,1,0.0337,235.33,400.84,28.66,20.34,281.00,430.50,46.00,39.00,0.0000,54.46,1,-7,1.6904,MAX_STEP,0,252,4274,6166,0,0,178,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,10.8076,1.1684,111,12,-43,0.1351,240.67,387.07,28.66,20.34,249.00,425.00,38.00,34.00,0.0000,38.83,1,-6,1.7054,MAX_STEP,0,572,3907,3044,0,0,111,0,0,0,0,-1.0000
29,0,1,1,ACCEPT,9.2750,1.3402,130,-9,5,0.0154,236.66,388.67,28.66,20.34,210.00,401.00,38.00,24.00,0.0459,29.38,1,6,2.1421,MAX_STEP,0,821,1308,7282,0,0,130,0,0,0,0,-1.0000
30,0,1,1,ACCEPT,12.0024,1.6042,77,0,-17,0.1429,236.66,383.23,28.66,20.34,196.50,365.00,35.00,42.00,0.0000,44.11,1,6,1.8646,MAX_STEP,0,201,1950,5329,0,0,77,0,0,0,0,-1.0000
31,0,1,1,ACCEPT,14.0340,2.1316,81,2,-11,0.0370,237.55,379.70,28.66,20.34,204.50,351.00,39.00,46.00,0.0015,43.78,1,0,2.1113,ACCEPT,0,228,2116,5049,0,0,81,0,0,0,0,-1.0000
32,0,1,1,ACCEPT,14.8141,1.0000,66,1,-39,0.0758,238.00,367.21,29.81,21.15,212.00,347.00,36.00,40.00,0.0358,32.93,1,1,2.1188,ACCEPT,0,162,3316,3209,0,0,66,0,0,0,0,-1.0000
33,0,1,1,ACCEPT,19.2172,1.5690,91,0,-37,0.0659,238.00,355.07,29.81,21.15,213.00,338.50,38.00,39.00,0.0604,29.99,1,0,2.6534,ACCEPT,0,167,2459,3788,0,0,91,0,0,0,0,-1.0000
34,0,1,1,ACCEPT,16.3978,1.2619,106,0,-14,0.1321,238.00,350.48,29.81,21.15,209.50,332.00,37.00,38.00,0.0275,33.97,1,0,2.7263,ACCEPT,0,264,1746,6384,0,0,106,0,0,0,0,-1.0000
35,0,1,1,ACCEPT,16.9155,1.5000,120,-1,-4,0.2417,237.53,349.16,31.00,22.00,210.00,333.00,38.00,36.00,0.0456,31.93,1,1,2.7868,ACCEPT,0,224,1618,5932,0,0,120,0,0,0,0,-1.0000
36,0,1,1,ACCEPT,24.3674,1.7426,176,-1,-1,0.8523,237.05,348.82,32.24,22.88,211.50,335.50,37.00,37.00,0.0771,28.81,1,1,2.8872,ACCEPT,0,237,1709,5006,0,0,176,0,0,0,0,-1.0000
37,0,1,1,ACCEPT,15.6267,1.0319,97,1,-8,0.0309,237.55,345.95,32.24,22.88,217.00,335.00,38.00,32.00,0.1403,23.28,1,0,2.9464,ACCEPT,0,231,1454,4627,0,0,97,0,0,0,0,-1.0000
38,0,1,1,ACCEPT,12.3844,1.1509,61,-14,-10,0.0820,230.55,342.35,32.24,22.88,233.50,334.00,39.00,36.00,0.4651,8.86,1,-4,2.1572,MAX_STEP,0,179,3297,3108,0,0,61,0,0,0,0,-1.0000
39,0,1,1,ACCEPT,14.6525,1.2588,107,17,-45,0.1028,239.05,326.18,32.24,22.88,252.50,334.00,39.00,36.00,0.2883,15.56,1,-1,1.6136,LOW_CONF,0,268,2132,5343,0,0,107,0,0,0,0,-1.0000
40,0,1,1,ACCEPT,11.2077,1.2000,84,-3,-5,0.0000,237.55,324.38,32.24,22.88,284.00,335.00,38.00,32.00,0.0000,47.65,1,0,2.9384,ACCEPT,0,435,4239,1052,0,0,84,0,0,0,0,0.9593
41,0,1,1,ACCEPT,15.6756,1.3600,34,-2,-28,0.2647,236.55,314.32,33.53,23.80,303.50,339.00,33.00,32.00,0.0000,71.36,1,1,2.8311,ACCEPT,0,85,3717,1726,0,0,34,0,0,0,0,-1.0000
42,0,1,1,ACCEPT,17.8942,1.8000,45,-1,-1,0.6000,236.02,313.95,34.87,24.75,315.50,339.50,37.00,35.00,0.0000,83.48,1,1,2.8071,ACCEPT,0,123,3575,1630,0,0,45,0,0,0,0,-1.0000
43,0,1,1,ACCEPT,23.2478,2.0400,51,1,-2,0.2157,236.57,313.18,36.27,25.74,321.00,339.00,34.00,32.00,0.0000,88.29,1,1,3.0164,ACCEPT,0,93,3534,1661,0,0,51,0,0,0,0,-1.0000
44,0,1,1,ACCEPT,19.3980,1.5000,42,-2,0,0.3095,235.43,313.18,37.72,26.77,317.50,336.50,35.00,37.00,0.0000,85.32,1,1,2.9194,ACCEPT,0,96,3275,1657,0,0,42,0,0,0,0,-1.0000
45,0,1,1,ACCEPT,20.4447,1.7600,44,1,0,0.6591,236.02,313.18,39.22,27.84,305.50,340.00,35.00,34.00,0.0000,74.48,1,1,3.0404,ACCEPT,0,85,3189,1632,0,0,44,0,0,0,0,-1.0000
46,0,1,1,ACCEPT,17.4032,1.5926,43,0,-1,0.9535,236.02,312.74,40.79,28.95,295.00,338.00,34.00,36.00,0.0000,64.16,1,1,3.0203,ACCEPT,0,91,3039,1657,0,0,43,0,0,0,0,-1.0000
47,0,1,1,ACCEPT,20.0856,1.6667,45,-1,-1,0.7556,235.38,312.29,42.43,30.11,285.50,333.50,33.00,31.00,0.0000,54.43,1,1,3.0812,ACCEPT,0,88,2775,1683,0,0,45,0,0,0,0,-1.0000
