frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,806,22002,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,173.6011,31.3333,282,0,0,1.0000,140.50,186.50,177.00,53.00,140.50,186.50,177.00,53.00,1.0000,0.00,1,0,3.3660,ACCEPT,0,169,809,22528,0,0,282,0,0,0,0,0.5450
2,0,1,1,ACCEPT,24.7029,4.6486,172,0,4,0.0581,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.1958,ACCEPT,0,221,777,15297,0,0,172,0,0,0,0,0.6065
3,0,1,1,ACCEPT,31.8549,5.8000,203,0,0,1.0000,140.50,189.81,177.00,53.00,138.00,192.50,182.00,61.00,0.8450,3.67,1,0,3.2005,ACCEPT,0,197,724,18120,0,0,203,0,0,0,0,0.6384
4,0,1,1,ACCEPT,27.1157,5.0000,220,0,3,0.3045,140.50,192.30,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.87,1,-1,3.0431,ACCEPT,0,248,779,20133,0,0,220,0,0,0,0,0.6590
5,0,1,1,ACCEPT,29.1489,6.1463,252,-1,1,0.8889,137.84,193.09,170.19,50.96,139.00,199.00,178.00,68.00,0.7166,6.02,1,0,3.1226,ACCEPT,0,297,791,19959,0,0,252,0,0,0,0,0.7015
6,0,1,1,ACCEPT,26.6192,5.2308,272,0,0,1.0000,137.84,193.09,170.19,50.96,136.50,204.50,179.00,71.00,0.6518,11.49,1,0,3.2942,ACCEPT,0,325,864,19732,0,0,272,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,31.9316,6.1294,521,0,0,1.0000,137.84,193.09,170.19,50.96,136.50,204.50,179.00,71.00,0.6518,11.49,1,0,3.2966,ACCEPT,0,506,843,15143,0,0,521,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,24.4325,2.9272,442,0,-2,0.5339,137.84,191.50,170.19,50.96,139.00,205.00,182.00,78.00,0.6110,13.55,1,0,3.1291,ACCEPT,0,606,948,15362,0,0,442,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,28.5451,3.1656,516,0,-1,0.8818,137.84,190.70,170.19,50.96,139.00,205.00,182.00,78.00,0.5961,14.34,1,0,3.1594,ACCEPT,0,504,936,15076,0,0,516,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,22.5229,2.1126,469,-1,-5,0.1876,135.19,186.72,170.19,50.96,138.00,203.00,180.00,80.00,0.5696,16.52,1,0,3.2201,ACCEPT,0,608,1036,12200,0,0,469,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,24.7928,2.0561,440,0,0,1.0000,135.19,186.72,170.19,50.96,138.00,203.00,180.00,80.00,0.5696,16.52,1,0,3.2259,ACCEPT,0,474,1053,11843,0,0,440,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,23.3315,1.9770,429,0,-6,0.1515,135.19,181.94,170.19,50.96,136.50,195.50,183.00,75.00,0.6013,13.63,1,0,3.0152,ACCEPT,0,556,1096,11897,0,0,429,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,25.6623,2.0086,466,0,1,0.9399,135.19,182.73,170.19,50.96,136.50,195.50,183.00,75.00,0.6170,12.83,1,0,2.9758,ACCEPT,0,507,1105,12278,0,0,466,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,22.2742,2.1844,391,0,-6,0.1381,135.19,177.95,163.65,49.00,136.50,193.00,179.00,78.00,0.5643,15.10,1,-1,2.8755,ACCEPT,0,544,1145,12456,0,0,391,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,25.6142,2.2439,460,0,0,1.0000,135.19,177.95,163.65,49.00,136.50,193.00,179.00,78.00,0.5643,15.10,1,0,3.0090,ACCEPT,0,532,1131,12534,0,0,460,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,24.6615,2.4259,393,-1,-5,0.0458,132.63,174.12,163.65,49.00,135.00,190.00,180.00,78.00,0.5464,16.05,1,0,3.1250,ACCEPT,0,477,1207,11538,0,0,393,0,0,0,0,-1.0000
17,0,1,1,ACCEPT,25.6308,2.3580,415,0,0,1.0000,132.63,174.12,163.65,49.00,135.00,190.00,180.00,78.00,0.5464,16.05,1,0,3.1387,ACCEPT,0,527,1196,11778,0,0,415,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,22.3199,2.4184,341,0,-3,0.4194,132.63,171.83,157.35,47.12,135.50,188.50,175.00,81.00,0.5230,16.92,1,-1,3.0213,ACCEPT,0,451,1208,12030,0,0,341,0,0,0,0,-1.0000
19,0,1,1,ACCEPT,24.7895,2.6547,369,0,0,1.0000,132.63,171.83,157.35,47.12,135.50,188.50,175.00,81.00,0.5230,16.92,1,0,3.2117,ACCEPT,0,416,1219,13195,0,0,369,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,23.0187,3.4815,376,0,-2,0.6676,132.63,170.36,157.35,47.12,135.00,189.00,174.00,86.00,0.4955,18.79,1,0,3.0412,ACCEPT,0,493,1191,12930,0,0,376,0,0,0,0,0.8753
21,0,1,1,ACCEPT,25.5529,3.5946,399,0,1,0.9373,132.63,171.09,157.35,47.12,135.00,189.00,174.00,86.00,0.4955,18.06,1,0,3.0018,ACCEPT,0,455,1174,12741,0,0,399,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,20.7630,3.5155,341,0,-2,0.7625,132.63,169.62,157.35,47.12,135.00,188.00,172.00,84.00,0.5131,18.53,1,0,2.8912,ACCEPT,0,429,1140,11820,0,0,341,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,23.5040,3.7523,409,0,0,1.0000,132.63,169.62,157.35,47.12,135.00,188.00,172.00,84.00,0.5131,18.53,1,0,2.9205,ACCEPT,0,478,1145,11230,0,0,409,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,16.2188,3.0000,297,0,-2,0.8990,132.63,168.16,157.35,47.12,135.50,183.00,169.00,76.00,0.5695,15.12,1,0,2.7969,ACCEPT,0,523,1137,10042,0,0,297,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,19.9037,3.5600,356,0,1,0.8904,132.63,168.89,157.35,47.12,135.50,183.00,169.00,76.00,0.5772,14.40,1,0,2.8869,ACCEPT,0,514,1156,9171,0,0,356,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,14.8796,2.3554,285,0,-1,0.9368,132.63,168.16,157.35,47.12,136.50,177.50,169.00,63.00,0.6619,10.11,1,0,2.7040,ACCEPT,0,587,1188,6981,0,0,285,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,18.2675,2.6935,334,0,1,0.9910,132.63,168.89,157.35,47.12,136.50,177.50,169.00,63.00,0.6798,9.44,1,0,2.6986,ACCEPT,0,570,1207,5772,0,0,334,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,12.8353,1.6338,232,-1,-1,0.8750,130.17,168.16,157.35,47.12,136.00,171.00,168.00,50.00,0.8295,6.48,1,0,2.7730,ACCEPT,0,597,1035,6642,0,0,232,0,0,0,0,-1.0000
29,0,1,1,ACCEPT,16.7979,2.1704,293,1,0,0.9727,132.63,168.16,157.35,47.12,136.00,171.00,168.00,50.00,0.8344,4.41,1,0,2.6362,ACCEPT,0,588,1057,7545,0,0,293,0,0,0,0,-1.0000
30,0,1,1,ACCEPT,10.7214,1.3354,215,0,-2,0.7907,132.63,166.69,157.35,47.12,136.50,168.50,165.00,45.00,0.8834,4.27,1,0,2.5775,ACCEPT,0,560,988,8666,0,0,215,0,0,0,0,-1.0000
