frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,446.50,516.00,121.00,136.00,446.50,516.00,121.00,136.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,461,32767,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,19.7252,3.5200,88,-14,1,0.1818,420.03,518.12,121.00,136.00,422.00,518.50,122.00,141.00,0.9342,2.00,1,0,2.8985,ACCEPT,0,198,354,32767,0,0,88,0,0,0,0,0.5965
2,0,1,1,ACCEPT,13.6220,1.6852,91,-4,-5,0.1209,412.47,507.50,121.00,136.00,414.00,511.50,122.00,147.00,0.9027,4.28,1,0,2.9799,ACCEPT,0,247,379,32767,0,0,91,0,0,0,0,0.6380
3,0,1,1,ACCEPT,7.0482,1.3000,65,-6,-5,0.0923,401.12,496.88,121.00,136.00,403.50,510.00,115.00,148.00,0.7944,13.34,1,0,2.4401,ACCEPT,0,407,386,32767,0,0,65,0,0,0,0,0.6849
4,0,1,1,ACCEPT,7.5803,1.5111,136,-5,-6,0.1912,391.67,484.12,121.00,136.00,400.50,499.50,105.00,171.00,0.6998,17.73,1,0,2.9998,ACCEPT,0,886,398,32767,0,0,136,0,0,0,0,0.7146
5,0,1,1,ACCEPT,7.7606,1.3529,115,-6,-6,0.0000,380.33,471.38,121.00,136.00,384.00,480.00,98.00,164.00,0.6942,9.37,1,0,3.0540,ACCEPT,0,508,452,32767,0,0,115,0,0,0,0,0.7388
6,0,1,1,ACCEPT,7.8405,1.2256,201,-2,-7,0.3284,376.55,456.50,121.00,136.00,378.50,469.00,103.00,164.00,0.7243,12.65,1,0,3.0782,ACCEPT,0,736,511,32767,0,0,201,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,6.6908,1.1767,253,2,-2,0.3597,380.33,452.25,121.00,136.00,379.00,450.50,104.00,167.00,0.7187,2.20,1,0,2.6861,ACCEPT,0,1189,629,32767,0,0,253,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,8.3138,1.3787,324,-2,-6,0.3827,376.55,439.50,121.00,136.00,376.00,449.00,114.00,148.00,0.8289,9.52,1,0,2.7696,ACCEPT,0,950,578,32767,0,0,324,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,10.7661,1.2692,396,2,-1,0.5505,380.33,437.38,121.00,136.00,379.50,440.50,109.00,157.00,0.7908,3.23,1,0,2.8311,ACCEPT,0,1580,686,28858,0,0,396,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,8.7559,1.2405,361,3,-2,0.1496,386.00,433.12,121.00,136.00,389.00,428.00,120.00,170.00,0.7655,5.94,1,0,2.7263,ACCEPT,0,1266,825,24048,0,0,361,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,6.8431,1.2074,390,-2,-8,0.1051,382.22,416.12,125.84,141.44,383.50,422.00,115.00,158.00,0.8255,6.01,1,1,2.8256,ACCEPT,0,1417,816,31579,0,0,390,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,11.1153,1.7854,707,1,-10,0.0396,384.19,394.02,125.84,141.44,383.00,392.50,112.00,173.00,0.7426,1.93,1,0,2.6665,ACCEPT,0,1912,928,23160,0,0,707,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,13.7163,1.6146,951,-4,-14,0.1525,376.31,363.06,125.84,141.44,379.00,362.50,110.00,157.00,0.7974,2.75,1,0,2.7094,ACCEPT,0,2354,759,30084,0,0,951,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,14.3557,2.2953,1065,0,-7,0.2883,376.31,347.59,125.84,141.44,377.50,349.00,115.00,152.00,0.8555,1.85,1,0,2.9516,ACCEPT,0,2600,868,23392,0,0,1065,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,13.5578,2.2262,817,2,-10,0.1102,380.25,325.48,125.84,141.44,381.00,322.00,110.00,156.00,0.8020,3.56,1,0,2.7287,ACCEPT,0,2238,770,24128,0,0,817,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,13.3626,1.8392,881,0,-5,0.5028,380.25,314.42,125.84,141.44,381.50,318.00,111.00,142.00,0.8413,3.79,1,0,2.5924,ACCEPT,0,1980,655,29013,0,0,881,0,0,0,0,-1.0000
17,0,1,1,ACCEPT,8.4426,1.5981,668,3,-6,0.1362,386.16,301.16,130.87,147.10,382.00,294.00,114.00,136.00,0.7883,8.28,1,1,2.5573,ACCEPT,0,2306,727,16786,0,0,668,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,11.6237,2.0686,784,-2,-2,0.5434,382.06,296.56,130.87,147.10,384.50,281.50,109.00,135.00,0.6787,15.26,1,0,2.6340,ACCEPT,0,2328,649,22585,0,0,784,0,0,0,0,-1.0000
