frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,291.00,313.50,24.00,13.00,291.00,313.50,24.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4680,7503,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,7.3945,1.4615,19,3,-39,0.1053,292.12,305.58,24.00,13.00,293.50,304.50,23.00,13.00,0.7596,1.75,1,0,3.0847,ACCEPT,0,129,2699,14605,0,0,19,0,0,0,0,0.6322
2,0,1,1,ACCEPT,6.3172,1.3636,30,30,-30,0.5000,303.38,299.48,24.00,13.00,299.50,292.50,23.00,11.00,0.2110,7.99,1,9,0.9202,MAX_STEP,0,172,1798,14381,0,0,30,0,0,0,0,0.6915
3,0,1,1,ACCEPT,5.0307,1.0667,32,40,-4,0.0000,318.38,298.67,24.00,13.00,293.00,277.00,26.00,12.00,0.0000,33.37,1,-4,1.9155,MAX_STEP,0,262,2797,8492,0,0,32,0,0,0,0,0.7100
4,0,1,1,ACCEPT,17.2859,2.5143,176,16,-14,0.0511,324.38,295.83,24.00,13.00,292.50,264.50,25.00,13.00,0.0000,44.69,1,0,2.7636,ACCEPT,0,366,2388,17611,0,0,176,0,0,0,0,0.7376
5,0,1,1,ACCEPT,10.6847,1.2967,118,-1,-29,0.2034,324.00,289.94,24.00,13.00,299.00,254.50,26.00,11.00,0.0000,43.37,1,-1,1.7449,LOW_CONF,0,419,2140,7804,0,0,118,0,0,0,0,0.7498
6,0,1,1,ACCEPT,8.0417,1.1220,46,-35,-34,0.2174,310.88,283.03,24.00,13.00,284.50,243.50,25.00,11.00,0.0000,47.52,1,1,1.1901,LOW_CONF,0,247,1799,8074,0,0,46,0,0,0,0,-1.0000
7,0,1,0,NEGATIVE_PEAK,-5.1117,1.0000,-12,-9,0,0.8333,310.88,283.03,24.00,13.00,273.00,237.50,26.00,11.00,0.0000,59.23,0,0,0.0000,NOT_RUN,0,106,8882,0,0,0,13,0,0,0,0,-1.0000
8,0,1,0,NEGATIVE_PEAK,-5.2587,1.0833,-26,-20,0,0.2308,310.88,283.03,24.00,13.00,267.00,234.50,24.00,13.00,0.0000,65.42,0,0,0.0000,NOT_RUN,0,226,1914,0,0,0,26,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,12.0251,1.4884,64,-11,1,0.1094,306.75,283.23,23.08,12.50,248.00,226.00,26.00,10.00,0.0000,82.02,1,-1,2.4637,ACCEPT,0,185,715,17380,0,0,64,0,0,0,0,-1.0000
