frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,557.50,338.50,49.00,13.00,557.50,338.50,49.00,13.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,5746,3189,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,10.7913,1.3000,13,-8,1,0.0769,551.38,338.70,47.12,12.50,562.50,317.00,47.00,12.00,0.0000,24.39,1,-1,2.2850,ACCEPT,0,52,5740,2805,0,0,13,0,0,0,0,0.6057
2,0,1,1,ACCEPT,9.4536,1.1429,8,-27,7,0.2500,531.55,340.07,47.12,12.50,544.50,316.00,43.00,16.00,0.0000,27.33,1,-3,2.0365,MAX_STEP,0,40,6576,2338,0,0,8,0,0,0,0,0.6337
3,0,1,1,ACCEPT,9.2066,1.2000,6,-17,-8,0.3333,519.06,338.51,47.12,12.50,556.50,311.50,49.00,15.00,0.0000,46.16,1,5,2.3499,MAX_STEP,0,38,3146,3347,0,0,6,0,0,0,0,0.6509
4,0,1,0,NEGATIVE_PEAK,-2.6363,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,543.50,336.00,47.00,16.00,0.2470,24.57,0,0,0.0000,NOT_RUN,0,19,1812,0,0,0,4,0,0,0,0,-1.0000
5,0,1,0,NEGATIVE_PEAK,-4.5642,1.0000,-3,5,-3,0.3333,519.06,338.51,47.12,12.50,534.50,324.50,41.00,17.00,0.0168,20.85,0,0,0.0000,NOT_RUN,0,17,2899,0,0,0,4,0,0,0,0,-1.0000
6,0,1,0,NEGATIVE_PEAK,-2.7394,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,0.00,0.00,0.00,0.00,0.0000,619.69,0,0,0.0000,NOT_RUN,0,18,6753,0,0,0,3,0,0,0,0,-1.0000
7,0,1,0,NEGATIVE_PEAK,-4.5273,1.0000,-3,-8,-5,0.3333,519.06,338.51,47.12,12.50,483.50,297.50,41.00,15.00,0.0000,54.28,0,0,0.0000,NOT_RUN,0,20,11380,0,0,0,4,0,0,0,0,-1.0000
8,0,1,0,NEGATIVE_PEAK,-4.5258,1.5000,-3,0,-3,0.6667,519.06,338.51,47.12,12.50,472.50,295.50,49.00,15.00,0.0000,63.39,0,0,0.0000,NOT_RUN,0,19,10732,0,0,0,4,0,0,0,0,-1.0000
9,0,1,0,NEGATIVE_PEAK,-7.2800,1.2000,-6,-25,-23,0.5000,519.06,338.51,47.12,12.50,464.00,305.50,46.00,17.00,0.0000,64.20,0,0,0.0000,NOT_RUN,0,24,3651,0,0,0,6,0,0,0,0,-1.0000
10,0,1,0,NEGATIVE_PEAK,-5.7702,1.0000,-4,3,23,0.5000,519.06,338.51,47.12,12.50,457.50,317.00,49.00,18.00,0.0000,65.21,0,0,0.0000,NOT_RUN,0,20,4471,0,0,0,4,0,0,0,0,-1.0000
11,0,1,0,NEGATIVE_PEAK,-2.7134,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,453.00,335.50,44.00,17.00,0.0000,66.13,0,0,0.0000,NOT_RUN,0,19,4811,0,0,0,4,0,0,0,0,-1.0000
12,0,1,0,NEGATIVE_PEAK,-4.5246,1.0000,-3,5,-3,0.3333,519.06,338.51,47.12,12.50,452.00,347.00,46.00,14.00,0.0000,67.60,0,0,0.0000,NOT_RUN,0,20,3814,0,0,0,4,0,0,0,0,-1.0000
13,0,1,0,NEGATIVE_PEAK,-4.5808,1.5000,-3,1,-3,0.3333,519.06,338.51,47.12,12.50,454.50,347.00,47.00,16.00,0.0000,65.12,0,0,0.0000,NOT_RUN,0,21,2985,0,0,0,4,0,0,0,0,-1.0000
14,0,1,0,NEGATIVE_PEAK,-4.3667,1.0000,-3,13,-3,0.6667,519.06,338.51,47.12,12.50,444.50,353.00,47.00,18.00,0.0000,75.96,0,0,0.0000,NOT_RUN,0,18,2775,0,0,0,4,0,0,0,0,-1.0000
15,0,1,0,NEGATIVE_PEAK,-4.5838,1.0000,-3,3,-3,0.6667,519.06,338.51,47.12,12.50,451.50,365.00,41.00,18.00,0.0000,72.57,0,0,0.0000,NOT_RUN,0,18,3240,0,0,0,4,0,0,0,0,-1.0000
16,0,1,0,NEGATIVE_PEAK,-6.0857,1.3333,-4,2,-1,0.5000,519.06,338.51,47.12,12.50,458.50,385.00,41.00,18.00,0.0000,76.35,0,0,0.0000,NOT_RUN,0,21,4983,0,0,0,4,0,0,0,0,-1.0000
17,0,1,0,NEGATIVE_PEAK,-2.6946,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,448.50,403.50,45.00,17.00,0.0000,95.93,0,0,0.0000,NOT_RUN,0,17,401,0,0,0,4,0,0,0,0,-1.0000
18,0,1,0,NEGATIVE_PEAK,-2.6856,1.0000,-2,0,0,1.0000,519.06,338.51,47.12,12.50,435.50,402.50,43.00,17.00,0.0000,105.25,0,0,0.0000,NOT_RUN,0,17,1382,0,0,0,4,0,0,0,0,-1.0000
19,0,1,0,NEGATIVE_PEAK,-2.6916,1.0000,-2,0,0,1.0000,519.06,338.51,47.12,12.50,422.00,382.50,46.00,17.00,0.0000,106.57,0,0,0.0000,NOT_RUN,0,18,1714,0,0,0,4,0,0,0,0,-1.0000
20,0,1,0,NEGATIVE_PEAK,-4.6689,1.5000,-3,1,-3,0.3333,519.06,338.51,47.12,12.50,407.00,381.50,38.00,15.00,0.0000,120.03,0,0,0.0000,NOT_RUN,0,17,2488,0,0,0,4,0,0,0,0,-1.0000
21,0,1,0,NEGATIVE_PEAK,-4.6073,1.0000,-3,2,-3,0.6667,519.06,338.51,47.12,12.50,408.00,380.50,44.00,15.00,0.0000,118.74,0,0,0.0000,NOT_RUN,0,18,2512,0,0,0,4,0,0,0,0,-1.0000
22,0,1,0,NEGATIVE_PEAK,-2.7453,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,402.00,381.50,44.00,15.00,0.0000,124.71,0,0,0.0000,NOT_RUN,0,18,3396,0,0,0,3,0,0,0,0,-1.0000
23,0,1,0,NEGATIVE_PEAK,-2.7829,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,393.00,372.50,44.00,15.00,0.0000,130.57,0,0,0.0000,NOT_RUN,0,17,3010,0,0,0,3,0,0,0,0,-1.0000
24,0,1,0,NEGATIVE_PEAK,-2.8206,1.0000,-2,1,-3,0.0000,519.06,338.51,47.12,12.50,388.50,359.50,37.00,17.00,0.0000,132.24,0,0,0.0000,NOT_RUN,0,17,3202,0,0,0,2,0,0,0,0,-1.0000
25,0,1,0,NEGATIVE_PEAK,-2.7735,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,379.50,352.00,49.00,16.00,0.0000,140.21,0,0,0.0000,NOT_RUN,0,16,3293,0,0,0,3,0,0,0,0,-1.0000
26,0,1,0,NEGATIVE_PEAK,-2.7458,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,368.50,355.50,47.00,19.00,0.0000,151.52,0,0,0.0000,NOT_RUN,0,17,1774,0,0,0,3,0,0,0,0,-1.0000
27,0,1,0,NEGATIVE_PEAK,-2.8217,1.0000,-2,0,-3,0.5000,519.06,338.51,47.12,12.50,344.00,355.00,46.00,16.00,0.0000,175.84,0,0,0.0000,NOT_RUN,0,17,3597,0,0,0,3,0,0,0,0,-1.0000
