frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,155.00,497.00,104.00,60.00,155.00,497.00,104.00,60.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,869,32767,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,73.8605,11.3171,464,0,0,1.0000,155.00,497.00,104.00,60.00,153.00,497.50,102.00,57.00,0.9142,2.06,1,0,3.2520,ACCEPT,0,368,899,32767,0,0,464,0,0,0,0,0.5390
2,0,1,1,ACCEPT,55.8875,10.3636,456,0,1,0.9649,155.00,497.94,104.00,60.00,153.00,498.50,102.00,59.00,0.9441,2.08,1,0,3.0103,ACCEPT,0,432,888,32767,0,0,456,0,0,0,0,0.5573
3,0,1,1,ACCEPT,38.7201,7.7059,393,0,0,1.0000,155.00,497.94,104.00,60.00,152.00,499.50,102.00,59.00,0.8963,3.38,1,0,2.8402,ACCEPT,0,441,846,32767,0,0,393,0,0,0,0,0.5725
4,0,1,1,ACCEPT,31.2053,6.0000,372,0,0,1.0000,155.00,497.94,104.00,60.00,151.50,501.50,103.00,59.00,0.8320,4.99,1,0,2.8135,ACCEPT,0,468,861,32767,0,0,372,0,0,0,0,0.5875
5,0,1,1,ACCEPT,28.1607,2.8092,368,0,-1,0.9402,155.00,497.00,104.00,60.00,151.00,501.00,104.00,60.00,0.8140,5.66,1,0,2.6823,ACCEPT,0,469,1014,32767,0,0,368,0,0,0,0,0.5967
6,0,1,1,ACCEPT,25.5251,2.2308,377,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,2.6536,ACCEPT,0,494,951,32767,0,0,377,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,25.3683,2.3571,396,0,0,1.0000,155.00,497.00,104.00,60.00,151.00,503.00,106.00,58.00,0.7609,7.21,1,0,2.7185,ACCEPT,0,495,908,32767,0,0,396,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,23.8389,2.6593,359,0,0,1.0000,155.00,497.00,104.00,60.00,150.50,503.00,109.00,58.00,0.7554,7.50,1,0,2.7945,ACCEPT,0,454,921,32767,0,0,359,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,24.3798,3.3274,376,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,504.50,103.00,57.00,0.6786,10.61,1,0,2.7488,ACCEPT,0,521,938,32767,0,0,376,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,22.8136,3.9583,380,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,506.50,103.00,55.00,0.6315,12.10,1,0,2.7845,ACCEPT,0,610,937,32767,0,0,380,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,21.2424,4.1829,343,0,0,1.0000,155.00,497.00,104.00,60.00,147.50,507.00,103.00,54.00,0.6189,12.50,1,0,2.7313,ACCEPT,0,639,917,32767,0,0,343,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,20.9443,3.1905,335,0,1,0.9851,155.00,497.94,104.00,60.00,147.00,508.00,104.00,54.00,0.6131,12.86,1,0,2.7405,ACCEPT,0,682,873,32766,0,0,335,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,19.8928,2.5280,316,0,0,1.0000,155.00,497.94,104.00,60.00,147.00,508.50,104.00,51.00,0.5967,13.25,1,0,2.6702,ACCEPT,0,641,871,32767,0,0,316,0,0,0,0,-1.0000
