frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,437.50,415.50,107.00,9.00,437.50,415.50,107.00,9.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,297,32767,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,8.9309,1.3333,8,-2,-35,0.1250,434.16,410.58,107.00,9.00,436.00,409.00,108.00,14.00,0.6239,2.43,1,0,3.3070,ACCEPT,0,42,317,32767,0,0,8,0,0,0,0,0.5984
2,0,1,0,NEGATIVE_PEAK,-6.5766,1.5000,-6,21,-3,0.5000,434.16,410.58,107.00,9.00,437.00,398.50,110.00,15.00,0.0000,12.41,0,0,0.0000,NOT_RUN,0,32,329,0,0,0,6,0,0,0,0,-1.0000
3,0,1,0,NEGATIVE_PEAK,-6.3857,1.2500,-5,-11,0,0.6000,434.16,410.58,107.00,9.00,445.50,392.50,105.00,23.00,0.0000,21.34,0,0,0.0000,NOT_RUN,0,30,547,0,0,0,6,0,0,0,0,-1.0000
4,0,1,1,ACCEPT,6.7865,1.2000,6,15,-1,0.3333,459.23,410.44,111.28,9.36,455.50,394.00,111.00,30.00,0.0866,16.86,1,1,2.7276,ACCEPT,0,88,495,23578,0,0,6,0,0,0,0,0.5846
5,0,1,0,NEGATIVE_PEAK,-5.6929,1.2500,-5,-3,0,0.2000,459.23,410.44,111.28,9.36,455.50,408.00,115.00,30.00,0.2953,4.46,0,0,0.0000,NOT_RUN,0,36,694,0,0,0,5,0,0,0,0,-1.0000
6,0,1,0,NEGATIVE_PEAK,-4.1921,1.0000,-4,10,0,0.7500,459.23,410.44,111.28,9.36,457.50,411.50,115.00,31.00,0.2922,2.03,0,0,0.0000,NOT_RUN,0,39,828,0,0,0,5,0,0,0,0,-1.0000
7,0,1,0,NEGATIVE_PEAK,-6.8615,1.1250,-9,-3,0,0.8889,459.23,410.44,111.28,9.36,457.50,420.00,113.00,30.00,0.3041,9.72,0,0,0.0000,NOT_RUN,0,58,383,0,0,0,9,0,0,0,0,-1.0000
8,0,1,0,NEGATIVE_PEAK,-4.5974,1.5000,-3,-21,0,0.6667,459.23,410.44,111.28,9.36,454.00,440.50,116.00,33.00,0.0000,30.51,0,0,0.0000,NOT_RUN,0,12,723,0,0,0,4,0,0,0,0,-1.0000
9,0,1,0,NEGATIVE_PEAK,-4.4054,1.0000,-3,35,0,0.6667,459.23,410.44,111.28,9.36,455.00,455.50,118.00,25.00,0.0000,45.26,0,0,0.0000,NOT_RUN,0,27,489,0,0,0,4,0,0,0,0,-1.0000
