frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,493.00,142.50,68.00,25.00,493.00,142.50,68.00,25.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3850,18429,0,0,0,0,0,0,0,-1.0000
1,0,1,0,NEGATIVE_PEAK,-8.1375,1.0933,-82,-5,-1,0.4146,493.00,142.50,68.00,25.00,502.00,141.00,70.00,22.00,0.6875,9.12,0,0,0.0000,NOT_RUN,0,312,3433,0,0,0,82,0,0,0,0,-1.0000
2,0,1,0,NEGATIVE_PEAK,-7.8455,1.2500,-30,17,-15,0.1667,493.00,142.50,68.00,25.00,539.50,150.00,69.00,28.00,0.1301,47.10,0,0,0.0000,NOT_RUN,0,145,2373,0,0,0,30,0,0,0,0,-1.0000
3,0,1,0,NEGATIVE_PEAK,-8.5576,1.0345,-30,-20,-1,0.3000,493.00,142.50,68.00,25.00,591.00,165.00,68.00,30.00,0.0000,100.55,0,0,0.0000,NOT_RUN,0,93,5677,0,0,0,30,0,0,0,0,-1.0000
4,0,1,0,NEGATIVE_PEAK,-6.4930,1.0000,-28,-33,-15,0.5714,493.00,142.50,68.00,25.00,607.00,168.50,68.00,25.00,0.0000,116.93,0,0,0.0000,NOT_RUN,0,117,6539,0,0,0,28,0,0,0,0,-1.0000
5,0,1,1,ACCEPT,8.9618,1.0263,39,5,19,0.6923,498.31,149.92,65.38,24.04,612.50,165.50,69.00,25.00,0.0000,115.25,1,-1,2.3749,ACCEPT,0,126,4401,9867,0,0,39,0,0,0,0,0.9806
6,0,1,0,NEGATIVE_PEAK,-7.8829,1.4000,-21,-33,33,0.0952,498.31,149.92,65.38,24.04,615.00,167.00,70.00,26.00,0.0000,117.93,0,0,0.0000,NOT_RUN,0,83,1718,0,0,0,21,0,0,0,0,-1.0000
7,0,1,0,NEGATIVE_PEAK,-8.2480,1.2667,-19,-38,29,0.2105,498.31,149.92,65.38,24.04,617.00,166.50,70.00,25.00,0.0000,119.84,0,0,0.0000,NOT_RUN,0,64,1216,0,0,0,19,0,0,0,0,-1.0000
8,0,1,0,NEGATIVE_PEAK,-10.7443,1.9091,-21,-42,24,0.1905,498.31,149.92,65.38,24.04,615.00,173.50,68.00,29.00,0.0000,119.05,0,0,0.0000,NOT_RUN,0,54,992,0,0,0,21,0,0,0,0,-1.0000
9,0,1,0,NEGATIVE_PEAK,-9.6797,1.2143,-17,-46,19,0.2941,498.31,149.92,65.38,24.04,613.00,174.50,64.00,35.00,0.0000,117.29,0,0,0.0000,NOT_RUN,0,43,635,0,0,0,17,0,0,0,0,-1.0000
