frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,56.00,538.00,16.00,18.00,56.00,538.00,16.00,18.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2374,22466,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,8.0395,1.0000,30,2,-30,0.3333,56.50,529.56,16.00,18.00,65.00,536.50,18.00,17.00,0.1781,10.97,1,0,3.0076,ACCEPT,0,259,2363,9211,0,0,30,0,0,0,0,0.9813
2,0,1,1,ACCEPT,16.7182,1.8571,26,56,15,0.2308,70.50,533.78,16.00,18.00,75.00,535.50,16.00,15.00,0.4748,4.82,1,0,3.1636,ACCEPT,0,48,7666,1590,0,0,26,0,0,0,0,0.9806
3,0,1,0,NEGATIVE_PEAK,-11.4354,1.3333,-16,40,0,0.3750,70.50,533.78,16.00,18.00,90.00,532.50,14.00,15.00,0.0000,19.54,0,0,0.0000,NOT_RUN,0,34,8456,0,0,0,16,0,0,0,0,-1.0000
4,0,1,0,NEGATIVE_PEAK,-7.1027,1.0000,-5,0,0,1.0000,70.50,533.78,16.00,18.00,99.50,531.50,15.00,15.00,0.0000,29.09,0,0,0.0000,NOT_RUN,0,24,11231,0,0,0,6,0,0,0,0,-1.0000
5,0,1,0,NEGATIVE_PEAK,-6.2778,1.0000,-6,27,0,0.6667,70.50,533.78,16.00,18.00,116.00,528.50,14.00,13.00,0.0000,45.81,0,0,0.0000,NOT_RUN,0,36,10608,0,0,0,7,0,0,0,0,-1.0000
6,0,1,0,NEGATIVE_PEAK,-5.9515,1.2000,-6,0,0,1.0000,70.50,533.78,16.00,18.00,125.00,528.50,14.00,13.00,0.0000,54.76,0,0,0.0000,NOT_RUN,0,30,8882,0,0,0,8,0,0,0,0,-1.0000
7,0,1,0,NEGATIVE_PEAK,-7.3127,1.5000,-6,-3,0,0.8333,70.50,533.78,16.00,18.00,135.50,525.00,15.00,14.00,0.0000,65.59,0,0,0.0000,NOT_RUN,0,37,7553,0,0,0,6,0,0,0,0,-1.0000
8,0,1,0,NEGATIVE_PEAK,-5.1228,1.0000,-5,28,0,0.8000,70.50,533.78,16.00,18.00,151.00,521.50,14.00,13.00,0.0000,81.43,0,0,0.0000,NOT_RUN,0,32,5036,0,0,0,6,0,0,0,0,-1.0000
9,0,1,0,NEGATIVE_PEAK,-5.9135,1.0000,-6,1,-5,0.5000,70.50,533.78,16.00,18.00,163.50,519.50,13.00,13.00,0.0000,94.09,0,0,0.0000,NOT_RUN,0,32,4755,0,0,0,6,0,0,0,0,-1.0000
10,0,1,0,NEGATIVE_PEAK,-8.0344,1.1429,-8,41,-40,0.5000,70.50,533.78,16.00,18.00,174.50,530.00,13.00,12.00,0.0000,104.07,0,0,0.0000,NOT_RUN,0,37,2313,0,0,0,8,0,0,0,0,-1.0000
11,0,1,0,NEGATIVE_PEAK,-11.7497,1.2222,-22,43,-29,0.3182,70.50,533.78,16.00,18.00,179.00,539.50,12.00,13.00,0.0000,108.65,0,0,0.0000,NOT_RUN,0,68,2125,0,0,0,22,0,0,0,0,-1.0000
12,0,1,0,NEGATIVE_PEAK,-14.8460,1.3833,-83,29,-29,0.0964,70.50,533.78,16.00,18.00,184.00,549.00,14.00,12.00,0.0000,114.52,0,0,0.0000,NOT_RUN,0,259,591,0,0,0,83,0,0,0,0,-1.0000
13,0,1,0,NEGATIVE_PEAK,-12.1479,1.3556,-61,36,-25,0.1148,70.50,533.78,16.00,18.00,194.00,559.50,12.00,13.00,0.0000,126.15,0,0,0.0000,NOT_RUN,0,234,965,0,0,0,61,0,0,0,0,-1.0000
14,0,1,0,NEGATIVE_PEAK,-9.7976,1.1000,-77,22,-24,0.0130,70.50,533.78,16.00,18.00,201.00,567.50,14.00,13.00,0.0000,134.79,0,0,0.0000,NOT_RUN,0,382,1069,0,0,0,77,0,0,0,0,-1.0000
