frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,213.00,108.00,52.00,265.00,213.00,108.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1285,18843,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,35.8906,5.5259,641,0,-2,0.7083,265.00,211.38,108.00,52.00,267.00,211.00,112.00,52.00,0.9507,2.03,1,0,3.1886,ACCEPT,0,708,1359,13406,0,0,641,0,0,0,0,0.9672
2,0,1,1,ACCEPT,19.1928,2.3716,434,1,-1,0.8733,266.69,210.56,108.00,52.00,269.50,210.00,111.00,50.00,0.9147,2.87,1,0,2.8072,ACCEPT,0,658,1170,12616,0,0,434,0,0,0,0,0.9722
3,0,1,1,ACCEPT,16.8060,2.1111,399,0,-3,0.3985,266.69,208.12,103.85,50.00,270.00,206.00,112.00,50.00,0.8541,3.94,1,-1,2.5633,ACCEPT,0,781,1250,11183,0,0,399,0,0,0,0,0.9707
4,0,1,1,ACCEPT,14.1641,2.0055,363,1,-1,0.7631,268.31,207.34,103.85,50.00,274.00,201.50,110.00,57.00,0.7268,8.15,1,0,2.3433,ACCEPT,0,889,1092,11040,0,0,363,0,0,0,0,0.9781
5,0,1,1,ACCEPT,12.7426,1.5708,344,2,-3,0.4273,271.56,205.00,99.85,48.08,277.50,196.50,111.00,61.00,0.6551,10.37,1,-1,2.2106,ACCEPT,0,838,1186,10620,0,0,344,0,0,0,0,0.9730
6,0,1,1,ACCEPT,11.4288,1.5324,331,1,-2,0.4894,273.12,203.50,99.85,48.08,279.00,195.00,110.00,60.00,0.6547,10.33,1,-1,1.6375,LOW_CONF,0,943,1215,9000,0,0,331,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,10.4181,1.2605,300,1,-3,0.2433,274.69,201.25,99.85,48.08,282.00,199.50,106.00,53.00,0.7896,7.52,1,-9,1.5316,MAX_STEP,0,1074,1365,8381,0,0,300,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,7.8024,1.1489,216,1,1,0.8380,276.25,202.00,99.85,48.08,282.50,193.00,103.00,66.00,0.6507,10.96,1,9,1.8674,MAX_STEP,0,956,1394,7888,0,0,216,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,7.7151,1.0342,242,0,1,0.9132,276.25,202.75,99.85,48.08,282.50,193.00,101.00,66.00,0.6350,11.58,1,0,2.8243,ACCEPT,0,1064,1192,8646,0,0,242,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,6.8588,1.0280,220,0,-3,0.8455,276.25,200.50,103.85,50.00,285.00,194.50,106.00,69.00,0.6247,10.61,1,1,2.2209,ACCEPT,0,950,1082,8647,0,0,220,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,7.2103,1.1277,212,1,4,0.6179,277.88,203.62,103.85,50.00,283.00,210.00,98.00,46.00,0.6980,8.18,1,0,2.2490,ACCEPT,0,821,993,9696,0,0,212,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,8.0068,1.0209,244,0,7,0.7131,277.88,209.09,103.85,50.00,282.50,214.00,101.00,46.00,0.7494,6.74,1,0,3.0770,ACCEPT,0,828,965,10751,0,0,244,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,10.0170,1.5291,315,0,1,0.8286,277.88,209.88,108.00,52.00,285.50,206.50,109.00,67.00,0.6836,8.34,1,1,2.7223,ACCEPT,0,865,1151,10554,0,0,315,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,8.9935,1.0749,287,19,-8,0.8955,309.94,203.38,112.32,54.08,284.00,205.00,108.00,84.00,0.4300,25.99,1,1,2.0166,ACCEPT,0,802,1329,11824,0,0,287,0,0,0,0,-1.0000
15,0,1,0,NEGATIVE_PEAK,-7.7459,1.2695,-391,-4,-6,0.7749,309.94,203.38,112.32,54.08,282.50,208.50,109.00,65.00,0.5198,27.91,0,0,0.0000,NOT_RUN,0,1436,2876,0,0,0,391,0,0,0,0,-1.0000
16,0,1,0,NEGATIVE_PEAK,-5.7830,1.0272,-264,5,-10,0.8144,309.94,203.38,112.32,54.08,281.50,212.00,115.00,72.00,0.4729,29.72,0,0,0.0000,NOT_RUN,0,1208,2747,0,0,0,264,0,0,0,0,-1.0000
17,0,1,0,NEGATIVE_PEAK,-7.4208,1.3364,-294,-5,-6,0.0068,309.94,203.38,112.32,54.08,260.00,214.00,72.00,72.00,0.2447,51.06,0,0,0.0000,NOT_RUN,0,1129,2644,0,0,0,294,0,0,0,0,-1.0000
18,0,1,0,NEGATIVE_PEAK,-8.7987,1.4891,-411,-8,-1,0.0657,309.94,203.38,112.32,54.08,278.00,214.50,114.00,67.00,0.4138,33.82,0,0,0.0000,NOT_RUN,0,1448,2540,0,0,0,411,0,0,0,0,-1.0000
19,0,1,0,NEGATIVE_PEAK,-8.1779,1.4177,-353,-9,4,0.1728,309.94,203.38,112.32,54.08,279.50,217.50,113.00,67.00,0.3883,33.56,0,0,0.0000,NOT_RUN,0,1438,2185,0,0,0,353,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,5.2984,1.0088,230,10,-2,0.0217,327.52,201.69,112.32,54.08,278.50,213.50,115.00,51.00,0.2829,50.42,1,2,1.8668,LOW_CONF,0,1341,1924,6986,0,0,230,0,0,0,0,0.9862
21,0,1,1,ACCEPT,8.4401,1.5610,320,0,5,0.2750,327.52,205.91,116.81,56.24,279.50,218.00,117.00,54.00,0.2987,49.52,1,1,2.3440,ACCEPT,0,1030,1761,6555,0,0,320,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,10.8575,1.6538,387,-1,1,0.7674,325.69,206.78,121.49,58.49,282.00,224.50,120.00,59.00,0.2868,47.14,1,1,2.0040,ACCEPT,0,920,1420,6250,0,0,387,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,10.2360,1.2686,359,0,3,0.8468,325.69,209.52,121.49,58.49,282.00,226.50,116.00,53.00,0.2813,46.87,1,0,2.3800,ACCEPT,0,1008,1290,6131,0,0,359,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,9.7877,1.2967,319,-1,-4,0.7806,323.79,205.87,126.34,60.83,284.00,229.50,116.00,49.00,0.2352,46.28,1,1,2.1007,ACCEPT,0,915,1306,6027,0,0,319,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,8.5701,1.0093,327,-1,0,0.9327,321.81,205.87,126.34,60.83,287.00,236.00,116.00,44.00,0.1771,46.04,1,1,1.9445,LOW_CONF,0,1116,1179,6268,0,0,327,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,13.7161,1.5974,492,0,0,1.0000,321.81,205.87,131.40,63.27,286.00,251.50,110.00,71.00,0.1276,58.01,1,1,2.2691,ACCEPT,0,1182,1259,5863,0,0,492,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,15.5869,1.8176,538,-1,-1,0.9257,319.76,204.88,142.12,68.43,285.50,254.50,109.00,77.00,0.1317,60.30,1,2,2.0775,ACCEPT,0,1140,1261,5669,0,0,538,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,15.3877,2.3000,483,-1,0,0.9317,317.54,204.88,147.81,71.17,285.00,252.50,110.00,73.00,0.1456,57.68,1,1,2.1207,ACCEPT,0,959,990,6492,0,0,483,0,0,0,0,-1.0000
29,0,1,1,ACCEPT,16.6636,2.4292,549,-1,1,0.7905,315.23,205.98,147.81,71.17,284.00,256.50,110.00,79.00,0.1428,59.39,1,1,1.8276,LOW_CONF,0,1140,920,6167,0,0,549,0,0,0,0,-1.0000
30,0,1,1,ACCEPT,13.7095,1.3056,440,0,0,1.0000,315.23,205.98,147.81,71.17,281.50,254.00,109.00,70.00,0.1334,58.68,1,2,1.6812,LOW_CONF,0,1008,909,6115,0,0,440,0,0,0,0,-1.0000
31,0,1,1,ACCEPT,15.9532,1.3158,475,0,0,1.0000,315.23,205.98,147.81,71.17,282.00,258.50,112.00,71.00,0.1076,62.14,1,1,1.5339,LOW_CONF,0,1086,1010,5662,0,0,475,0,0,0,0,-1.0000
32,0,1,1,ACCEPT,21.5773,2.3803,557,0,0,1.0000,315.23,205.98,147.81,71.17,279.50,263.00,111.00,66.00,0.0646,67.28,1,0,1.8187,LOW_CONF,0,1106,1130,5209,0,0,557,0,0,0,0,-1.0000
33,0,1,1,ACCEPT,24.8105,2.2749,571,0,0,1.0000,315.23,205.98,147.81,71.17,276.50,269.50,105.00,53.00,0.0000,74.39,1,0,2.0604,ACCEPT,0,1078,1178,5137,0,0,571,0,0,0,0,-1.0000
34,0,1,1,ACCEPT,28.5334,2.4754,604,0,0,1.0000,315.23,205.98,147.81,71.17,280.00,278.00,112.00,54.00,0.0000,80.17,1,0,2.2404,ACCEPT,0,1084,1178,5169,0,0,604,0,0,0,0,-1.0000
35,0,1,1,ACCEPT,30.0639,2.5142,621,0,0,1.0000,315.23,205.98,142.12,68.43,281.50,283.50,113.00,53.00,0.0000,84.53,1,-1,2.3603,ACCEPT,0,1103,1269,5080,0,0,621,0,0,0,0,-1.0000
36,0,1,1,ACCEPT,29.0510,2.8037,614,1,-1,0.8534,317.45,204.91,136.65,65.80,281.50,289.00,111.00,56.00,0.0000,91.45,1,-1,2.6431,ACCEPT,0,1194,1311,4913,0,0,614,0,0,0,0,-1.0000
