frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,240.50,549.00,21.00,74.00,240.50,549.00,21.00,74.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,492,7981,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,12.0197,2.0556,111,23,6,0.1441,248.05,555.94,21.00,74.00,250.00,556.00,12.00,44.00,0.3398,1.95,1,0,3.1069,ACCEPT,0,690,308,10926,0,0,111,0,0,0,0,0.9606
2,0,1,1,ACCEPT,14.0608,1.5299,205,15,2,0.0390,252.97,558.25,20.19,71.15,253.50,565.00,23.00,60.00,0.7292,6.77,1,-1,2.7112,ACCEPT,0,387,437,9575,0,0,205,0,0,0,0,0.9565
3,0,1,1,ACCEPT,14.7999,2.0385,212,14,2,0.0708,257.34,560.47,19.42,68.42,255.00,560.50,28.00,65.00,0.6690,2.34,1,-1,2.6134,ACCEPT,0,419,467,7031,0,0,212,0,0,0,0,0.9624
4,0,1,1,ACCEPT,13.3794,1.7475,173,14,1,0.0636,261.61,561.54,19.42,68.42,259.50,563.50,27.00,51.00,0.5773,2.88,1,0,2.8704,ACCEPT,0,350,601,5329,0,0,173,0,0,0,0,0.9727
5,0,1,1,ACCEPT,18.7887,2.1071,236,14,1,0.0975,265.88,562.61,19.42,68.42,264.00,564.00,24.00,48.00,0.6019,2.33,1,0,2.9066,ACCEPT,0,337,686,5133,0,0,236,0,0,0,0,0.9749
6,0,1,1,ACCEPT,14.5666,1.3280,166,26,4,0.1084,273.80,566.89,19.42,68.42,273.00,566.50,18.00,77.00,0.8230,0.89,1,0,2.9814,ACCEPT,0,403,414,5377,0,0,166,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,21.3064,1.7527,326,10,2,0.2822,276.84,569.03,19.42,68.42,276.50,563.50,15.00,69.00,0.6694,5.54,1,0,2.8827,ACCEPT,0,512,602,5317,0,0,326,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,21.3080,1.6648,298,13,1,0.1510,280.80,570.10,19.42,68.42,279.00,569.50,18.00,69.00,0.8112,1.90,1,0,2.8351,ACCEPT,0,383,525,5556,0,0,298,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,21.2019,1.7943,314,7,2,0.5159,282.94,572.24,19.42,68.42,282.00,572.00,20.00,54.00,0.7267,0.97,1,0,2.8748,ACCEPT,0,430,537,5491,0,0,314,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,19.4361,1.8924,299,9,2,0.1472,285.68,574.38,19.42,68.42,288.50,576.50,19.00,77.00,0.6713,3.53,1,0,2.9454,ACCEPT,0,446,295,7654,0,0,299,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,10.8090,1.3360,167,15,2,0.2695,290.25,576.52,19.42,68.42,287.50,576.00,23.00,80.00,0.6627,2.80,1,0,2.9045,ACCEPT,0,410,308,9352,0,0,167,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,12.6070,1.4262,174,13,-1,0.0575,294.21,575.45,19.42,68.42,285.50,573.00,31.00,76.00,0.4416,9.05,1,0,3.0466,ACCEPT,0,472,368,7753,0,0,174,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,12.0379,1.3830,195,14,2,0.2821,298.48,577.59,19.42,68.42,286.00,572.00,32.00,68.00,0.3096,13.67,1,0,3.0505,ACCEPT,0,534,435,6856,0,0,195,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,16.0277,1.8000,153,14,0,0.0523,302.74,577.59,19.42,68.42,293.00,577.50,36.00,69.00,0.4758,9.74,1,0,2.8942,ACCEPT,0,320,404,7581,0,0,153,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,18.1503,1.9029,196,9,1,0.2704,305.48,578.66,19.42,68.42,301.50,578.50,37.00,81.00,0.4432,3.99,1,0,2.9241,ACCEPT,0,446,376,6388,0,0,196,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,8.9076,1.0707,106,11,21,0.1887,308.84,601.14,19.42,68.42,314.00,580.00,22.00,64.00,0.3441,21.76,1,0,2.9285,ACCEPT,0,308,297,7686,0,0,106,0,0,0,0,-1.0000
17,0,1,0,NEGATIVE_PEAK,-9.0278,1.1007,-153,7,7,0.3660,308.84,601.14,19.42,68.42,315.50,584.50,15.00,71.00,0.3051,17.93,0,0,0.0000,NOT_RUN,0,421,303,0,0,0,153,0,0,0,0,-1.0000
18,0,1,0,NEGATIVE_PEAK,-11.8199,1.4602,-165,-2,15,0.2970,308.84,601.14,19.42,68.42,313.00,582.00,18.00,84.00,0.4128,19.59,0,0,0.0000,NOT_RUN,0,417,358,0,0,0,165,0,0,0,0,-1.0000
19,0,1,0,NEGATIVE_PEAK,-8.2516,1.0707,-106,17,-23,0.5660,308.84,601.14,19.42,68.42,314.50,579.00,23.00,80.00,0.3431,22.85,0,0,0.0000,NOT_RUN,0,371,417,0,0,0,106,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,7.4026,1.0645,66,23,-3,0.1364,315.84,597.93,20.19,71.15,320.00,577.00,22.00,70.00,0.3938,21.34,1,1,3.0328,ACCEPT,0,304,346,7677,0,0,66,0,0,0,0,0.9869
21,0,1,1,ACCEPT,9.5654,1.1053,84,-6,-10,0.3690,313.97,586.84,19.42,68.42,331.00,576.50,20.00,89.00,0.0626,19.92,1,-1,2.2412,ACCEPT,0,309,327,6917,0,0,84,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,9.5034,1.2576,83,-3,-2,0.1807,313.05,584.70,19.42,68.42,337.50,583.00,15.00,80.00,0.0000,24.50,1,0,2.9068,ACCEPT,0,315,385,7752,0,0,83,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,9.8306,1.0667,96,-5,3,0.1667,311.53,587.91,19.42,68.42,339.50,584.00,15.00,78.00,0.0000,28.24,1,0,2.9566,ACCEPT,0,404,397,6776,0,0,96,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,9.1871,1.0278,74,-5,-9,0.2973,310.01,578.27,19.42,68.42,339.00,581.00,24.00,80.00,0.0000,29.12,1,0,2.8466,ACCEPT,0,350,412,7181,0,0,74,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,9.9074,1.1688,90,1,-4,0.4000,310.31,573.99,19.42,68.42,340.00,580.00,32.00,76.00,0.0000,30.29,1,0,3.1045,ACCEPT,0,394,452,7134,0,0,90,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,11.7598,1.2857,108,-3,1,0.1852,309.40,575.06,19.42,68.42,357.50,579.00,11.00,94.00,0.0000,48.26,1,0,2.9507,ACCEPT,0,453,449,7081,0,0,108,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,12.7077,1.6667,105,-3,1,0.1524,308.48,576.13,19.42,68.42,358.50,578.50,15.00,49.00,0.0000,50.07,1,0,2.9133,ACCEPT,0,441,453,6854,0,0,105,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,11.9807,1.4306,103,-4,-1,0.4466,307.27,575.06,19.42,68.42,359.00,581.00,18.00,52.00,0.0000,52.07,1,0,3.0008,ACCEPT,0,448,467,7720,0,0,103,0,0,0,0,-1.0000
