frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,80.00,245.00,64.00,82.00,80.00,245.00,64.00,82.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2401,23275,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,18.4751,2.1753,211,19,-18,0.0948,99.00,221.94,64.00,82.00,97.50,212.00,69.00,84.00,0.7343,10.05,1,0,2.9004,ACCEPT,0,364,2339,25405,0,0,211,0,0,0,0,0.7792
2,0,1,1,ACCEPT,9.0576,1.4717,234,38,-14,0.2436,137.00,204.00,61.54,78.85,125.00,177.00,82.00,92.00,0.3922,29.55,1,-1,2.8387,ACCEPT,0,607,1664,16784,0,0,234,0,0,0,0,0.7520
3,0,1,1,ACCEPT,10.5200,1.6042,154,22,-15,0.2468,158.14,185.48,61.54,78.85,137.50,149.50,93.00,91.00,0.2628,41.48,1,0,2.5818,ACCEPT,0,367,2914,11033,0,0,154,0,0,0,0,0.7871
4,0,1,1,ACCEPT,5.7198,1.0102,99,46,3,0.3333,202.34,189.19,61.54,78.85,138.50,124.50,97.00,89.00,0.0225,90.89,1,-8,1.7973,MAX_STEP,0,454,4021,7164,0,0,99,0,0,0,0,0.7820
5,0,1,1,ACCEPT,7.9687,1.0583,109,27,-4,0.0183,228.29,184.25,61.54,78.85,143.00,105.50,84.00,81.00,0.0000,116.09,1,13,1.7745,MAX_STEP,0,429,5815,4228,0,0,109,0,0,0,0,0.7905
6,0,1,1,ACCEPT,9.2865,1.0723,89,17,-6,0.0337,244.62,176.84,61.54,78.85,161.00,98.00,84.00,62.00,0.0000,114.93,1,11,1.9211,MAX_STEP,0,399,6207,3604,0,0,89,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,9.0534,1.4167,85,10,0,0.3294,254.23,176.84,61.54,78.85,172.00,102.00,82.00,70.00,0.0000,111.19,1,11,1.8416,MAX_STEP,0,425,6627,3406,0,0,85,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,10.5884,1.4898,73,4,7,0.5342,258.08,185.48,61.54,78.85,185.00,113.50,92.00,91.00,0.0036,102.58,1,11,1.6146,MAX_STEP,0,306,6326,2763,0,0,73,0,0,0,0,-1.0000
9,0,1,0,NEGATIVE_PEAK,-8.4844,1.3396,-71,64,-5,0.2958,258.08,185.48,61.54,78.85,185.50,151.50,69.00,83.00,0.0000,80.14,0,0,0.0000,NOT_RUN,0,468,5891,0,0,0,71,0,0,0,0,-1.0000
10,0,1,0,NEGATIVE_PEAK,-8.0964,1.2754,-88,46,12,0.1250,258.08,185.48,61.54,78.85,170.50,181.50,81.00,103.00,0.0000,87.67,0,0,0.0000,NOT_RUN,0,423,5909,0,0,0,88,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,6.3709,1.0341,91,22,2,0.1099,279.22,187.95,61.54,78.85,159.50,214.00,91.00,84.00,0.0000,122.52,1,7,1.8418,MAX_STEP,0,516,7244,4191,0,0,91,0,0,0,0,-1.0000
12,0,1,0,NEGATIVE_PEAK,-5.5940,1.0556,-57,29,28,0.3860,279.22,187.95,61.54,78.85,162.00,251.50,84.00,75.00,0.0000,133.34,0,0,0.0000,NOT_RUN,0,354,8698,0,0,0,57,0,0,0,0,-1.0000
13,0,1,0,NEGATIVE_PEAK,-9.4889,1.7321,-97,6,-15,0.2680,279.22,187.95,61.54,78.85,166.50,282.00,83.00,68.00,0.0000,146.80,0,0,0.0000,NOT_RUN,0,382,9000,0,0,0,97,0,0,0,0,-1.0000
14,0,1,0,NEGATIVE_PEAK,-10.6081,1.6400,-123,15,-7,0.2846,279.22,187.95,61.54,78.85,172.00,304.00,106.00,94.00,0.0000,158.00,0,0,0.0000,NOT_RUN,0,348,8208,0,0,0,123,0,0,0,0,-1.0000
15,0,1,0,NEGATIVE_PEAK,-9.6419,1.1875,-114,15,0,0.5526,279.22,187.95,61.54,78.85,167.50,333.50,83.00,99.00,0.0000,183.48,0,0,0.0000,NOT_RUN,0,425,7256,0,0,0,114,0,0,0,0,-1.0000
16,0,1,0,NEGATIVE_PEAK,-9.4786,1.0849,-115,19,-7,0.2087,279.22,187.95,61.54,78.85,170.50,352.00,87.00,104.00,0.0000,196.80,0,0,0.0000,NOT_RUN,0,317,7646,0,0,0,115,0,0,0,0,-1.0000
17,0,1,0,NEGATIVE_PEAK,-6.9857,1.2338,-95,20,-26,0.1579,279.22,187.95,61.54,78.85,172.50,344.50,107.00,105.00,0.0000,189.46,0,0,0.0000,NOT_RUN,0,404,8928,0,0,0,95,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,6.7114,1.1905,100,17,-1,0.1000,295.55,186.72,61.54,78.85,174.50,348.50,95.00,79.00,0.0000,202.06,1,14,2.0402,MAX_STEP,0,505,7839,4226,0,0,100,0,0,0,0,-1.0000
19,0,1,1,ACCEPT,8.5228,1.3716,203,-3,-4,0.2266,292.67,181.78,61.54,78.85,179.50,374.50,97.00,89.00,0.0000,223.49,1,14,2.1417,MAX_STEP,0,634,5817,5260,0,0,203,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,14.9871,2.4150,355,0,-2,0.4620,292.67,179.31,61.54,78.85,186.00,402.50,100.00,101.00,0.0000,247.37,1,14,2.0953,MAX_STEP,0,773,5710,4027,0,0,355,0,0,0,0,0.7926
21,0,1,1,ACCEPT,19.6490,3.3958,489,5,-6,0.1022,297.48,171.91,61.54,78.85,195.50,413.50,89.00,95.00,0.0000,262.23,1,14,1.9933,MAX_STEP,0,760,5907,3489,0,0,489,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,22.4026,3.5102,516,6,-5,0.1260,303.24,165.73,61.54,78.85,207.00,417.50,74.00,75.00,0.0000,269.53,1,14,2.1423,MAX_STEP,0,777,6138,3364,0,0,516,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,26.1410,4.5317,571,7,-1,0.1068,309.97,164.50,61.54,78.85,216.50,418.00,73.00,72.00,0.0000,270.18,1,14,2.0561,MAX_STEP,0,819,5982,3452,0,0,571,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,25.5175,4.4062,564,6,3,0.0284,315.73,168.20,61.54,78.85,208.50,420.50,85.00,73.00,0.0000,274.14,1,15,1.9814,MAX_STEP,0,920,6248,3286,0,0,564,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,25.7568,4.1855,519,2,5,0.1927,317.66,174.38,61.54,78.85,194.00,410.50,90.00,81.00,0.0000,266.54,1,14,2.0979,MAX_STEP,0,846,4708,4012,0,0,519,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,30.3342,4.0000,716,-4,-1,0.2430,313.81,173.14,61.54,78.85,177.00,388.50,80.00,69.00,0.0000,255.14,1,14,1.9843,MAX_STEP,0,801,3311,6232,0,0,716,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,31.9921,3.6044,811,-5,-2,0.1147,309.01,170.67,61.54,78.85,165.50,359.50,81.00,67.00,0.0000,237.17,1,14,2.0412,MAX_STEP,0,860,3398,6090,0,0,811,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,33.4818,4.0914,806,6,-3,0.0199,314.77,166.97,61.54,78.85,159.50,326.50,85.00,81.00,0.0000,222.62,1,14,1.9273,MAX_STEP,0,955,4044,5344,0,0,806,0,0,0,0,-1.0000
29,0,1,1,ACCEPT,33.0832,4.3526,753,6,2,0.1301,320.54,169.44,61.54,78.85,157.00,309.00,88.00,86.00,0.0000,214.99,1,13,1.9982,MAX_STEP,0,924,4254,5533,0,0,753,0,0,0,0,-1.0000
30,0,1,1,ACCEPT,27.5324,3.9792,573,5,6,0.1257,325.34,176.84,61.54,78.85,169.00,306.50,66.00,77.00,0.0000,203.11,1,13,1.9036,MAX_STEP,0,929,4096,5080,0,0,573,0,0,0,0,-1.0000
31,0,1,1,ACCEPT,29.5549,3.8728,670,5,6,0.1358,330.15,184.25,61.54,78.85,177.50,300.50,57.00,69.00,0.0000,191.87,1,14,1.8951,MAX_STEP,0,1095,3729,5605,0,0,670,0,0,0,0,-1.0000
32,0,1,1,ACCEPT,37.7618,4.0965,934,-3,-6,0.1178,327.27,176.84,61.54,78.85,177.50,281.00,53.00,66.00,0.0000,182.42,1,14,1.8412,MAX_STEP,0,1160,2579,7848,0,0,934,0,0,0,0,-1.0000
33,0,1,1,ACCEPT,37.8597,3.8843,1041,1,-9,0.0999,328.23,165.73,61.54,78.85,177.50,260.50,65.00,65.00,0.0000,178.04,1,14,1.9827,MAX_STEP,0,1168,2663,7959,0,0,1041,0,0,0,0,-1.0000
34,0,1,1,ACCEPT,36.9244,4.0205,981,-3,-6,0.1427,325.34,158.33,61.54,78.85,173.50,249.00,67.00,64.00,0.0000,176.86,1,13,2.0027,MAX_STEP,0,1103,2793,7653,0,0,981,0,0,0,0,-1.0000
35,0,1,1,ACCEPT,39.5301,4.4583,1177,-4,-11,0.0153,321.50,144.75,61.54,78.85,169.50,231.50,65.00,57.00,0.0000,175.01,1,14,2.2310,MAX_STEP,0,1044,3094,7882,0,0,1177,0,0,0,0,-1.0000
36,0,1,1,ACCEPT,42.1633,5.1575,1310,0,-11,0.0405,321.50,131.17,61.54,78.85,168.00,215.50,60.00,51.00,0.0000,175.14,1,13,2.0631,MAX_STEP,0,1115,3202,8002,0,0,1310,0,0,0,0,-1.0000
37,0,1,1,ACCEPT,38.4382,3.9932,1174,3,-4,0.0043,324.38,126.23,61.54,78.85,166.50,205.00,57.00,48.00,0.0000,176.44,1,14,2.2945,MAX_STEP,0,1229,3776,6519,0,0,1174,0,0,0,0,-1.0000
38,0,1,1,ACCEPT,37.8605,4.9901,1013,-1,-2,0.4057,323.42,123.77,61.54,78.85,164.50,204.50,59.00,57.00,0.0000,178.25,1,13,1.7965,MAX_STEP,0,1022,3279,7857,0,0,1013,0,0,0,0,-1.0000
39,0,1,1,ACCEPT,37.9272,3.8146,1152,-4,0,0.4418,319.58,123.77,61.54,78.85,158.00,209.00,60.00,60.00,0.0000,182.68,1,14,1.9100,MAX_STEP,0,1164,3129,8289,0,0,1152,0,0,0,0,-1.0000
40,0,1,1,ACCEPT,34.1480,3.5985,968,-3,2,0.3678,316.70,126.23,61.54,78.85,148.00,215.00,58.00,62.00,0.0000,190.62,1,13,1.8980,MAX_STEP,0,1137,2808,8979,0,0,968,0,0,0,0,0.9471
41,0,1,1,ACCEPT,40.1003,5.0978,1147,4,-1,0.2659,320.54,125.00,61.54,78.85,152.00,219.50,46.00,55.00,0.0000,193.22,1,13,1.9525,MAX_STEP,0,1108,3387,7957,0,0,1147,0,0,0,0,-1.0000
