frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,387.50,169.00,107.00,76.00,387.50,169.00,107.00,76.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3173,25040,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,14.9429,2.2789,907,0,1,0.9912,387.50,170.19,111.28,79.04,383.50,169.00,119.00,76.00,0.8993,4.17,1,1,2.3989,ACCEPT,0,1988,3420,26086,0,0,907,0,0,0,0,0.9744
2,0,1,1,ACCEPT,6.7524,1.0727,546,-2,-2,0.4286,384.02,167.72,111.28,79.04,381.00,165.50,126.00,67.00,0.7622,3.74,1,8,1.7562,MAX_STEP,0,3197,3891,32767,0,0,546,0,0,0,0,0.9628
3,0,1,1,ACCEPT,6.1900,1.1613,540,-15,-16,0.1241,357.88,147.97,107.00,76.00,381.50,165.00,121.00,76.00,0.4442,29.12,1,-1,2.2585,ACCEPT,0,2132,3411,32767,0,0,540,0,0,0,0,0.9553
4,0,1,1,ACCEPT,10.0881,1.2413,890,0,-3,0.5393,357.88,144.41,111.28,79.04,379.00,168.00,100.00,96.00,0.4159,31.66,1,1,2.0103,ACCEPT,0,2870,2343,27695,0,0,890,0,0,0,0,0.9798
5,0,1,1,ACCEPT,8.4003,1.3029,542,-1,0,0.8469,356.14,144.41,102.88,73.08,386.00,167.00,74.00,94.00,0.3274,37.44,1,-2,2.1574,ACCEPT,0,2151,2239,19969,0,0,542,0,0,0,0,0.9540
6,0,1,0,NEGATIVE_PEAK,-6.3212,1.0364,-313,9,21,0.3674,356.14,144.41,102.88,73.08,381.00,172.00,54.00,104.00,0.3309,37.14,0,0,0.0000,NOT_RUN,0,1239,2275,0,0,0,313,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,8.2778,1.2416,406,0,4,0.3892,356.14,148.97,102.88,73.08,370.00,178.00,58.00,104.00,0.3418,32.17,1,-6,1.3583,MAX_STEP,0,1693,2222,17223,0,0,406,0,0,0,0,-1.0000
8,0,1,0,NEGATIVE_PEAK,-7.5642,1.2702,-550,-14,21,0.2491,356.14,148.97,102.88,73.08,351.00,164.00,72.00,96.00,0.5309,15.89,0,0,0.0000,NOT_RUN,0,2984,2540,0,0,0,550,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,7.6772,1.0584,471,-31,-5,0.2611,306.25,143.27,107.00,76.00,321.50,157.00,115.00,80.00,0.5505,20.52,1,1,2.0867,ACCEPT,0,2183,1791,23859,0,0,471,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,9.0185,1.1771,824,-10,17,0.4454,289.53,163.45,98.93,70.27,304.50,165.00,141.00,68.00,0.6786,15.05,1,-2,2.2578,ACCEPT,0,2458,2258,31274,0,0,824,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,9.9534,1.1869,1067,-5,6,0.0890,281.80,170.06,95.12,67.56,295.00,166.50,136.00,65.00,0.6415,13.68,1,-1,2.5529,ACCEPT,0,3227,1744,29867,0,0,1067,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,11.2780,1.1285,1265,1,2,0.2759,283.28,172.17,98.93,70.27,290.50,170.00,137.00,62.00,0.6587,7.54,1,1,2.0841,ACCEPT,0,3923,2084,23719,0,0,1265,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,8.5356,1.1143,1297,-2,-1,0.7201,280.19,171.07,98.93,70.27,282.00,174.50,140.00,65.00,0.6548,3.88,1,0,1.8310,LOW_CONF,0,4911,3252,24072,0,0,1297,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,9.9347,1.5231,1287,-8,-2,0.4235,267.81,168.87,98.93,70.27,276.00,176.00,126.00,84.00,0.6527,10.86,1,0,2.1798,ACCEPT,0,4061,3171,19482,0,0,1287,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,11.4348,1.3080,1168,4,-1,0.8887,274.00,167.77,98.93,70.27,277.00,188.00,104.00,118.00,0.5623,20.46,1,0,2.7424,ACCEPT,0,3444,2810,17472,0,0,1168,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,11.6317,1.3065,1040,4,0,0.4163,280.19,167.77,98.93,70.27,284.50,196.00,61.00,132.00,0.3999,28.56,1,0,2.4403,ACCEPT,0,3245,3010,13334,0,0,1040,0,0,0,0,-1.0000
17,0,1,0,NEGATIVE_PEAK,-7.0099,1.1450,-458,-10,22,0.1157,280.19,167.77,98.93,70.27,295.50,195.00,49.00,118.00,0.3467,31.24,0,0,0.0000,NOT_RUN,0,2478,2881,0,0,0,458,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,6.3601,1.0744,419,-17,18,0.1551,253.89,187.59,98.93,70.27,298.00,198.00,88.00,114.00,0.2566,45.32,1,0,1.5989,LOW_CONF,0,1762,2251,19483,0,0,419,0,0,0,0,-1.0000
19,0,1,1,ACCEPT,8.8220,1.1000,825,-10,-1,0.1176,238.42,186.49,98.93,70.27,285.50,201.50,95.00,99.00,0.2696,49.41,1,0,1.8847,LOW_CONF,0,3961,3109,19038,0,0,825,0,0,0,0,-1.0000
20,0,1,0,NEGATIVE_PEAK,-7.3640,1.0872,-636,-16,19,0.4135,238.42,186.49,98.93,70.27,265.50,205.00,83.00,104.00,0.3915,32.80,0,0,0.0000,NOT_RUN,0,2948,2618,0,0,0,636,0,0,0,0,-1.0000
21,0,1,0,NEGATIVE_PEAK,-6.9339,1.0204,-601,-2,-6,0.2479,238.42,186.49,98.93,70.27,238.00,200.50,58.00,125.00,0.4025,14.01,0,0,0.0000,NOT_RUN,0,2769,3862,0,0,0,601,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,9.2624,1.3216,752,-17,-11,0.0997,212.12,174.38,98.93,70.27,210.00,202.00,78.00,128.00,0.4785,27.71,1,-14,2.2408,MAX_STEP,0,3072,3181,12417,0,0,752,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,9.0009,1.2186,591,-23,-1,0.1726,176.55,173.27,98.93,70.27,192.50,198.50,109.00,101.00,0.4205,29.85,1,0,2.0265,ACCEPT,0,2558,2948,13874,0,0,591,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,9.5553,1.1274,699,4,18,0.1488,182.73,193.10,98.93,70.27,184.00,198.00,128.00,74.00,0.6807,5.06,1,0,2.6842,ACCEPT,0,2350,2204,18984,0,0,699,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,10.8182,1.5367,1194,-3,9,0.1390,178.09,203.02,102.88,73.08,181.00,200.50,132.00,65.00,0.7106,3.84,1,1,2.4033,ACCEPT,0,3053,2330,17612,0,0,1194,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,8.2190,1.1739,1195,8,0,0.1188,190.97,203.02,107.00,76.00,179.50,203.00,133.00,66.00,0.7171,11.47,1,1,2.5556,ACCEPT,0,4335,1883,18936,0,0,1195,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,11.9205,1.4660,1444,0,1,0.9238,190.97,204.20,107.00,76.00,180.00,204.00,134.00,70.00,0.7474,10.97,1,0,2.7052,ACCEPT,0,3741,1797,19614,0,0,1444,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,14.6152,1.9895,1709,1,1,0.8906,192.64,205.39,98.93,70.27,178.50,208.00,131.00,72.00,0.7058,14.38,1,-2,2.7076,ACCEPT,0,3616,2095,22064,0,0,1709,0,0,0,0,-1.0000
29,0,1,0,NEGATIVE_PEAK,-8.4155,1.1170,-1031,-5,3,0.7924,192.64,205.39,98.93,70.27,179.50,208.50,131.00,69.00,0.6994,13.50,0,0,0.0000,NOT_RUN,0,3094,1993,0,0,0,1031,0,0,0,0,-1.0000
30,0,1,1,ACCEPT,6.5924,1.0376,690,12,-14,0.0449,211.20,189.97,102.88,73.08,179.00,212.50,130.00,75.00,0.3356,39.30,1,1,2.1405,ACCEPT,0,2963,2077,19785,0,0,690,0,0,0,0,-1.0000
