frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,244.00,723.00,28.00,28.00,244.00,723.00,28.00,28.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,339,14762,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,39.1198,5.2571,184,1,2,0.4457,244.44,723.88,28.00,28.00,245.00,724.00,28.00,28.00,0.9522,0.58,1,0,3.2084,ACCEPT,0,287,348,13630,0,0,184,0,0,0,0,0.9728
2,0,1,1,ACCEPT,39.0742,5.6809,267,1,4,0.0150,244.88,725.62,28.00,28.00,245.00,724.00,28.00,28.00,0.8828,1.63,1,0,3.2767,ACCEPT,0,425,369,11540,0,0,267,0,0,0,0,0.9755
3,0,1,1,ACCEPT,37.7727,5.5000,231,-1,2,0.6190,244.44,726.50,28.00,28.00,245.00,726.00,28.00,28.00,0.9275,0.75,1,0,3.1911,ACCEPT,0,421,347,12275,0,0,231,0,0,0,0,0.9777
4,0,1,1,ACCEPT,36.5389,5.2979,249,1,2,0.3735,244.88,727.38,28.00,28.00,244.00,728.00,28.00,28.00,0.8996,1.08,1,0,3.2621,ACCEPT,0,449,362,10821,0,0,249,0,0,0,0,0.9795
5,0,1,1,ACCEPT,36.3685,5.3958,259,-2,5,0.0386,244.00,729.56,28.00,28.00,244.00,729.00,28.00,28.00,0.9606,0.56,1,0,3.3216,ACCEPT,0,467,328,11087,0,0,259,0,0,0,0,0.9811
6,0,1,1,ACCEPT,20.7397,1.7194,239,0,-1,0.9791,244.00,729.12,28.00,28.00,245.00,729.00,28.00,28.00,0.9230,1.01,1,0,3.3484,ACCEPT,0,523,317,12714,0,0,239,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,39.0987,4.7500,361,0,4,0.0914,244.00,730.88,28.00,28.00,245.00,730.00,28.00,28.00,0.8764,1.33,1,0,3.3463,ACCEPT,0,603,341,13761,0,0,361,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,40.8864,5.9545,393,0,1,0.9160,244.00,731.31,28.00,28.00,245.00,730.00,28.00,28.00,0.8503,1.65,1,0,3.3291,ACCEPT,0,656,337,10950,0,0,393,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,37.8631,4.6173,374,0,3,0.3128,244.00,732.62,28.00,28.00,245.00,731.00,28.00,28.00,0.8320,1.91,1,0,3.3253,ACCEPT,0,643,336,10414,0,0,374,0,0,0,0,-1.0000
