frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,90.50,160.50,127.00,43.00,90.50,160.50,127.00,43.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4075,19993,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,77.9840,15.1138,1859,-1,0,0.9968,88.52,160.50,127.00,43.00,89.50,160.50,127.00,43.00,0.9846,0.98,1,0,3.2210,ACCEPT,0,1025,3843,20568,0,0,1859,0,0,0,0,0.9408
2,0,1,1,ACCEPT,77.8051,14.3053,1874,0,-1,0.9573,88.52,159.83,127.00,43.00,88.50,160.50,127.00,43.00,0.9690,0.67,1,0,3.3207,ACCEPT,0,1047,3553,21617,0,0,1874,0,0,0,0,0.9428
3,0,1,1,ACCEPT,76.6094,13.9259,1880,0,1,0.9995,88.52,160.50,127.00,43.00,88.50,160.00,127.00,42.00,0.9765,0.50,1,0,3.1554,ACCEPT,0,1071,3315,23867,0,0,1880,0,0,0,0,0.9432
4,0,1,1,ACCEPT,75.8927,14.0486,2023,0,-1,0.7316,88.52,159.83,127.00,43.00,88.50,159.00,127.00,44.00,0.9624,0.83,1,0,3.2720,ACCEPT,0,1152,2985,24859,0,0,2023,0,0,0,0,0.9436
5,0,1,1,ACCEPT,74.7459,14.1448,2051,1,-1,0.9103,90.50,159.16,127.00,43.00,89.50,159.50,127.00,43.00,0.9689,1.06,1,0,3.2277,ACCEPT,0,1181,2800,24339,0,0,2051,0,0,0,0,0.9456
6,0,1,1,ACCEPT,75.8132,14.1103,2046,0,0,1.0000,90.50,159.16,127.00,43.00,89.50,158.00,127.00,42.00,0.9326,1.53,1,0,3.1487,ACCEPT,0,1165,2735,25655,0,0,2046,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,75.8099,14.5067,2176,0,-1,0.8971,90.50,158.48,127.00,43.00,90.00,157.00,126.00,42.00,0.9253,1.57,1,0,3.1891,ACCEPT,0,1219,2667,26479,0,0,2176,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,74.4126,14.6467,2197,0,-1,0.9404,90.50,157.81,127.00,43.00,90.50,156.00,127.00,42.00,0.9182,1.81,1,0,3.0849,ACCEPT,0,1266,2551,26723,0,0,2197,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,74.3742,13.0893,2199,0,-1,0.7885,90.50,157.14,127.00,43.00,90.50,155.50,127.00,41.00,0.9248,1.64,1,0,3.1852,ACCEPT,0,1258,2484,27792,0,0,2199,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,71.5857,13.5155,2176,1,0,0.9830,92.48,157.14,127.00,43.00,91.50,155.00,127.00,42.00,0.8908,2.36,1,0,2.9429,ACCEPT,0,1301,2392,27637,0,0,2176,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,73.5339,12.7586,2220,0,-1,0.8536,92.48,156.47,127.00,43.00,93.00,154.50,128.00,41.00,0.9036,2.04,1,0,3.1630,ACCEPT,0,1277,2303,29003,0,0,2220,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,73.4817,13.2674,2282,1,0,0.9864,94.47,156.47,122.12,41.35,92.50,153.00,127.00,40.00,0.8134,3.99,1,-1,2.7233,ACCEPT,0,1315,2272,28174,0,0,2282,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,62.1323,10.3046,2030,0,-2,0.7103,94.47,155.17,127.00,43.00,92.50,154.00,129.00,40.00,0.9035,2.29,1,1,3.0730,ACCEPT,0,1284,2305,29763,0,0,2030,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,74.4335,13.1547,2381,0,0,1.0000,94.47,155.17,127.00,43.00,93.50,153.00,129.00,42.00,0.8896,2.38,1,0,3.1251,ACCEPT,0,1388,2148,30787,0,0,2381,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,74.0360,13.7861,2385,0,-1,0.8922,94.47,154.50,127.00,43.00,93.50,153.00,129.00,42.00,0.9180,1.79,1,0,3.1943,ACCEPT,0,1428,2121,30383,0,0,2385,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,73.9686,13.7644,2395,1,-2,0.4981,96.45,153.16,127.00,43.00,94.50,152.50,127.00,43.00,0.9410,2.06,1,0,3.0313,ACCEPT,0,1412,2064,32685,0,0,2395,0,0,0,0,-1.0000
17,0,1,1,ACCEPT,72.1316,12.6510,2429,0,1,0.9938,96.45,153.83,127.00,43.00,94.50,152.50,127.00,41.00,0.9111,2.36,1,0,2.8200,ACCEPT,0,1481,2090,31232,0,0,2429,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,74.2336,13.3060,2435,0,-1,0.8612,96.45,153.16,127.00,43.00,94.00,151.50,126.00,41.00,0.8901,2.96,1,0,3.0132,ACCEPT,0,1448,2035,31523,0,0,2435,0,0,0,0,-1.0000
19,0,1,1,ACCEPT,75.0247,12.4564,2429,-1,1,0.8798,94.47,153.83,127.00,43.00,93.50,151.50,127.00,41.00,0.8821,2.52,1,0,3.1067,ACCEPT,0,1404,1978,32008,0,0,2429,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,76.7532,13.7418,2501,0,0,1.0000,94.47,153.83,127.00,43.00,93.50,153.00,127.00,42.00,0.9475,1.27,1,0,3.1378,ACCEPT,0,1450,1938,31178,0,0,2501,0,0,0,0,0.9547
21,0,1,1,ACCEPT,74.8146,13.8851,2416,0,0,1.0000,94.47,153.83,127.00,43.00,92.50,153.00,127.00,42.00,0.9330,2.14,1,0,3.0597,ACCEPT,0,1422,1931,31116,0,0,2416,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,74.4322,12.8777,2421,-1,1,0.8121,92.48,154.50,127.00,43.00,92.00,153.00,128.00,42.00,0.9249,1.58,1,0,3.2586,ACCEPT,0,1417,1913,31611,0,0,2421,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,73.0592,12.5864,2404,0,1,0.9904,92.48,155.17,127.00,43.00,92.00,153.00,128.00,42.00,0.8961,2.23,1,0,3.2582,ACCEPT,0,1442,1864,32223,0,0,2404,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,75.2135,12.5050,2526,0,1,0.9485,92.48,155.84,127.00,43.00,92.00,153.50,128.00,43.00,0.8900,2.39,1,0,3.0820,ACCEPT,0,1491,1839,31422,0,0,2526,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,75.4889,13.6108,2518,0,0,1.0000,92.48,155.84,127.00,43.00,92.50,154.50,127.00,43.00,0.9392,1.34,1,0,3.2678,ACCEPT,0,1473,1824,30914,0,0,2518,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,75.6033,13.0529,2467,0,1,0.8675,92.48,156.52,127.00,43.00,92.00,155.00,126.00,42.00,0.9240,1.59,1,0,3.2356,ACCEPT,0,1438,1821,31673,0,0,2467,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,74.2159,13.0421,2478,0,0,1.0000,92.48,156.52,127.00,43.00,92.50,155.00,127.00,42.00,0.9309,1.52,1,0,3.2557,ACCEPT,0,1503,1801,30205,0,0,2478,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,74.3822,13.1099,2386,0,0,1.0000,92.48,156.52,127.00,43.00,92.50,156.00,127.00,42.00,0.9758,0.52,1,0,3.2426,ACCEPT,0,1438,1811,29693,0,0,2386,0,0,0,0,-1.0000
29,0,1,1,ACCEPT,73.2149,12.9333,2328,1,1,0.7010,94.47,157.19,127.00,43.00,93.00,157.00,128.00,44.00,0.9552,1.48,1,0,3.1177,ACCEPT,0,1404,1820,31654,0,0,2328,0,0,0,0,-1.0000
30,0,1,1,ACCEPT,74.9790,12.7121,2517,0,2,0.6949,94.47,158.53,127.00,43.00,93.00,157.50,128.00,43.00,0.9319,1.79,1,0,2.9452,ACCEPT,0,1496,1841,31281,0,0,2517,0,0,0,0,-1.0000
31,0,1,1,ACCEPT,77.3854,14.3034,2546,0,-1,0.9065,94.47,157.86,127.00,43.00,93.50,158.00,127.00,42.00,0.9621,0.98,1,0,3.2353,ACCEPT,0,1475,1767,29826,0,0,2546,0,0,0,0,-1.0000
32,0,1,1,ACCEPT,77.7691,13.8701,2455,0,1,0.8485,94.47,158.53,127.00,43.00,94.00,157.00,128.00,44.00,0.9249,1.60,1,0,3.2574,ACCEPT,0,1401,1821,30430,0,0,2455,0,0,0,0,-1.0000
33,0,1,1,ACCEPT,75.4109,14.3588,2441,0,0,1.0000,94.47,158.53,127.00,43.00,94.50,157.00,127.00,44.00,0.9315,1.53,1,0,3.2484,ACCEPT,0,1465,1823,30001,0,0,2441,0,0,0,0,-1.0000
34,0,1,1,ACCEPT,78.1530,14.4244,2481,1,-1,0.8255,96.45,157.86,127.00,43.00,95.00,157.50,128.00,43.00,0.9614,1.50,1,0,3.1904,ACCEPT,0,1454,1809,29857,0,0,2481,0,0,0,0,-1.0000
35,0,1,1,ACCEPT,78.0713,14.1453,2433,0,0,1.0000,96.45,157.86,127.00,43.00,96.00,156.50,128.00,43.00,0.9316,1.43,1,0,3.1958,ACCEPT,0,1412,1797,29758,0,0,2433,0,0,0,0,-1.0000
36,0,1,1,ACCEPT,77.4776,14.1617,2365,0,-1,0.9518,96.45,157.19,127.00,43.00,95.50,156.00,127.00,44.00,0.9331,1.52,1,0,3.2831,ACCEPT,0,1373,1775,29293,0,0,2365,0,0,0,0,-1.0000
37,0,1,1,ACCEPT,77.5148,15.3243,2268,0,0,1.0000,96.45,157.19,127.00,43.00,96.50,155.50,127.00,41.00,0.9221,1.69,1,0,3.1311,ACCEPT,0,1317,1747,29356,0,0,2268,0,0,0,0,-1.0000
38,0,1,1,ACCEPT,75.1720,15.6143,2186,0,-1,0.7800,96.45,156.52,127.00,43.00,96.00,154.50,128.00,43.00,0.9037,2.07,1,0,3.0415,ACCEPT,0,1317,1725,29563,0,0,2186,0,0,0,0,-1.0000
39,0,1,1,ACCEPT,77.0657,15.2416,2271,0,-2,0.5403,96.45,155.17,127.00,43.00,96.50,154.00,127.00,42.00,0.9457,1.17,1,0,3.2596,ACCEPT,0,1335,1718,29318,0,0,2271,0,0,0,0,-1.0000
40,0,1,1,ACCEPT,77.3424,14.8882,2263,0,0,1.0000,96.45,155.17,127.00,43.00,96.50,153.50,127.00,43.00,0.9245,1.67,1,0,3.1527,ACCEPT,0,1320,1753,29532,0,0,2263,0,0,0,0,0.9570
41,0,1,1,ACCEPT,76.6489,14.7922,2278,0,-1,0.9214,96.45,154.50,127.00,43.00,96.50,152.00,127.00,42.00,0.8883,2.50,1,0,3.2052,ACCEPT,0,1346,1743,29504,0,0,2278,0,0,0,0,-1.0000
42,0,1,1,ACCEPT,77.6387,14.3975,2318,0,-1,0.8654,96.45,153.83,127.00,43.00,96.50,152.00,127.00,42.00,0.9169,1.83,1,0,3.2793,ACCEPT,0,1347,1723,28868,0,0,2318,0,0,0,0,-1.0000
43,0,1,1,ACCEPT,78.2016,15.1812,2262,0,0,1.0000,96.45,153.83,127.00,43.00,96.00,152.50,128.00,43.00,0.9330,1.40,1,0,3.2903,ACCEPT,0,1306,1769,28308,0,0,2262,0,0,0,0,-1.0000
44,0,1,1,ACCEPT,77.4396,15.2260,2223,0,0,1.0000,96.45,153.83,127.00,43.00,96.50,152.00,127.00,42.00,0.9169,1.83,1,0,3.2770,ACCEPT,0,1284,1769,28677,0,0,2223,0,0,0,0,-1.0000
45,0,1,1,ACCEPT,78.1154,15.4178,2251,0,0,1.0000,96.45,153.83,127.00,43.00,96.50,153.50,127.00,41.00,0.9528,0.33,1,0,3.2660,ACCEPT,0,1296,1772,28384,0,0,2251,0,0,0,0,-1.0000
46,0,1,1,ACCEPT,77.4552,15.3151,2236,1,1,0.9173,98.44,154.50,127.00,43.00,97.00,152.50,128.00,43.00,0.8917,2.46,1,0,3.1429,ACCEPT,0,1302,1791,28589,0,0,2236,0,0,0,0,-1.0000
47,0,1,1,ACCEPT,77.8369,14.9108,2341,0,-1,0.8847,98.44,153.83,127.00,43.00,97.50,152.00,127.00,42.00,0.9046,2.05,1,0,3.2634,ACCEPT,0,1361,1824,28432,0,0,2341,0,0,0,0,-1.0000
48,0,1,1,ACCEPT,76.4157,15.0452,2332,0,1,0.9618,98.44,154.50,127.00,43.00,97.50,152.00,127.00,42.00,0.8766,2.67,1,0,3.1737,ACCEPT,0,1356,1830,28489,0,0,2332,0,0,0,0,-1.0000
