frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3181,13856,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,10.4106,1.4828,129,-2,-19,0.1085,276.53,426.47,31.00,22.00,274.00,438.50,24.00,21.00,0.2370,12.29,1,-1,1.9088,LOW_CONF,0,364,2818,17361,0,0,129,0,0,0,0,0.9282
2,0,1,1,ACCEPT,13.1890,1.5764,227,-2,0,0.9075,275.56,426.47,31.00,22.00,271.00,438.50,26.00,21.00,0.2264,12.87,1,6,1.6710,MAX_STEP,0,507,2840,17939,0,0,227,0,0,0,0,0.9306
3,0,1,1,ACCEPT,17.3190,1.9701,132,-5,12,0.2197,273.14,430.59,31.00,22.00,275.50,430.50,25.00,19.00,0.6965,2.36,1,0,3.0527,ACCEPT,0,286,3022,11384,0,0,132,0,0,0,0,0.9400
4,0,1,1,ACCEPT,11.4586,1.1429,168,29,-7,0.2262,287.19,428.19,31.00,22.00,281.00,422.50,22.00,15.00,0.3462,8.40,1,0,3.4753,ACCEPT,0,527,1713,14771,0,0,168,0,0,0,0,0.9457
5,0,1,1,ACCEPT,10.9272,1.0601,194,2,-3,0.0155,288.16,427.16,31.00,22.00,287.00,411.00,30.00,16.00,0.0774,16.20,1,0,3.5283,ACCEPT,0,480,1158,30666,0,0,194,0,0,0,0,0.9372
6,0,1,1,ACCEPT,13.1699,1.3290,307,-18,-14,0.2020,279.44,422.34,29.81,21.15,283.50,407.50,29.00,15.00,0.0833,15.39,1,-1,2.5893,ACCEPT,0,789,853,32767,0,0,307,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,14.1477,1.2297,364,-1,-5,0.2253,278.97,420.70,28.66,20.34,285.00,407.00,30.00,14.00,0.0876,14.97,1,-1,2.7088,ACCEPT,0,870,1471,23105,0,0,364,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,10.5047,1.1357,293,-31,-3,0.0137,265.16,419.74,28.66,20.34,285.00,404.00,28.00,14.00,0.0126,25.32,1,0,2.3720,ACCEPT,0,881,1652,22537,0,0,293,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,13.2797,1.2824,386,-4,0,0.4974,263.38,419.74,28.66,20.34,286.00,404.00,30.00,12.00,0.0031,27.56,1,0,2.8325,ACCEPT,0,1308,2005,22955,0,0,386,0,0,0,0,-1.0000
