frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,275.00,720.50,72.00,35.00,275.00,720.50,72.00,35.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,6205,3271,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,24.9470,3.5938,115,0,-5,0.1478,275.00,717.77,72.00,35.00,276.50,717.00,73.00,36.00,0.9196,1.68,1,0,3.2935,ACCEPT,0,212,5852,2688,0,0,115,0,0,0,0,0.9215
2,0,1,1,ACCEPT,18.2175,2.2708,109,-1,-4,0.2752,273.88,715.58,72.00,35.00,275.50,712.00,69.00,32.00,0.7727,3.93,1,0,2.9048,ACCEPT,0,260,5524,3051,0,0,109,0,0,0,0,0.9229
3,0,1,1,ACCEPT,16.9919,3.2162,119,-1,-6,0.0084,272.75,712.30,72.00,35.00,273.50,710.00,67.00,34.00,0.8172,2.42,1,0,3.1981,ACCEPT,0,360,4857,2846,0,0,119,0,0,0,0,0.9253
4,0,1,1,ACCEPT,13.6985,2.2083,106,-1,-5,0.1509,271.62,709.56,72.00,35.00,273.50,706.00,67.00,34.00,0.7606,4.03,1,0,3.1021,ACCEPT,0,391,4690,2911,0,0,106,0,0,0,0,0.9265
5,0,1,1,ACCEPT,15.2896,2.4603,155,0,-8,0.0774,271.62,705.19,72.00,35.00,272.00,703.00,66.00,32.00,0.8056,2.22,1,0,3.0040,ACCEPT,0,529,4505,3235,0,0,155,0,0,0,0,0.9286
6,0,1,1,ACCEPT,14.9550,1.9130,176,-1,0,0.9375,270.50,705.19,72.00,35.00,270.00,700.50,64.00,31.00,0.6731,4.71,1,0,3.0166,ACCEPT,0,443,4306,3418,0,0,176,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,15.1093,1.6260,200,-1,-5,0.0300,269.38,702.45,72.00,35.00,274.50,697.00,73.00,30.00,0.6310,7.48,1,0,3.0429,ACCEPT,0,556,3831,3562,0,0,200,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,9.7925,1.1789,145,1,-1,0.8345,270.50,701.91,72.00,35.00,273.50,694.50,75.00,29.00,0.5855,7.99,1,0,2.9142,ACCEPT,0,496,3290,3357,0,0,145,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,9.4487,1.5657,155,-1,-8,0.2194,269.38,697.53,72.00,35.00,273.50,693.00,75.00,30.00,0.6857,6.13,1,0,2.9151,ACCEPT,0,519,3125,3555,0,0,155,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,7.0510,1.0750,129,1,-5,0.4341,270.50,694.80,69.23,33.65,275.00,690.00,74.00,30.00,0.6631,6.58,1,-1,2.6943,ACCEPT,0,553,2916,3853,0,0,129,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,8.8378,1.3504,185,3,-4,0.1297,273.73,692.70,69.23,33.65,275.50,686.50,71.00,31.00,0.6504,6.45,1,0,2.9137,ACCEPT,0,701,2929,3855,0,0,185,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,12.4031,1.9760,247,3,-4,0.2672,276.97,690.61,69.23,33.65,277.00,685.00,66.00,30.00,0.6708,5.61,1,0,2.7830,ACCEPT,0,679,2509,3586,0,0,247,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,11.6549,1.7373,205,1,-9,0.0488,278.05,685.90,69.23,33.65,274.00,681.00,62.00,30.00,0.6548,6.35,1,0,2.9521,ACCEPT,0,637,2297,3400,0,0,205,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,11.6867,1.8829,209,0,-8,0.4450,278.05,681.71,69.23,33.65,275.00,678.00,58.00,30.00,0.6686,4.80,1,0,3.1369,ACCEPT,0,669,2509,3092,0,0,209,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,13.6216,1.8720,234,-1,-12,0.1197,276.97,675.43,66.57,32.36,274.50,672.50,61.00,29.00,0.7590,3.83,1,-1,2.8435,ACCEPT,0,868,2304,3441,0,0,234,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,14.0946,1.5673,268,-1,-8,0.4179,275.93,671.37,66.57,32.36,275.50,668.00,59.00,28.00,0.7113,3.39,1,0,2.9409,ACCEPT,0,1031,2179,4006,0,0,268,0,0,0,0,-1.0000
