frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,297.00,455.50,154.00,229.00,297.00,455.50,154.00,229.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,9551,5681,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,77.5241,14.8049,1214,0,0,1.0000,297.00,455.50,154.00,229.00,298.50,449.50,149.00,217.00,0.9168,6.18,1,0,3.3389,ACCEPT,0,801,8989,5969,0,0,1214,0,0,0,0,0.9544
2,0,1,1,ACCEPT,77.4424,15.7531,1276,0,0,1.0000,297.00,455.50,154.00,229.00,294.00,450.00,152.00,218.00,0.9159,6.26,1,0,3.3497,ACCEPT,0,834,8394,6489,0,0,1276,0,0,0,0,0.9551
3,0,1,1,ACCEPT,71.4483,12.2736,1301,-1,0,0.9962,294.59,455.50,154.00,229.00,294.50,450.50,149.00,217.00,0.9168,5.00,1,0,3.2177,ACCEPT,0,895,7825,7051,0,0,1301,0,0,0,0,0.9556
4,0,1,1,ACCEPT,71.2022,13.8515,1399,-1,0,0.9278,292.19,455.50,154.00,229.00,292.00,450.50,150.00,217.00,0.9230,5.00,1,0,3.2344,ACCEPT,0,961,7347,7050,0,0,1399,0,0,0,0,0.9557
5,0,1,1,ACCEPT,72.3365,13.7429,1443,0,0,1.0000,292.19,455.50,154.00,229.00,292.50,450.50,149.00,217.00,0.9168,5.01,1,0,3.2972,ACCEPT,0,982,6962,7512,0,0,1443,0,0,0,0,0.9559
6,0,1,1,ACCEPT,74.2006,14.2845,1657,-1,0,0.8890,289.78,455.50,154.00,229.00,289.50,449.50,149.00,217.00,0.9168,6.01,1,0,3.3466,ACCEPT,0,1132,6582,8150,0,0,1657,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,72.3487,14.0394,1783,-1,0,0.9288,287.38,455.50,154.00,229.00,288.00,449.50,150.00,217.00,0.9230,6.03,1,0,3.2979,ACCEPT,0,1217,6147,8978,0,0,1783,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,70.1651,12.8095,1883,0,0,1.0000,287.38,455.50,154.00,229.00,286.00,449.50,148.00,217.00,0.9107,6.16,1,0,3.2823,ACCEPT,0,1353,5778,9475,0,0,1883,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,72.5356,12.6087,2030,-1,0,0.9389,284.97,455.50,154.00,229.00,285.50,449.50,147.00,217.00,0.9045,6.02,1,0,3.3327,ACCEPT,0,1385,5440,9874,0,0,2030,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,73.7665,13.9474,2120,0,0,1.0000,284.97,455.50,154.00,229.00,283.50,449.50,147.00,217.00,0.9045,6.18,1,0,3.3477,ACCEPT,0,1465,5008,10534,0,0,2120,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,68.8054,13.6753,2106,0,0,1.0000,284.97,455.50,154.00,229.00,284.00,450.50,148.00,217.00,0.9107,5.09,1,0,3.2885,ACCEPT,0,1560,4819,11443,0,0,2106,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,73.3890,14.3174,2391,-1,0,0.8837,282.56,455.50,154.00,229.00,283.00,450.50,148.00,217.00,0.9107,5.02,1,0,3.3098,ACCEPT,0,1656,4741,11770,0,0,2391,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,72.1719,15.3758,2414,0,0,1.0000,282.56,455.50,154.00,229.00,283.00,451.00,146.00,218.00,0.9025,4.52,1,0,3.2745,ACCEPT,0,1709,4696,12466,0,0,2414,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,73.7146,16.5974,2556,0,0,1.0000,282.56,455.50,154.00,229.00,280.50,450.50,149.00,217.00,0.9168,5.41,1,0,3.2744,ACCEPT,0,1779,4628,12634,0,0,2556,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,70.3124,14.3779,2473,-1,0,0.9466,280.16,455.50,154.00,229.00,280.00,451.50,148.00,217.00,0.9107,4.00,1,0,3.1285,ACCEPT,0,1763,4616,13074,0,0,2473,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,70.3299,14.2818,2585,0,1,0.9408,280.16,459.08,154.00,229.00,280.50,452.50,147.00,217.00,0.8999,6.59,1,0,3.2786,ACCEPT,0,1819,4513,12778,0,0,2585,0,0,0,0,-1.0000
17,0,1,1,ACCEPT,65.5574,12.2344,2349,0,-1,0.9949,280.16,455.50,154.00,229.00,279.50,451.00,149.00,218.00,0.9211,4.55,1,0,3.2640,ACCEPT,0,1785,4490,13331,0,0,2349,0,0,0,0,-1.0000
18,0,1,1,ACCEPT,70.4564,14.6441,2592,-1,0,0.9140,277.75,455.50,154.00,229.00,279.00,451.50,150.00,217.00,0.9230,4.19,1,0,3.2407,ACCEPT,0,1803,4446,14173,0,0,2592,0,0,0,0,-1.0000
19,0,1,1,ACCEPT,68.4164,13.1692,2647,0,1,0.9773,277.75,459.08,154.00,229.00,277.50,451.50,151.00,217.00,0.9162,7.58,1,0,3.2295,ACCEPT,0,1922,4412,14272,0,0,2647,0,0,0,0,-1.0000
20,0,1,1,ACCEPT,72.7161,14.2990,2774,0,0,1.0000,277.75,459.08,154.00,229.00,276.50,453.50,151.00,217.00,0.9291,5.72,1,0,3.3084,ACCEPT,0,1958,4356,14204,0,0,2774,0,0,0,0,0.9591
21,0,1,1,ACCEPT,68.5097,13.1576,2671,0,0,1.0000,277.75,459.08,154.00,229.00,278.50,451.50,153.00,217.00,0.9253,7.62,1,0,3.2201,ACCEPT,0,1966,4361,14293,0,0,2671,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,71.2563,14.1624,2790,-1,0,0.9287,275.34,459.08,154.00,229.00,280.00,454.00,152.00,218.00,0.8967,6.89,1,0,3.2725,ACCEPT,0,1976,4303,14178,0,0,2790,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,69.4596,12.8510,2673,0,0,1.0000,275.34,459.08,154.00,229.00,279.50,453.50,151.00,219.00,0.9017,6.96,1,0,3.2385,ACCEPT,0,1963,4306,14116,0,0,2673,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,70.7739,14.4255,2712,1,0,0.9192,277.75,459.08,154.00,229.00,281.00,452.50,152.00,219.00,0.9045,7.34,1,0,3.2172,ACCEPT,0,1936,4169,15108,0,0,2712,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,69.7254,11.9914,2794,4,0,0.2337,287.38,459.08,154.00,229.00,289.50,453.50,149.00,219.00,0.9206,5.97,1,0,3.2753,ACCEPT,0,2020,4086,14274,0,0,2794,0,0,0,0,-1.0000
