frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,446.50,516.00,121.00,136.00,446.50,516.00,121.00,136.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,461,32767,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,21.5915,2.9200,146,-13,1,0.1233,421.92,518.12,121.00,136.00,422.00,518.50,122.00,141.00,0.9566,0.38,1,0,2.8760,ACCEPT,0,213,354,32767,0,0,146,0,0,0,0,0.9530
2,0,1,1,ACCEPT,14.1765,1.7143,132,-4,-4,0.1212,414.36,509.62,121.00,136.00,414.00,511.50,122.00,147.00,0.9176,1.91,1,0,3.1706,ACCEPT,0,304,378,32767,0,0,132,0,0,0,0,0.9562
3,0,1,1,ACCEPT,10.4044,1.7361,125,-7,-5,0.2960,401.12,499.00,121.00,136.00,403.50,510.00,115.00,148.00,0.8183,11.25,1,0,2.5100,ACCEPT,0,405,393,32768,0,0,125,0,0,0,0,0.9619
4,0,1,1,ACCEPT,11.3677,1.8308,238,-5,-6,0.1429,391.67,486.25,121.00,136.00,400.50,499.50,105.00,171.00,0.6998,15.92,1,0,2.9699,ACCEPT,0,543,396,32767,0,0,238,0,0,0,0,0.9657
5,0,1,1,ACCEPT,9.9651,1.5147,206,-6,-6,0.0291,380.33,473.50,121.00,136.00,384.00,480.00,98.00,164.00,0.6942,7.47,1,0,3.1751,ACCEPT,0,634,458,32767,0,0,206,0,0,0,0,0.9685
6,0,1,1,ACCEPT,9.0872,1.3547,275,-3,-6,0.1055,374.66,460.75,121.00,136.00,378.50,469.00,103.00,164.00,0.7243,9.10,1,0,2.8480,ACCEPT,0,866,515,32767,0,0,275,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,8.6499,1.2883,353,3,-3,0.0170,380.33,454.38,121.00,136.00,379.00,450.50,104.00,167.00,0.7187,4.10,1,0,3.0241,ACCEPT,0,1486,633,32767,0,0,353,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,10.2265,1.5000,456,-2,-6,0.5110,376.55,441.62,121.00,136.00,376.00,449.00,114.00,148.00,0.8535,7.40,1,0,3.0537,ACCEPT,0,1296,583,32767,0,0,456,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,12.1789,1.4344,525,2,-2,0.4171,380.33,437.38,121.00,136.00,379.50,440.50,109.00,157.00,0.7908,3.23,1,0,2.8387,ACCEPT,0,1409,692,32767,0,0,525,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,9.4748,1.4130,479,3,-2,0.2171,386.00,433.12,121.00,136.00,389.00,428.00,120.00,170.00,0.7655,5.94,1,0,2.7437,ACCEPT,0,1864,825,28535,0,0,479,0,0,0,0,-1.0000
