frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,59.00,352.00,40.00,40.00,59.00,352.00,40.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3165,32767,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,6.8616,1.0402,517,-9,2,0.5899,53.38,353.25,40.00,40.00,52.50,352.50,43.00,35.00,0.8211,1.15,1,0,2.4220,ACCEPT,0,2762,3478,11914,0,0,517,0,0,0,0,0.9493
2,0,1,1,ACCEPT,9.1053,1.6216,240,-12,2,0.1583,45.88,354.50,40.00,40.00,45.50,351.00,47.00,32.00,0.7018,3.52,1,0,2.7666,ACCEPT,0,806,2923,31218,0,0,240,0,0,0,0,0.9601
3,0,1,1,ACCEPT,17.5555,3.1724,736,-13,0,0.2595,37.75,354.50,40.00,40.00,40.50,352.00,51.00,34.00,0.6890,3.72,1,0,2.7671,ACCEPT,0,1727,2258,32767,0,0,736,0,0,0,0,0.9623
4,0,1,1,ACCEPT,13.3032,2.2811,568,-6,4,0.1954,34.00,357.00,40.00,40.00,37.50,352.50,51.00,39.00,0.6396,5.70,1,0,2.7682,ACCEPT,0,1452,2900,28217,0,0,568,0,0,0,0,0.9647
5,0,1,1,ACCEPT,15.3171,1.9609,853,1,6,0.1383,34.62,360.75,40.00,40.00,39.50,357.00,53.00,40.00,0.6388,6.15,1,0,2.8016,ACCEPT,0,2010,2701,29417,0,0,853,0,0,0,0,0.9662
6,0,1,1,ACCEPT,11.4342,2.0494,705,9,5,0.0752,40.25,363.88,40.00,40.00,43.00,365.00,48.00,40.00,0.7913,2.97,1,0,2.6232,ACCEPT,0,1850,1306,32767,0,0,705,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,11.6804,1.2560,579,13,8,0.0432,48.38,368.88,40.00,40.00,52.00,370.00,44.00,38.00,0.7992,3.80,1,0,2.4941,ACCEPT,0,1685,1772,32767,0,0,579,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,9.5448,1.2871,538,13,9,0.0576,56.50,374.50,40.00,40.00,58.00,375.00,44.00,40.00,0.8876,1.58,1,0,2.6609,ACCEPT,0,1863,3388,25256,0,0,538,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,8.8758,1.2226,637,18,9,0.2433,67.75,380.12,40.00,40.00,66.00,378.50,40.00,39.00,0.8466,2.39,1,0,2.3776,ACCEPT,0,2784,2131,26275,0,0,637,0,0,0,0,-1.0000
