frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,264.00,438.50,136.00,103.00,264.00,438.50,136.00,103.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1319,32767,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,68.8203,10.9079,1658,1,-1,0.6490,266.12,436.89,136.00,103.00,266.00,437.00,134.00,104.00,0.9760,0.17,1,0,3.1944,ACCEPT,0,1055,1262,32767,0,0,1658,0,0,0,0,0.9581
2,0,1,1,ACCEPT,66.3599,12.0753,2246,2,0,0.4408,270.38,436.89,136.00,103.00,270.50,437.00,133.00,102.00,0.9684,0.17,1,0,3.2362,ACCEPT,0,1414,1173,32767,0,0,2246,0,0,0,0,0.9590
3,0,1,1,ACCEPT,16.2760,1.7555,962,6,0,0.1383,283.12,436.89,136.00,103.00,284.00,438.50,120.00,101.00,0.8555,1.83,1,0,3.2372,ACCEPT,0,1348,1253,32767,0,0,962,0,0,0,0,0.9667
4,0,1,1,ACCEPT,10.0455,1.3354,848,8,1,0.0259,300.12,438.50,136.00,103.00,302.50,445.00,121.00,110.00,0.7951,6.92,1,0,3.3625,ACCEPT,0,2327,1032,32767,0,0,848,0,0,0,0,0.9693
5,0,1,1,ACCEPT,15.0009,2.0481,1149,11,1,0.0339,323.50,440.11,136.00,103.00,323.00,464.50,100.00,113.00,0.4934,24.40,1,0,3.2782,ACCEPT,0,2409,968,32767,0,0,1149,0,0,0,0,0.9693
6,0,1,1,ACCEPT,10.0350,1.1740,850,6,1,0.0600,336.25,441.72,130.77,99.04,326.00,487.00,90.00,120.00,0.3217,46.43,1,-1,2.6138,ACCEPT,0,2077,700,32767,0,0,850,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,12.4637,2.1754,868,9,1,0.1060,354.67,443.27,136.00,103.00,350.50,528.00,87.00,114.00,0.0946,84.84,1,1,3.0402,ACCEPT,0,1915,464,32767,0,0,868,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,20.5005,3.1429,1144,5,1,0.0131,365.30,444.88,136.00,103.00,353.00,555.50,98.00,87.00,0.0000,111.31,1,0,3.1389,ACCEPT,0,1614,379,32767,0,0,1144,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,19.7422,2.9211,1110,5,-11,0.0667,375.92,427.17,136.00,103.00,356.00,572.50,118.00,81.00,0.0000,146.69,1,0,3.2339,ACCEPT,0,1694,371,32767,0,0,1110,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,18.0862,2.8735,931,1,-16,0.0301,378.05,401.42,136.00,103.00,357.00,570.00,110.00,94.00,0.0000,169.89,1,0,3.1197,ACCEPT,0,1610,401,21938,0,0,931,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,7.3970,1.0743,448,-10,-3,0.5112,356.80,396.59,136.00,103.00,358.50,449.00,97.00,74.00,0.1980,52.43,1,-1,1.9523,LOW_CONF,0,2116,560,19146,0,0,448,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,8.0483,1.0859,493,-16,-14,0.0101,322.80,374.06,130.77,99.04,346.00,376.50,100.00,69.00,0.4715,23.33,1,-1,2.4136,ACCEPT,0,1561,607,12738,0,0,493,0,0,0,0,-1.0000
13,0,1,0,NEGATIVE_PEAK,-9.3816,1.4015,-370,-9,-24,0.1811,322.80,374.06,130.77,99.04,343.00,315.50,112.00,77.00,0.1603,61.95,0,0,0.0000,NOT_RUN,0,1706,628,0,0,0,370,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,8.2154,1.0230,400,-13,-11,0.0750,296.19,357.05,130.77,99.04,349.00,336.00,100.00,88.00,0.2634,56.85,1,-1,1.6501,LOW_CONF,0,2291,549,20064,0,0,400,0,0,0,0,-1.0000
15,0,1,0,NEGATIVE_PEAK,-6.9127,1.0661,-387,27,10,0.1938,296.19,357.05,130.77,99.04,338.50,382.00,99.00,62.00,0.2678,49.12,0,0,0.0000,NOT_RUN,0,3697,1408,0,0,0,387,0,0,0,0,-1.0000
16,0,1,0,NEGATIVE_PEAK,-4.7880,1.0361,-201,-28,8,0.6866,296.19,357.05,130.77,99.04,333.50,419.50,111.00,57.00,0.0724,72.75,0,0,0.0000,NOT_RUN,0,2890,1433,0,0,0,201,0,0,0,0,-1.0000
17,0,1,0,NEGATIVE_PEAK,-5.0910,1.0114,-177,-27,-7,0.5537,296.19,357.05,130.77,99.04,334.00,476.50,102.00,67.00,0.0000,125.29,0,0,0.0000,NOT_RUN,0,2609,1438,0,0,0,177,0,0,0,0,-1.0000
18,0,1,0,NEGATIVE_PEAK,-5.3262,1.1529,-181,-27,5,0.5138,296.19,357.05,130.77,99.04,342.00,512.50,100.00,69.00,0.0000,162.06,0,0,0.0000,NOT_RUN,0,2441,1581,0,0,0,181,0,0,0,0,-1.0000
19,0,1,0,NEGATIVE_PEAK,-5.8213,1.2876,-197,-29,1,0.6142,296.19,357.05,130.77,99.04,325.50,532.00,111.00,56.00,0.0000,177.39,0,0,0.0000,NOT_RUN,0,2428,1429,0,0,0,197,0,0,0,0,-1.0000
20,0,1,0,NEGATIVE_PEAK,-5.2689,1.1656,-176,-30,-2,0.2784,296.19,357.05,130.77,99.04,322.00,537.50,108.00,47.00,0.0000,182.29,0,0,0.0000,NOT_RUN,0,2415,1305,0,0,0,176,0,0,0,0,-1.0000
21,0,1,0,LOW_PSR,4.9441,1.0654,163,-4,8,0.1840,296.19,357.05,130.77,99.04,328.00,532.00,88.00,44.00,0.0000,177.82,0,0,0.0000,NOT_RUN,0,2446,1190,0,0,0,163,0,0,0,0,-1.0000
22,0,1,1,ACCEPT,5.5665,1.1776,179,-5,6,0.0894,285.95,366.33,130.77,99.04,320.00,527.50,100.00,47.00,0.0000,164.73,1,0,1.7561,LOW_CONF,0,2414,1127,5241,0,0,179,0,0,0,0,-1.0000
23,0,1,1,ACCEPT,5.5718,1.0000,100,0,-2,0.6500,285.95,363.23,130.77,99.04,311.50,518.00,117.00,56.00,0.0000,156.86,1,-1,1.9006,LOW_CONF,0,1269,1346,5292,0,0,100,0,0,0,0,-1.0000
24,0,1,1,ACCEPT,6.3510,1.0268,115,-1,-1,0.8783,283.91,361.69,130.77,99.04,313.50,513.00,109.00,58.00,0.0000,154.18,1,-1,1.6351,LOW_CONF,0,1243,1247,6206,0,0,115,0,0,0,0,-1.0000
25,0,1,1,ACCEPT,6.9738,1.0615,138,-1,-1,0.7246,281.86,360.14,130.77,99.04,314.00,506.00,92.00,54.00,0.0000,149.36,1,1,1.8521,LOW_CONF,0,1351,1316,5531,0,0,138,0,0,0,0,-1.0000
26,0,1,1,ACCEPT,7.6607,1.1901,144,0,-1,0.9792,281.86,358.59,130.77,99.04,307.00,502.50,114.00,49.00,0.0000,146.09,1,3,1.5311,MAX_STEP,0,1277,1375,5422,0,0,144,0,0,0,0,-1.0000
27,0,1,1,ACCEPT,9.4871,1.4048,177,0,1,0.8249,281.86,360.14,130.77,99.04,305.00,503.50,116.00,43.00,0.0000,145.22,1,-2,1.4802,LOW_CONF,0,1264,1403,4935,0,0,177,0,0,0,0,-1.0000
28,0,1,1,ACCEPT,10.4649,1.6228,185,0,1,0.9189,281.86,361.69,130.77,99.04,312.00,508.50,100.00,47.00,0.0000,149.87,1,1,1.7273,LOW_CONF,0,1191,1393,4948,0,0,185,0,0,0,0,-1.0000
29,0,1,1,ACCEPT,10.7932,1.4844,190,0,0,1.0000,281.86,361.69,130.77,99.04,298.50,518.00,113.00,42.00,0.0000,157.20,1,3,1.4704,MAX_STEP,0,1175,1445,4933,0,0,190,0,0,0,0,-1.0000
