frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,212.00,524.00,28.00,20.00,212.00,524.00,28.00,20.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3485,6253,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,10.4048,1.7500,21,6,29,0.2857,214.62,533.06,28.00,20.00,213.00,533.50,28.00,19.00,0.8481,1.68,1,0,3.1119,ACCEPT,0,67,1883,9313,0,0,21,0,0,0,0,0.8441
2,0,1,1,ACCEPT,8.0071,1.0000,31,13,32,0.2903,220.31,543.06,28.00,20.00,219.50,543.00,27.00,20.00,0.9369,0.81,1,0,2.9755,ACCEPT,0,98,1177,10382,0,0,31,0,0,0,0,0.8476
3,0,1,1,ACCEPT,9.4488,1.3913,32,17,24,0.0312,227.75,550.56,28.00,20.00,225.50,551.00,31.00,20.00,0.8240,2.29,1,0,2.9843,ACCEPT,0,109,1537,13933,0,0,32,0,0,0,0,0.8528
4,0,1,1,ACCEPT,7.5441,1.0000,27,7,-9,0.3704,230.81,547.75,26.92,19.23,229.00,550.50,28.00,19.00,0.6663,3.29,1,-1,2.6504,ACCEPT,0,117,3158,6388,0,0,27,0,0,0,0,0.8185
5,0,1,0,NEGATIVE_PEAK,-6.3518,1.1111,-20,-11,0,0.1000,230.81,547.75,26.92,19.23,230.50,549.50,27.00,19.00,0.8148,1.78,0,0,0.0000,NOT_RUN,0,102,2682,0,0,0,20,0,0,0,0,-1.0000
6,0,1,0,NEGATIVE_PEAK,-5.2470,1.0435,-24,-16,30,0.0417,230.81,547.75,26.92,19.23,232.00,541.00,26.00,20.00,0.4563,6.85,0,0,0.0000,NOT_RUN,0,128,3713,0,0,0,24,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,5.6314,1.0370,28,4,-7,0.3929,232.50,545.67,26.92,19.23,237.00,531.00,26.00,16.00,0.0744,15.35,1,0,2.0983,ACCEPT,0,149,2880,5030,0,0,28,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,7.9919,1.3571,19,9,-33,0.5263,236.30,535.88,26.92,19.23,239.50,520.00,25.00,16.00,0.0451,16.19,1,0,2.2506,ACCEPT,0,78,1478,6899,0,0,19,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,8.4238,1.5484,48,2,-15,0.4167,237.14,531.42,26.92,19.23,239.50,516.50,29.00,19.00,0.1117,15.11,1,0,2.1567,ACCEPT,0,154,2165,5553,0,0,48,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,8.1057,1.3793,40,-4,-2,0.4750,235.45,530.83,26.92,19.23,236.50,513.50,27.00,17.00,0.0213,17.36,1,0,2.4111,ACCEPT,0,141,3039,5596,0,0,40,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,6.3428,1.0952,23,1,-16,0.2174,235.88,526.08,26.92,19.23,234.00,524.00,26.00,18.00,0.7020,2.80,1,0,3.0073,ACCEPT,0,95,3120,4906,0,0,23,0,0,0,0,-1.0000
12,0,1,0,NEGATIVE_PEAK,-6.0138,1.0435,-24,37,-6,0.6250,235.88,526.08,26.92,19.23,231.00,533.50,26.00,19.00,0.3324,8.88,0,0,0.0000,NOT_RUN,0,118,1180,0,0,0,24,0,0,0,0,-1.0000
13,0,1,0,NEGATIVE_PEAK,-6.0954,1.1818,-13,33,36,0.1538,235.88,526.08,26.92,19.23,232.50,547.00,27.00,20.00,0.0000,21.19,0,0,0.0000,NOT_RUN,0,69,1050,0,0,0,13,0,0,0,0,-1.0000
14,0,1,0,NEGATIVE_PEAK,-7.5736,1.1765,-20,44,15,0.6000,235.88,526.08,26.92,19.23,234.50,553.50,27.00,19.00,0.0000,27.46,0,0,0.0000,NOT_RUN,0,165,952,0,0,0,20,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,7.9469,1.2069,35,25,-6,0.6000,246.42,524.30,28.00,20.00,240.00,561.50,30.00,19.00,0.0000,37.75,1,1,2.6910,ACCEPT,0,219,897,10381,0,0,35,0,0,0,0,-1.0000
16,0,1,0,NEGATIVE_PEAK,-6.1887,1.0333,-31,23,-5,0.1935,246.42,524.30,28.00,20.00,243.50,561.00,29.00,16.00,0.0000,36.82,0,0,0.0000,NOT_RUN,0,293,999,0,0,0,31,0,0,0,0,-1.0000
17,0,1,0,NEGATIVE_PEAK,-9.3346,1.4194,-44,21,0,0.2500,246.42,524.30,28.00,20.00,245.00,561.50,28.00,17.00,0.0000,37.23,0,0,0.0000,NOT_RUN,0,325,623,0,0,0,44,0,0,0,0,-1.0000
18,0,1,0,NEGATIVE_PEAK,-5.7886,1.0952,-23,50,16,0.1304,246.42,524.30,28.00,20.00,244.00,555.00,26.00,14.00,0.0000,30.80,0,0,0.0000,NOT_RUN,0,318,900,0,0,0,23,0,0,0,0,-1.0000
19,0,1,0,NEGATIVE_PEAK,-5.1942,1.0833,-13,49,0,0.5385,246.42,524.30,28.00,20.00,244.00,547.00,26.00,16.00,0.0000,22.83,0,0,0.0000,NOT_RUN,0,180,919,0,0,0,13,0,0,0,0,-1.0000
20,0,1,0,NEGATIVE_PEAK,-6.8314,1.2188,-39,-5,0,0.5385,246.42,524.30,28.00,20.00,246.50,533.00,27.00,16.00,0.3388,8.70,0,0,0.0000,NOT_RUN,0,198,445,0,0,0,39,0,0,0,0,-1.0000
21,0,1,1,ACCEPT,6.0667,1.0882,37,13,-3,0.9189,252.11,523.36,28.00,20.00,250.50,524.00,29.00,18.00,0.8095,1.73,1,0,3.0589,ACCEPT,0,233,1465,8394,0,0,37,0,0,0,0,-1.0000
22,0,1,0,NEGATIVE_PEAK,-6.9922,1.1053,-42,23,3,0.0238,252.11,523.36,28.00,20.00,252.00,515.50,28.00,17.00,0.4015,7.86,0,0,0.0000,NOT_RUN,0,163,2229,0,0,0,42,0,0,0,0,-1.0000
23,0,1,0,NEGATIVE_PEAK,-5.8548,1.0882,-37,-7,-22,0.0541,252.11,523.36,28.00,20.00,251.00,513.50,30.00,21.00,0.3322,9.92,0,0,0.0000,NOT_RUN,0,151,2366,0,0,0,37,0,0,0,0,-1.0000
24,0,1,0,NEGATIVE_PEAK,-5.0680,1.0294,-35,2,7,0.1429,252.11,523.36,28.00,20.00,247.00,516.50,28.00,17.00,0.3463,8.55,0,0,0.0000,NOT_RUN,0,168,2512,0,0,0,35,0,0,0,0,-1.0000
25,0,1,0,NEGATIVE_PEAK,-7.1803,1.0750,-43,6,-16,0.0930,252.11,523.36,28.00,20.00,243.50,528.50,29.00,19.00,0.3460,10.03,0,0,0.0000,NOT_RUN,0,164,832,0,0,0,43,0,0,0,0,-1.0000
26,0,1,0,NEGATIVE_PEAK,-5.1952,1.0000,-21,7,23,0.3810,252.11,523.36,28.00,20.00,240.50,542.50,27.00,17.00,0.0000,22.39,0,0,0.0000,NOT_RUN,0,141,647,0,0,0,21,0,0,0,0,-1.0000
27,0,1,0,NEGATIVE_PEAK,-5.9400,1.0833,-13,33,0,0.6154,252.11,523.36,28.00,20.00,239.00,558.50,26.00,17.00,0.0000,37.51,0,0,0.0000,NOT_RUN,0,109,1226,0,0,0,14,0,0,0,0,-1.0000
28,0,1,0,NEGATIVE_PEAK,-6.3069,1.2000,-12,44,0,0.1667,252.11,523.36,28.00,20.00,242.50,566.50,27.00,17.00,0.0000,44.20,0,0,0.0000,NOT_RUN,0,122,1994,0,0,0,12,0,0,0,0,-1.0000
29,0,1,0,NEGATIVE_PEAK,-7.2081,1.0769,-14,41,4,0.3571,252.11,523.36,28.00,20.00,247.50,574.50,29.00,19.00,0.0000,51.35,0,0,0.0000,NOT_RUN,0,105,2321,0,0,0,14,0,0,0,0,-1.0000
30,0,1,0,NEGATIVE_PEAK,-7.3585,1.0000,-15,41,0,0.2667,252.11,523.36,28.00,20.00,249.00,575.50,26.00,15.00,0.0000,52.23,0,0,0.0000,NOT_RUN,0,109,2449,0,0,0,15,0,0,0,0,-1.0000
31,0,1,0,NEGATIVE_PEAK,-5.8637,1.0000,-12,39,16,0.5000,252.11,523.36,28.00,20.00,249.50,575.50,27.00,15.00,0.0000,52.21,0,0,0.0000,NOT_RUN,0,100,1820,0,0,0,12,0,0,0,0,-1.0000
