frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,171.00,259.00,68.00,54.00,171.00,259.00,68.00,54.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,7930,15178,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,18.7069,2.5299,845,2,-2,0.1361,173.12,257.31,68.00,54.00,173.50,255.50,65.00,55.00,0.8960,1.85,1,0,2.7712,ACCEPT,0,1619,7640,15096,0,0,845,0,0,0,0,0.9281
2,0,1,1,ACCEPT,13.5252,2.1816,853,-1,-3,0.2567,172.06,254.78,68.00,54.00,170.50,252.50,69.00,57.00,0.8812,2.77,1,0,3.0656,ACCEPT,0,2806,7011,12050,0,0,853,0,0,0,0,0.9372
3,0,1,1,ACCEPT,10.2732,1.8182,640,-1,-5,0.1922,171.00,250.56,70.72,56.16,169.50,250.00,71.00,56.00,0.9399,1.60,1,1,2.5182,ACCEPT,0,1974,6888,12081,0,0,640,0,0,0,0,0.9584
4,0,1,1,ACCEPT,7.9233,1.5171,487,-2,-3,0.5708,168.80,247.94,70.72,56.16,167.50,248.00,71.00,56.00,0.9614,1.30,1,0,2.4897,ACCEPT,0,1869,6261,13268,0,0,487,0,0,0,0,0.9470
5,0,1,1,ACCEPT,8.6948,1.3317,550,-3,-2,0.5127,165.49,246.19,70.72,56.16,164.00,244.00,68.00,60.00,0.8908,2.65,1,0,2.1289,ACCEPT,0,1738,6273,12978,0,0,550,0,0,0,0,0.9504
6,0,1,1,ACCEPT,10.8448,1.7783,738,-2,-1,0.6423,163.29,245.31,70.72,56.16,160.50,241.50,69.00,65.00,0.8031,4.72,1,0,2.6609,ACCEPT,0,1978,5512,14258,0,0,738,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,13.7100,2.0938,982,-3,-1,0.3350,159.98,244.44,70.72,56.16,157.50,240.00,65.00,64.00,0.8011,5.09,1,0,2.7227,ACCEPT,0,2160,5252,13996,0,0,982,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,13.2724,2.1746,1046,-4,-1,0.2247,155.58,243.56,73.55,58.41,152.00,239.00,64.00,66.00,0.7637,5.80,1,1,2.4851,ACCEPT,0,2487,4649,14074,0,0,1046,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,8.7008,1.3642,723,-6,-6,0.4426,148.69,238.08,68.00,54.00,148.50,238.00,69.00,62.00,0.8583,0.20,1,-2,2.1748,ACCEPT,0,2246,4235,17427,0,0,723,0,0,0,0,-1.0000
