frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,251.00,338.00,198.00,102.00,251.00,338.00,198.00,102.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4605,18631,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,57.6285,11.4146,1404,0,0,1.0000,251.00,338.00,198.00,102.00,249.50,338.50,201.00,105.00,0.9569,1.58,1,0,3.2035,ACCEPT,0,1249,4474,15996,0,0,1404,0,0,0,0,0.9350
2,0,1,1,ACCEPT,39.2652,6.5988,1102,0,-1,0.9446,251.00,336.41,198.00,102.00,248.00,340.00,204.00,110.00,0.9000,4.68,1,0,3.1744,ACCEPT,0,1266,4161,13668,0,0,1102,0,0,0,0,0.9371
3,0,1,1,ACCEPT,30.0844,4.8860,943,0,0,1.0000,251.00,336.41,198.00,102.00,247.00,341.00,206.00,114.00,0.8600,6.09,1,0,3.0317,ACCEPT,0,1332,3639,15970,0,0,943,0,0,0,0,0.9408
4,0,1,1,ACCEPT,27.4896,3.2330,999,-1,1,0.9419,247.91,338.00,205.92,106.08,246.00,340.50,204.00,113.00,0.9222,3.14,1,1,2.9695,ACCEPT,0,1509,3615,18438,0,0,999,0,0,0,0,0.9663
5,0,1,1,ACCEPT,26.9709,3.9580,1132,0,0,1.0000,247.91,338.00,205.92,106.08,247.00,342.50,204.00,119.00,0.8840,4.59,1,0,3.1324,ACCEPT,0,1587,3392,19979,0,0,1132,0,0,0,0,0.9472
6,0,1,1,ACCEPT,25.4787,3.5044,1188,0,0,1.0000,247.91,338.00,205.92,106.08,245.00,340.00,206.00,114.00,0.9055,3.53,1,0,3.0157,ACCEPT,0,1628,2971,22935,0,0,1188,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,22.2809,2.6092,1075,0,0,1.0000,247.91,338.00,205.92,106.08,244.00,338.50,208.00,117.00,0.8742,3.94,1,0,2.9109,ACCEPT,0,1770,2921,24242,0,0,1075,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,19.1956,2.5585,962,0,1,0.9574,247.91,339.66,205.92,106.08,243.50,339.00,209.00,118.00,0.8628,4.45,1,0,2.8026,ACCEPT,0,1837,2849,22233,0,0,962,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,15.8434,2.4150,710,-1,1,0.9535,244.69,341.31,205.92,106.08,244.00,340.00,208.00,110.00,0.9547,1.48,1,0,2.6477,ACCEPT,0,1593,2560,18283,0,0,710,0,0,0,0,-1.0000
