frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h,mask_ebox
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,273.50,308.00,41.00,46.00,273.50,308.00,41.00,46.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3471,4604,0,0,0,0,0,0,0,-1.0000
1,0,1,1,ACCEPT,49.3717,4.3750,210,-1,-2,0.5333,272.86,306.56,41.00,46.00,272.00,303.00,52.00,52.00,0.6831,3.66,1,0,3.2810,ACCEPT,0,167,3519,5066,0,0,210,0,0,0,0,0.9554
2,0,1,1,ACCEPT,38.5178,3.6786,206,2,1,0.4951,274.14,307.28,41.00,46.00,273.50,305.00,55.00,46.00,0.6832,2.37,1,0,3.2958,ACCEPT,0,182,3088,8015,0,0,206,0,0,0,0,0.9617
3,0,1,1,ACCEPT,24.9144,3.6338,258,4,3,0.0659,276.70,309.44,41.00,46.00,275.50,306.50,55.00,49.00,0.6634,3.17,1,0,3.1908,ACCEPT,0,269,3244,10173,0,0,258,0,0,0,0,0.9651
4,0,1,1,ACCEPT,28.7970,3.1909,351,-1,-1,0.9031,276.06,308.72,41.00,46.00,273.00,305.50,54.00,47.00,0.6698,4.44,1,0,3.2072,ACCEPT,0,384,3429,9818,0,0,351,0,0,0,0,0.9691
5,0,1,1,ACCEPT,33.2412,3.5109,481,6,-1,0.0644,279.91,308.00,41.00,46.00,275.00,305.00,54.00,44.00,0.6780,5.75,1,0,3.2296,ACCEPT,0,427,2860,10152,0,0,481,0,0,0,0,0.9723
6,0,1,1,ACCEPT,31.3076,3.5614,406,-1,0,0.9286,279.27,308.00,41.00,46.00,276.50,305.00,57.00,48.00,0.6402,4.08,1,0,3.2422,ACCEPT,0,441,3104,9928,0,0,406,0,0,0,0,-1.0000
7,0,1,1,ACCEPT,33.7113,3.6899,476,5,0,0.1008,282.47,308.00,41.00,46.00,279.50,304.00,55.00,46.00,0.6392,4.98,1,0,3.2692,ACCEPT,0,528,2938,9893,0,0,476,0,0,0,0,-1.0000
8,0,1,1,ACCEPT,30.9647,3.6583,439,3,-1,0.3576,284.39,307.28,41.00,46.00,282.00,304.00,56.00,48.00,0.6444,4.06,1,0,3.2333,ACCEPT,0,456,3168,10967,0,0,439,0,0,0,0,-1.0000
9,0,1,1,ACCEPT,29.1419,3.3673,495,2,-2,0.5556,285.67,305.84,41.00,46.00,285.00,303.50,52.00,47.00,0.7185,2.44,1,0,3.1509,ACCEPT,0,704,3258,11149,0,0,495,0,0,0,0,-1.0000
10,0,1,1,ACCEPT,23.3979,2.8661,364,3,-6,0.2830,287.59,301.53,41.00,46.00,286.00,301.50,52.00,49.00,0.7402,1.59,1,0,2.9371,ACCEPT,0,648,3306,7959,0,0,364,0,0,0,0,-1.0000
11,0,1,1,ACCEPT,23.8053,3.9048,492,-3,-1,0.4675,285.67,300.81,41.00,46.00,284.50,299.00,57.00,52.00,0.6363,2.16,1,0,3.2103,ACCEPT,0,725,2798,13796,0,0,492,0,0,0,0,-1.0000
12,0,1,1,ACCEPT,24.0665,3.6750,735,5,0,0.3238,288.88,300.81,41.00,46.00,286.00,298.00,52.00,52.00,0.6975,4.02,1,0,3.3408,ACCEPT,0,1039,4294,10771,0,0,735,0,0,0,0,-1.0000
13,0,1,1,ACCEPT,33.6803,3.0644,619,3,-1,0.5703,290.80,300.09,41.00,46.00,286.00,298.00,48.00,46.00,0.7415,5.23,1,0,3.3176,ACCEPT,0,629,1172,12067,0,0,619,0,0,0,0,-1.0000
14,0,1,1,ACCEPT,36.9038,2.6320,658,1,1,0.8511,291.44,300.81,41.00,46.00,290.00,299.50,56.00,43.00,0.6966,1.95,1,0,3.2399,ACCEPT,0,611,1071,12594,0,0,658,0,0,0,0,-1.0000
15,0,1,1,ACCEPT,41.2748,3.8750,682,2,-2,0.6202,292.72,299.38,41.00,46.00,290.50,298.00,55.00,44.00,0.7105,2.61,1,0,3.2204,ACCEPT,0,605,1064,11875,0,0,682,0,0,0,0,-1.0000
16,0,1,1,ACCEPT,37.8075,2.9061,619,0,2,0.6462,292.72,300.81,41.00,46.00,291.00,298.50,54.00,43.00,0.6979,2.88,1,0,3.2272,ACCEPT,0,615,1226,11746,0,0,619,0,0,0,0,-1.0000
17,0,1,1,ACCEPT,39.4689,3.3065,658,1,0,0.9711,293.36,300.81,41.00,46.00,292.00,297.50,58.00,49.00,0.6212,3.58,1,0,3.2617,ACCEPT,0,621,1307,13163,0,0,658,0,0,0,0,-1.0000
