frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,196.50,196.50,45.00,37.00,196.50,196.50,45.00,37.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4225,8336,0,0,0,0,0,0,0
1,0,1,0,LOW_PSR,3.6976,1.1264,392,0,0,1.0000,196.50,196.50,45.00,37.00,150.50,202.50,43.00,39.00,0.0000,46.39,0,0,0.0000,NOT_RUN,0,1328,3847,0,0,0,392,0,0,0,0
2,0,1,0,LOW_PSR,4.4667,1.4251,476,0,0,1.0000,196.50,196.50,45.00,37.00,125.00,208.50,42.00,37.00,0.0000,72.50,0,0,0.0000,NOT_RUN,0,1400,3036,0,0,0,476,0,0,0,0
3,0,1,0,LOW_PSR,4.4394,1.4024,474,0,0,1.0000,196.50,196.50,45.00,37.00,114.00,215.50,42.00,37.00,0.0000,84.66,0,0,0.0000,NOT_RUN,0,1385,2637,0,0,0,474,0,0,0,0
4,0,1,0,LOW_PSR,4.4571,1.3808,475,0,0,1.0000,196.50,196.50,45.00,37.00,120.00,222.50,40.00,37.00,0.0000,80.80,0,0,0.0000,NOT_RUN,0,1384,2231,0,0,0,475,0,0,0,0
5,0,1,0,LOW_PSR,4.0594,1.2500,430,1,0,0.9953,196.50,196.50,45.00,37.00,143.00,229.00,44.00,38.00,0.0000,62.60,0,0,0.0000,NOT_RUN,0,1400,1904,0,0,0,430,0,0,0,0
6,0,1,0,LOW_PSR,4.3622,1.2234,482,1,0,0.9419,196.50,196.50,45.00,37.00,183.00,235.50,44.00,41.00,0.0000,41.27,0,0,0.0000,NOT_RUN,0,1511,1774,0,0,0,482,0,0,0,0
7,0,1,0,LOW_PSR,4.2027,1.2350,452,1,0,0.9956,196.50,196.50,45.00,37.00,239.00,239.50,44.00,39.00,0.0000,60.46,0,0,0.0000,NOT_RUN,0,1388,1444,0,0,0,452,0,0,0,0
8,0,1,0,LOW_PSR,3.8572,1.1003,417,0,0,1.0000,196.50,196.50,45.00,37.00,304.00,246.50,48.00,43.00,0.0000,118.56,0,0,0.0000,NOT_RUN,0,1423,1343,0,0,0,417,0,0,0,0
9,0,1,0,LOW_PSR,4.1139,1.1693,442,1,0,0.9796,196.50,196.50,45.00,37.00,356.00,246.50,42.00,43.00,0.0000,167.15,0,0,0.0000,NOT_RUN,0,1469,1257,0,0,0,442,0,0,0,0
10,0,1,0,LOW_PSR,4.3497,1.2231,466,1,0,0.9571,196.50,196.50,45.00,37.00,284.50,241.50,45.00,45.00,0.0000,98.84,0,0,0.0000,NOT_RUN,0,1468,1255,0,0,0,466,0,0,0,0
11,0,1,0,LOW_PSR,4.5008,1.2845,456,1,0,0.9561,196.50,196.50,45.00,37.00,225.50,236.00,41.00,36.00,0.0000,49.00,0,0,0.0000,NOT_RUN,0,1342,1174,0,0,0,456,0,0,0,0
12,0,1,0,LOW_PSR,3.7362,1.0314,427,0,1,0.8993,196.50,196.50,45.00,37.00,188.00,229.50,40.00,37.00,0.0452,34.08,0,0,0.0000,NOT_RUN,0,1432,975,0,0,0,427,0,0,0,0
13,0,1,0,LOW_PSR,4.3990,1.2906,453,1,0,0.9956,196.50,196.50,45.00,37.00,164.00,222.00,38.00,38.00,0.0360,41.31,0,0,0.0000,NOT_RUN,0,1407,1227,0,0,0,453,0,0,0,0
14,0,1,0,LOW_PSR,3.7174,1.0739,378,1,0,0.9259,196.50,196.50,45.00,37.00,161.50,218.00,41.00,40.00,0.0429,41.08,0,0,0.0000,NOT_RUN,0,1423,1217,0,0,0,378,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-3.7920,1.1048,-411,11,0,0.7226,196.50,196.50,45.00,37.00,172.50,210.50,39.00,39.00,0.1569,27.78,0,0,0.0000,NOT_RUN,0,1245,1120,0,0,0,411,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-3.9647,1.1250,-387,-6,-18,0.8424,196.50,196.50,45.00,37.00,200.50,205.00,41.00,40.00,0.5480,9.39,0,0,0.0000,NOT_RUN,0,1268,689,0,0,0,387,0,0,0,0
