frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,213.00,108.00,52.00,265.00,213.00,108.00,52.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1296,30310,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,27.0900,5.9762,1757,0,-1,0.9044,265.00,211.38,108.00,52.00,267.00,211.00,112.00,52.00,0.9507,2.03,1,0,3.1886,ACCEPT,0,1421,1275,25402,0,0,1757,0,0,0,0
2,0,1,1,ACCEPT,16.2734,3.1458,1532,0,0,1.0000,265.00,211.38,108.00,52.00,269.50,210.00,111.00,50.00,0.8749,4.71,1,0,2.6429,ACCEPT,0,1488,1058,31334,0,0,1532,0,0,0,0
3,0,1,1,ACCEPT,13.4859,1.9927,2174,0,-2,0.8289,265.00,208.12,108.00,52.00,270.00,206.00,112.00,50.00,0.8435,5.43,1,0,2.3399,ACCEPT,0,2143,1046,30434,0,0,2174,0,0,0,0
4,0,1,1,ACCEPT,11.1537,1.6826,1861,0,-1,0.8506,265.00,206.50,103.85,50.00,274.00,201.50,110.00,57.00,0.7075,10.30,1,-1,2.2826,ACCEPT,0,1910,1057,29665,0,0,1861,0,0,0,0
5,0,1,1,ACCEPT,9.5405,1.6318,1684,1,-2,0.6847,268.25,203.38,96.01,46.23,277.50,196.50,111.00,61.00,0.6359,11.53,1,-2,2.0457,ACCEPT,0,2051,970,29516,0,0,1684,0,0,0,0
6,0,1,1,ACCEPT,9.8409,1.7977,1742,1,0,0.9851,271.25,203.38,96.01,46.23,279.00,195.00,110.00,60.00,0.6289,11.41,1,-2,1.7133,LOW_CONF,0,2318,1102,27478,0,0,1742,0,0,0,0
7,0,1,1,ACCEPT,7.9429,1.2421,1621,1,-1,0.7952,274.25,201.94,96.01,46.23,282.00,199.50,106.00,53.00,0.7503,8.12,1,-7,1.4967,MAX_STEP,0,2636,974,27862,0,0,1621,0,0,0,0
8,0,1,1,ACCEPT,5.0968,1.0970,1142,0,0,1.0000,274.25,201.94,96.01,46.23,282.50,193.00,103.00,66.00,0.6011,12.16,1,-4,1.9943,MAX_STEP,0,2355,967,30004,0,0,1142,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-6.4406,1.2846,-1598,18,0,0.7509,274.25,201.94,96.01,46.23,282.50,193.00,101.00,66.00,0.6019,12.16,0,0,0.0000,NOT_RUN,0,2571,802,0,0,0,1598,0,0,0,0
