frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,452.00,749.00,44.00,268.00,452.00,749.00,44.00,268.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1685,20779,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,14.2149,2.1714,2065,-3,-2,0.1366,447.88,732.25,44.00,268.00,453.50,729.50,43.00,259.00,0.7477,6.26,1,0,2.7870,ACCEPT,0,2358,1610,27978,0,0,2065,0,0,0,0
2,0,1,1,ACCEPT,8.2050,1.0813,1876,-6,-2,0.5192,439.62,715.50,44.00,268.00,444.50,712.50,47.00,263.00,0.7906,5.72,1,0,3.0708,ACCEPT,0,2925,1343,23531,0,0,1876,0,0,0,0
3,0,1,1,ACCEPT,9.5546,1.3274,1630,-5,-1,0.6638,432.75,707.12,44.00,268.00,437.50,686.00,49.00,238.00,0.7029,21.65,1,0,2.9275,ACCEPT,0,2221,1025,22401,0,0,1630,0,0,0,0
4,0,1,1,ACCEPT,10.9524,1.4954,2107,-5,-2,0.3531,425.88,690.38,44.00,268.00,430.50,701.00,49.00,286.00,0.7613,11.59,1,0,3.2092,ACCEPT,0,2654,1015,16792,0,0,2107,0,0,0,0
5,0,1,1,ACCEPT,8.1897,1.0210,1608,-7,-1,0.5703,416.25,682.00,44.00,268.00,420.50,671.00,49.00,268.00,0.7720,11.79,1,0,2.9775,ACCEPT,0,2190,996,17167,0,0,1608,0,0,0,0
6,0,1,1,ACCEPT,13.2052,2.1458,2178,-5,-1,0.4421,409.38,673.62,44.00,268.00,411.00,679.50,50.00,299.00,0.7888,6.10,1,0,2.9104,ACCEPT,0,2148,894,19530,0,0,2178,0,0,0,0
7,0,1,1,ACCEPT,12.9235,1.9847,2082,-4,-1,0.3646,403.88,665.25,44.00,268.00,406.00,671.00,46.00,288.00,0.8480,6.13,1,0,3.0362,ACCEPT,0,2367,1504,15869,0,0,2082,0,0,0,0
8,0,1,1,ACCEPT,9.5461,1.2147,2110,-4,0,0.2773,398.38,665.25,44.00,268.00,401.50,669.50,51.00,283.00,0.8170,5.28,1,0,2.8654,ACCEPT,0,3336,2200,12239,0,0,2110,0,0,0,0
9,0,1,1,ACCEPT,8.0989,1.1964,2948,2,-14,0.3050,401.12,548.00,45.76,278.72,396.50,667.00,53.00,292.00,0.3582,119.09,1,1,2.3467,ACCEPT,0,4915,2396,14839,0,0,2948,0,0,0,0
10,0,1,1,ACCEPT,13.7389,2.0296,2472,-6,-1,0.2629,392.50,539.30,47.59,289.87,391.00,669.50,56.00,291.00,0.3394,130.21,1,1,2.9304,ACCEPT,0,2626,2723,9309,0,0,2472,0,0,0,0
11,0,1,1,ACCEPT,6.2993,1.0324,764,-4,15,0.1060,386.56,675.23,49.49,301.46,390.50,654.50,49.00,305.00,0.7500,21.10,1,1,2.3565,ACCEPT,0,1430,2400,7608,0,0,764,0,0,0,0
12,0,1,1,ACCEPT,13.6252,1.5204,1899,2,0,0.2191,389.66,675.23,49.49,301.46,384.00,635.00,48.00,284.00,0.6157,40.63,1,-1,1.9883,LOW_CONF,0,1726,1462,16073,0,0,1899,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-10.2054,1.1275,-2494,2,5,0.3781,389.66,675.23,49.49,301.46,390.00,669.00,50.00,260.00,0.8520,6.24,0,0,0.0000,NOT_RUN,0,2547,1526,0,0,0,2494,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-9.8209,1.3405,-3067,4,4,0.5915,389.66,675.23,49.49,301.46,391.00,649.50,42.00,297.00,0.7221,25.77,0,0,0.0000,NOT_RUN,0,3501,1475,0,0,0,3067,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-10.5439,1.5371,-3022,1,-3,0.3931,389.66,675.23,49.49,301.46,396.50,606.50,55.00,281.00,0.4983,69.07,0,0,0.0000,NOT_RUN,0,2935,1486,0,0,0,3022,0,0,0,0
