frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,265.00,544.00,90.00,178.00,265.00,544.00,90.00,178.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2913,20895,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,31.4542,6.1230,1145,-1,0,0.8969,262.19,544.00,90.00,178.00,263.00,546.00,92.00,170.00,0.9352,2.16,1,0,3.0185,ACCEPT,0,593,2523,19785,0,0,1145,0,0,0,0
2,0,1,1,ACCEPT,24.5435,4.8333,1015,-1,1,0.8296,259.38,549.56,90.00,178.00,260.50,547.00,95.00,164.00,0.8765,2.80,1,0,2.8932,ACCEPT,0,666,2109,20982,0,0,1015,0,0,0,0
3,0,1,1,ACCEPT,19.9334,3.5018,984,-2,0,0.7561,253.75,549.56,90.00,178.00,256.00,548.50,102.00,159.00,0.7982,2.49,1,0,2.8145,ACCEPT,0,746,1921,21310,0,0,984,0,0,0,0
4,0,1,1,ACCEPT,14.1551,3.0744,950,-2,1,0.8305,248.12,555.12,90.00,178.00,248.50,546.50,113.00,151.00,0.6972,8.63,1,0,2.7181,ACCEPT,0,1027,1844,20387,0,0,950,0,0,0,0
5,0,1,1,ACCEPT,11.2741,2.4839,1083,-1,0,0.9261,245.31,555.12,90.00,178.00,242.50,548.00,117.00,148.00,0.6655,7.66,1,0,2.6274,ACCEPT,0,1404,1841,21460,0,0,1083,0,0,0,0
6,0,1,1,ACCEPT,10.4622,2.5556,1288,-1,1,0.7050,242.50,560.69,90.00,178.00,236.00,554.00,124.00,140.00,0.6064,9.33,1,0,2.2779,ACCEPT,0,1712,1839,21576,0,0,1288,0,0,0,0
7,0,1,1,ACCEPT,10.8906,2.5070,1439,-1,1,0.7095,239.69,566.25,86.54,171.15,227.00,558.50,132.00,127.00,0.5339,14.87,1,-1,2.2064,ACCEPT,0,1670,2044,21103,0,0,1439,0,0,0,0
8,0,1,1,ACCEPT,9.9353,2.4232,1609,-1,1,0.8024,236.98,571.59,86.54,171.15,218.00,559.00,132.00,122.00,0.5186,22.78,1,0,2.3302,ACCEPT,0,1834,2159,24673,0,0,1609,0,0,0,0
9,0,1,1,ACCEPT,9.6365,1.9900,2179,-1,1,0.8522,234.28,576.94,86.54,171.15,207.50,561.50,131.00,121.00,0.4783,30.91,1,0,2.5821,ACCEPT,0,2476,2198,29010,0,0,2179,0,0,0,0
10,0,1,1,ACCEPT,10.1768,2.1214,2639,0,1,0.9636,234.28,582.28,86.54,171.15,195.00,560.00,124.00,114.00,0.3511,45.16,1,0,2.4792,ACCEPT,0,3164,2288,23093,0,0,2639,0,0,0,0
