frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,221.00,300.50,114.00,117.00,221.00,300.50,114.00,117.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,11359,8770,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,33.2405,7.5633,1732,1,0,0.8620,224.56,300.50,114.00,117.00,224.00,299.00,116.00,120.00,0.9582,1.60,1,0,2.6798,ACCEPT,0,1151,10409,7940,0,0,1732,0,0,0,0
2,0,1,1,ACCEPT,28.2228,6.3591,1647,2,-3,0.2459,231.69,289.53,114.00,117.00,231.00,290.50,118.00,121.00,0.9342,1.19,1,0,2.3918,ACCEPT,0,1132,9884,7655,0,0,1647,0,0,0,0
3,0,1,1,ACCEPT,24.2140,6.0923,1584,5,-4,0.0884,249.50,274.91,114.00,117.00,249.50,274.50,113.00,117.00,0.9844,0.41,1,0,2.2253,ACCEPT,0,1247,8699,9677,0,0,1584,0,0,0,0
4,0,1,1,ACCEPT,39.4761,10.3207,2446,4,-2,0.0769,263.75,267.59,114.00,117.00,263.00,267.50,110.00,121.00,0.9341,0.76,1,0,2.9723,ACCEPT,0,1362,6911,11464,0,0,2446,0,0,0,0
5,0,1,1,ACCEPT,35.3178,7.8768,2237,-1,1,0.6518,260.19,271.25,114.00,117.00,255.00,274.00,114.00,122.00,0.8736,5.87,1,0,2.3822,ACCEPT,0,1104,6786,11200,0,0,2237,0,0,0,0
6,0,1,1,ACCEPT,36.3473,8.3939,2216,-3,0,0.4242,249.50,271.25,114.00,117.00,248.50,273.50,107.00,119.00,0.9050,2.46,1,0,3.0214,ACCEPT,0,978,5419,11504,0,0,2216,0,0,0,0
7,0,1,1,ACCEPT,36.7464,8.8039,1796,0,0,1.0000,249.50,271.25,114.00,117.00,247.00,270.50,102.00,117.00,0.8839,2.61,1,0,3.0300,ACCEPT,0,1177,4749,13268,0,0,1796,0,0,0,0
8,0,1,1,ACCEPT,13.3033,2.3647,1031,3,-6,0.0941,260.19,249.31,114.00,117.00,256.00,247.00,110.00,134.00,0.8157,4.78,1,0,2.3276,ACCEPT,0,1497,4991,7243,0,0,1031,0,0,0,0
9,0,1,1,ACCEPT,8.3030,1.8396,688,9,-12,0.2631,292.25,205.44,114.00,117.00,301.00,199.50,92.00,117.00,0.7359,10.57,1,-1,1.7893,LOW_CONF,0,1321,4135,20045,0,0,688,0,0,0,0
