frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,219.00,316.00,168.00,48.00,219.00,316.00,168.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3168,25153,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,61.4125,15.2381,1600,0,1,0.9931,219.00,317.50,168.00,48.00,219.50,316.00,169.00,50.00,0.9351,1.58,1,0,3.3179,ACCEPT,0,614,2943,25283,0,0,1600,0,0,0,0
2,0,1,1,ACCEPT,55.6405,10.0556,1629,0,0,1.0000,219.00,317.50,168.00,48.00,219.00,317.00,168.00,50.00,0.9600,0.50,1,0,3.3047,ACCEPT,0,634,2803,24856,0,0,1629,0,0,0,0
3,0,1,1,ACCEPT,46.7206,8.0947,1538,0,1,0.9473,219.00,319.00,168.00,48.00,219.50,318.50,167.00,49.00,0.9739,0.71,1,0,3.2744,ACCEPT,0,608,2629,24958,0,0,1538,0,0,0,0
4,0,1,1,ACCEPT,41.8334,6.8214,1528,0,1,0.9542,219.00,320.50,168.00,48.00,216.50,321.00,171.00,48.00,0.9512,2.55,1,0,3.2228,ACCEPT,0,623,2563,24732,0,0,1528,0,0,0,0
5,0,1,1,ACCEPT,38.6836,6.5021,1528,0,0,1.0000,219.00,320.50,168.00,48.00,220.50,321.50,165.00,49.00,0.9430,1.80,1,0,3.2403,ACCEPT,0,629,2460,25394,0,0,1528,0,0,0,0
6,0,1,1,ACCEPT,36.0075,6.0488,1736,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,167.00,50.00,0.8979,2.55,1,0,3.2512,ACCEPT,0,739,2426,25262,0,0,1736,0,0,0,0
7,0,1,1,ACCEPT,32.7726,7.5152,1736,0,0,1.0000,219.00,320.50,168.00,48.00,219.50,323.00,169.00,50.00,0.8977,2.55,1,0,3.2917,ACCEPT,0,836,2373,25192,0,0,1736,0,0,0,0
8,0,1,1,ACCEPT,28.0697,6.9020,1760,0,0,1.0000,219.00,320.50,168.00,48.00,220.00,322.50,168.00,49.00,0.9103,2.24,1,0,3.2660,ACCEPT,0,1027,2325,25771,0,0,1760,0,0,0,0
9,0,1,1,ACCEPT,25.9921,6.0062,1922,1,-1,0.9287,224.25,319.00,168.00,48.00,218.50,322.50,163.00,49.00,0.8112,6.73,1,0,3.0646,ACCEPT,0,1251,2258,26397,0,0,1922,0,0,0,0
