frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,338.50,663.00,141.00,32.00,338.50,663.00,141.00,32.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3129,16328,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,51.4825,9.8797,2628,1,0,0.9201,342.91,663.00,141.00,32.00,342.00,663.50,142.00,33.00,0.9574,1.04,1,0,3.2470,ACCEPT,0,889,3142,15547,0,0,2628,0,0,0,0
2,0,1,1,ACCEPT,33.8540,6.6676,2327,1,1,0.9300,347.31,664.00,141.00,32.00,344.50,663.00,141.00,34.00,0.9054,2.98,1,0,2.9960,ACCEPT,0,1248,3126,14236,0,0,2327,0,0,0,0
3,0,1,1,ACCEPT,33.4078,6.8073,2437,0,2,0.6307,347.31,666.00,141.00,32.00,346.50,665.50,141.00,35.00,0.9043,0.95,1,0,3.2035,ACCEPT,0,1041,3142,13373,0,0,2437,0,0,0,0
4,0,1,1,ACCEPT,30.7524,6.2656,2312,0,0,1.0000,347.31,666.00,141.00,32.00,347.00,662.50,142.00,41.00,0.7750,3.51,1,0,3.2200,ACCEPT,0,1091,3270,13594,0,0,2312,0,0,0,0
5,0,1,1,ACCEPT,19.7164,3.7045,1467,1,-5,0.3817,351.72,661.00,141.00,32.00,350.50,658.00,143.00,42.00,0.7492,3.24,1,0,3.2493,ACCEPT,0,1255,3152,9699,0,0,1467,0,0,0,0
6,0,1,1,ACCEPT,20.5577,4.1317,1161,1,-7,0.0448,356.12,654.00,141.00,32.00,354.00,655.00,142.00,46.00,0.6774,2.35,1,0,3.1447,ACCEPT,0,839,3200,9476,0,0,1161,0,0,0,0
7,0,1,1,ACCEPT,25.3676,4.9309,1499,0,-2,0.8719,356.12,652.00,141.00,32.00,355.00,656.00,140.00,48.00,0.6586,4.16,1,0,3.1909,ACCEPT,0,951,3308,9880,0,0,1499,0,0,0,0
8,0,1,1,ACCEPT,24.5056,4.3775,1786,0,5,0.1473,356.12,657.00,141.00,32.00,357.00,663.00,140.00,58.00,0.5473,6.06,1,0,3.1625,ACCEPT,0,1059,2931,11038,0,0,1786,0,0,0,0
9,0,1,1,ACCEPT,23.9610,4.8941,1987,1,0,0.9612,360.53,657.00,141.00,32.00,358.00,666.50,140.00,53.00,0.5873,9.83,1,0,2.9080,ACCEPT,0,1136,3326,12123,0,0,1987,0,0,0,0
10,0,1,1,ACCEPT,24.3426,4.2533,1931,0,-4,0.3832,360.53,653.00,141.00,32.00,358.50,661.00,141.00,62.00,0.5049,8.25,1,0,3.0640,ACCEPT,0,1362,3211,11004,0,0,1931,0,0,0,0
11,0,1,1,ACCEPT,25.5087,4.5858,1871,1,-6,0.0844,364.94,647.00,141.00,32.00,361.00,661.00,144.00,70.00,0.4365,14.54,1,0,2.9814,ACCEPT,0,1170,3574,10672,0,0,1871,0,0,0,0
12,0,1,1,ACCEPT,24.4205,4.6897,2101,1,-3,0.5478,369.34,644.00,141.00,32.00,370.50,659.00,139.00,74.00,0.4291,15.04,1,0,3.0505,ACCEPT,0,1212,3691,12841,0,0,2101,0,0,0,0
