frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,130.00,176.00,122.00,120.00,130.00,176.00,122.00,120.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,858,22473,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,20.0014,3.5960,543,-1,-1,0.8674,126.19,172.25,122.00,120.00,123.00,170.00,120.00,120.00,0.9146,3.90,1,1,1.9674,LOW_CONF,0,550,731,19129,0,0,543,0,0,0,0
2,0,1,1,ACCEPT,11.3923,1.7596,366,-3,0,0.8962,114.75,172.25,126.88,124.80,116.50,164.50,117.00,119.00,0.8143,7.95,1,1,2.4239,ACCEPT,0,587,718,18584,0,0,366,0,0,0,0
3,0,1,1,ACCEPT,8.9899,1.3218,382,-2,1,0.8272,106.81,176.16,131.96,129.79,108.00,163.00,120.00,120.00,0.7401,13.21,1,1,2.2672,ACCEPT,0,713,758,18655,0,0,382,0,0,0,0
4,0,1,1,ACCEPT,8.6388,1.4413,454,-2,0,0.8282,98.56,176.16,137.23,134.98,99.50,161.50,123.00,119.00,0.7143,14.69,1,1,2.6908,ACCEPT,0,829,775,23976,0,0,454,0,0,0,0
5,0,1,1,ACCEPT,8.2156,1.5995,595,-1,0,0.8723,94.28,176.16,142.72,140.38,94.00,160.50,128.00,121.00,0.7079,15.66,1,1,2.7664,ACCEPT,0,1241,855,22052,0,0,595,0,0,0,0
6,0,1,1,ACCEPT,7.8988,1.5614,598,-1,2,0.7575,89.83,184.94,142.72,140.38,84.50,162.00,125.00,120.00,0.6198,23.55,1,0,1.7340,LOW_CONF,0,1370,953,20752,0,0,598,0,0,0,0
7,0,1,1,ACCEPT,8.8741,1.7308,720,-1,1,0.8389,85.38,189.33,142.72,140.38,78.50,170.00,125.00,124.00,0.6584,20.51,1,-1,1.7350,LOW_CONF,0,1437,935,23264,0,0,720,0,0,0,0
8,0,1,1,ACCEPT,8.9629,1.6204,969,-1,2,0.7038,80.92,198.11,142.72,140.38,72.50,176.00,121.00,126.00,0.6154,23.66,1,-1,1.5922,LOW_CONF,0,2026,954,25950,0,0,969,0,0,0,0
9,0,1,1,ACCEPT,9.1730,1.5671,1191,0,2,0.6868,80.92,206.89,142.72,140.38,68.50,180.00,121.00,120.00,0.5553,29.62,1,7,2.0004,MAX_STEP,0,2475,1003,24519,0,0,1191,0,0,0,0
10,0,1,1,ACCEPT,8.2066,1.3264,1142,-1,1,0.7294,76.47,211.28,142.72,140.38,67.50,191.00,119.00,126.00,0.6222,22.18,1,7,1.8598,MAX_STEP,0,2337,842,30695,0,0,1142,0,0,0,0
11,0,1,1,ACCEPT,8.2496,1.2569,1316,0,2,0.7188,76.47,220.06,142.72,140.38,64.00,195.50,114.00,121.00,0.5567,27.55,1,7,1.4346,MAX_STEP,0,2856,962,26448,0,0,1316,0,0,0,0
12,0,1,1,ACCEPT,8.2056,1.4305,1575,0,1,0.9149,76.47,224.45,142.72,140.38,63.50,199.50,109.00,113.00,0.5215,28.12,1,0,2.0357,ACCEPT,0,3060,886,22188,0,0,1575,0,0,0,0
13,0,1,1,ACCEPT,8.2728,1.2108,1660,0,2,0.6711,76.47,233.23,142.72,140.38,65.00,207.50,104.00,111.00,0.4907,28.17,1,7,1.7600,MAX_STEP,0,3174,897,26460,0,0,1660,0,0,0,0
14,0,1,1,ACCEPT,8.3739,1.3557,1978,0,1,0.9702,76.47,237.62,142.72,140.38,69.50,215.50,105.00,111.00,0.5224,23.20,1,-2,1.6463,LOW_CONF,0,3653,851,32768,0,0,1978,0,0,0,0
15,0,1,1,ACCEPT,7.8696,1.4026,2160,1,1,0.9394,80.92,242.02,142.72,140.38,77.00,222.00,104.00,110.00,0.5326,20.40,1,-2,1.9441,LOW_CONF,0,3723,884,29790,0,0,2160,0,0,0,0
16,0,1,1,ACCEPT,8.3311,1.5788,2114,0,1,0.9721,80.92,246.41,148.43,146.00,85.00,227.50,106.00,107.00,0.5234,19.34,1,1,2.0705,ACCEPT,0,3303,888,32767,0,0,2114,0,0,0,0
17,0,1,1,ACCEPT,6.1522,1.1524,1497,0,1,0.9245,80.92,250.97,160.54,157.91,93.00,234.50,106.00,105.00,0.4390,20.42,1,2,2.0132,ACCEPT,0,2883,923,31323,0,0,1497,0,0,0,0
18,0,1,1,ACCEPT,9.2025,1.8424,2093,0,1,0.8796,80.92,255.91,160.54,157.91,102.00,239.50,106.00,101.00,0.4223,26.71,1,4,2.0132,MAX_STEP,0,2763,968,32767,0,0,2093,0,0,0,0
19,0,1,1,ACCEPT,7.6819,1.4731,1809,1,0,0.9862,85.94,255.91,160.54,157.91,109.50,247.00,107.00,100.00,0.4221,25.19,1,1,1.6455,LOW_CONF,0,2687,998,32767,0,0,1809,0,0,0,0
20,0,1,1,ACCEPT,7.5812,1.3860,1756,0,1,0.8736,85.94,260.84,160.54,157.91,115.00,248.50,104.00,101.00,0.4099,31.58,1,-4,1.4550,MAX_STEP,0,2768,930,32767,0,0,1756,0,0,0,0
21,0,1,1,ACCEPT,7.9558,1.3235,1530,1,0,0.9451,90.95,260.84,160.54,157.91,121.00,250.00,108.00,104.00,0.4210,31.94,1,4,1.3620,MAX_STEP,0,2246,1033,32767,0,0,1530,0,0,0,0
22,0,1,1,ACCEPT,9.0815,1.5932,1735,2,0,0.8478,100.98,260.84,160.54,157.91,126.50,251.00,109.00,104.00,0.4471,27.35,1,0,2.5118,ACCEPT,0,2407,901,32767,0,0,1735,0,0,0,0
23,0,1,1,ACCEPT,9.4743,1.8536,1633,0,0,1.0000,100.98,260.84,166.97,164.23,133.50,252.00,107.00,104.00,0.3925,33.70,1,1,2.0294,ACCEPT,0,2048,831,32767,0,0,1633,0,0,0,0
24,0,1,1,ACCEPT,7.6815,1.1675,1185,1,-1,0.7435,106.20,255.72,166.97,164.23,138.50,252.00,107.00,106.00,0.4011,32.51,1,0,2.1350,ACCEPT,0,2171,835,32767,0,0,1185,0,0,0,0
25,0,1,0,NEGATIVE_PEAK,-6.7945,1.1318,-1194,6,1,0.8174,106.20,255.72,166.97,164.23,144.00,249.00,104.00,104.00,0.3618,38.39,0,0,0.0000,NOT_RUN,0,2728,755,0,0,0,1194,0,0,0,0
26,0,1,1,ACCEPT,5.0756,1.0128,1029,0,-1,0.8163,106.20,250.59,166.97,164.23,148.50,248.50,101.00,109.00,0.3515,42.35,1,0,2.5332,ACCEPT,0,3464,727,32767,0,0,1029,0,0,0,0
27,0,1,0,NEGATIVE_PEAK,-5.4144,1.1678,-710,6,0,0.3845,106.20,250.59,166.97,164.23,153.50,243.00,97.00,104.00,0.3069,47.90,0,0,0.0000,NOT_RUN,0,2258,778,0,0,0,710,0,0,0,0
28,0,1,0,NEGATIVE_PEAK,-5.6538,1.2157,-834,6,-1,0.2614,106.20,250.59,166.97,164.23,158.00,239.50,98.00,101.00,0.2794,52.97,0,0,0.0000,NOT_RUN,0,2266,811,0,0,0,834,0,0,0,0
29,0,1,1,ACCEPT,5.1320,1.2534,836,12,-11,0.4330,168.83,194.22,166.97,164.23,160.00,235.00,102.00,100.00,0.3291,41.73,1,7,1.3254,MAX_STEP,0,2380,735,32767,0,0,836,0,0,0,0
30,0,1,0,NEGATIVE_PEAK,-6.5170,1.1496,-1360,1,9,0.7713,168.83,194.22,166.97,164.23,160.50,231.00,101.00,96.00,0.3404,37.71,0,0,0.0000,NOT_RUN,0,4485,1195,0,0,0,1360,0,0,0,0
31,0,1,0,NEGATIVE_PEAK,-5.8852,1.1085,-1297,-1,10,0.7001,168.83,194.22,166.97,164.23,162.00,226.50,102.00,91.00,0.3385,33.00,0,0,0.0000,NOT_RUN,0,4615,1409,0,0,0,1297,0,0,0,0
32,0,1,1,ACCEPT,5.8863,1.3627,1251,-6,-6,0.1839,137.52,163.47,166.97,164.23,162.00,224.00,102.00,86.00,0.2225,65.30,1,1,1.6953,LOW_CONF,0,4403,1842,21965,0,0,1251,0,0,0,0
33,0,1,1,ACCEPT,6.1510,1.5141,1823,-1,-1,0.8705,132.30,158.34,166.97,164.23,163.50,221.50,101.00,83.00,0.2056,70.44,1,4,1.8690,MAX_STEP,0,5613,1308,20880,0,0,1823,0,0,0,0
34,0,1,1,ACCEPT,5.7072,1.1642,1234,-2,0,0.7058,121.86,158.34,166.97,164.23,165.00,220.50,100.00,81.00,0.1817,75.66,1,5,1.9917,MAX_STEP,0,3731,1357,19573,0,0,1234,0,0,0,0
35,0,1,1,ACCEPT,7.3963,1.5600,1429,-3,0,0.4801,106.20,158.34,166.97,164.23,166.50,220.50,97.00,77.00,0.1365,86.60,1,6,1.4748,MAX_STEP,0,3283,1382,18295,0,0,1429,0,0,0,0
36,0,1,1,ACCEPT,8.0495,1.7648,1546,-2,0,0.5569,95.77,158.34,166.97,164.23,167.00,220.50,94.00,75.00,0.1096,94.54,1,5,1.5218,MAX_STEP,0,3164,1330,18662,0,0,1546,0,0,0,0
37,0,1,1,ACCEPT,10.4035,2.2593,1647,-3,0,0.4517,80.11,158.34,166.97,164.23,169.00,221.50,90.00,75.00,0.0700,109.04,1,9,1.2654,MAX_STEP,0,2781,1350,17654,0,0,1647,0,0,0,0
38,0,1,1,ACCEPT,12.6028,2.7573,1897,-2,-1,0.6516,69.67,153.22,166.97,164.23,170.50,221.50,85.00,77.00,0.0403,121.77,1,5,1.7476,MAX_STEP,0,2508,1390,20663,0,0,1897,0,0,0,0
39,0,1,1,ACCEPT,12.4355,2.6394,2130,-2,0,0.5671,59.23,153.22,166.97,164.23,173.50,220.50,83.00,69.00,0.0162,132.60,1,3,2.0197,MAX_STEP,0,2853,1494,18222,0,0,2130,0,0,0,0
40,0,1,1,ACCEPT,10.6015,2.0667,2170,-2,0,0.5945,48.80,153.22,166.97,164.23,179.00,219.00,86.00,68.00,0.0000,145.88,1,4,2.2727,MAX_STEP,0,3283,1639,20320,0,0,2170,0,0,0,0
41,0,1,1,ACCEPT,11.6677,2.8953,2600,-2,0,0.6412,38.36,153.22,166.97,164.23,177.00,220.00,76.00,64.00,0.0000,153.89,1,4,1.9389,MAX_STEP,0,5034,1815,20374,0,0,2600,0,0,0,0
42,0,1,1,ACCEPT,9.9832,2.3690,2234,-2,-1,0.6759,27.92,148.09,166.97,164.23,175.00,220.50,72.00,61.00,0.0000,163.93,1,5,1.8974,MAX_STEP,0,4947,1601,15830,0,0,2234,0,0,0,0
43,0,1,1,ACCEPT,12.3261,2.8880,2140,-2,0,0.6523,17.48,148.09,166.97,164.23,174.00,221.00,72.00,62.00,0.0000,172.66,1,6,1.6959,MAX_STEP,0,3480,1704,18465,0,0,2140,0,0,0,0
