frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,262.50,304.50,79.00,33.00,262.50,304.50,79.00,33.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3518,19019,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,18.7301,3.3646,1827,0,12,0.0027,262.50,316.88,79.00,33.00,264.00,315.50,82.00,35.00,0.8889,2.03,1,0,3.0581,ACCEPT,0,2537,3252,20151,0,0,1827,0,0,0,0
2,0,1,1,ACCEPT,17.2078,2.9791,2139,2,13,0.0870,267.44,330.28,79.00,33.00,269.00,332.00,86.00,36.00,0.8318,2.32,1,0,2.9462,ACCEPT,0,2445,3030,17756,0,0,2139,0,0,0,0
3,0,1,1,ACCEPT,22.6680,3.7179,2952,3,11,0.0393,274.84,341.62,79.00,33.00,274.00,342.50,82.00,33.00,0.9145,1.22,1,0,2.9067,ACCEPT,0,2213,2358,22556,0,0,2952,0,0,0,0
4,0,1,1,ACCEPT,22.6956,3.4758,3886,-1,9,0.0008,272.38,350.91,79.00,33.00,272.00,352.00,78.00,30.00,0.8976,1.16,1,0,2.9866,ACCEPT,0,3061,2326,18433,0,0,3886,0,0,0,0
5,0,1,1,ACCEPT,37.8292,9.7537,5228,-1,-3,0.2215,269.91,347.81,79.00,33.00,268.50,348.50,81.00,33.00,0.9267,1.57,1,0,2.9860,ACCEPT,0,2555,1928,16191,0,0,5228,0,0,0,0
6,0,1,1,ACCEPT,28.1789,5.8702,4162,0,-3,0.2439,269.91,344.72,79.00,33.00,269.00,344.00,86.00,30.00,0.8413,1.16,1,0,2.9680,ACCEPT,0,2517,1366,19005,0,0,4162,0,0,0,0
7,0,1,1,ACCEPT,27.4832,5.1096,4568,1,-3,0.1767,272.38,341.62,79.00,33.00,272.50,340.50,85.00,33.00,0.8702,1.13,1,0,2.7997,ACCEPT,0,2901,1220,21119,0,0,4568,0,0,0,0
8,0,1,1,ACCEPT,26.1820,4.6904,4348,3,-8,0.0398,279.78,333.38,79.00,33.00,277.50,334.00,81.00,30.00,0.8618,2.37,1,0,2.7177,ACCEPT,0,3234,1563,23753,0,0,4348,0,0,0,0
9,0,1,1,ACCEPT,26.6393,6.0651,5962,-2,1,0.4005,274.84,334.41,79.00,33.00,275.00,335.00,80.00,32.00,0.9525,0.61,1,0,3.0469,ACCEPT,0,3541,2007,19725,0,0,5962,0,0,0,0
10,0,1,1,ACCEPT,20.7474,3.2703,4804,-3,5,0.1493,267.44,339.56,79.00,33.00,270.50,338.00,81.00,38.00,0.8070,3.44,1,0,3.0221,ACCEPT,0,2895,1686,25837,0,0,4804,0,0,0,0
11,0,1,1,ACCEPT,15.0335,2.3291,4076,0,9,0.0380,267.44,348.84,82.16,34.32,268.50,347.50,87.00,37.00,0.8758,1.71,1,1,2.7916,ACCEPT,0,3874,1498,28907,0,0,4076,0,0,0,0
12,0,1,1,ACCEPT,11.6572,2.0490,3221,2,17,0.0016,272.56,367.17,82.16,34.32,275.00,365.50,82.00,41.00,0.7926,2.96,1,0,2.9839,ACCEPT,0,5192,1568,21140,0,0,3221,0,0,0,0
13,0,1,1,ACCEPT,13.7997,2.6642,3983,2,15,0.0392,277.69,383.34,82.16,34.32,276.00,381.00,82.00,38.00,0.8450,2.89,1,0,2.8814,ACCEPT,0,4631,1695,26191,0,0,3983,0,0,0,0
