frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,213.50,547.50,29.00,55.00,213.50,547.50,29.00,55.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,489,30383,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.9107,2.0882,355,0,-7,0.2592,213.50,535.47,29.00,55.00,212.50,535.50,33.00,57.00,0.8480,1.00,1,0,2.7729,ACCEPT,0,679,1040,27555,0,0,355,0,0,0,0
2,0,1,1,ACCEPT,10.5032,1.7413,599,0,-3,0.5192,213.50,530.31,29.00,55.00,211.00,527.50,34.00,57.00,0.7749,3.76,1,0,2.5715,ACCEPT,0,889,1911,22165,0,0,599,0,0,0,0
3,0,1,0,NEGATIVE_PEAK,-5.0530,1.1239,-499,-12,13,0.2004,213.50,530.31,29.00,55.00,211.50,514.50,35.00,49.00,0.4642,15.94,0,0,0.0000,NOT_RUN,0,1473,2358,0,0,0,499,0,0,0,0
4,0,1,0,LOW_PSR,4.1094,1.1552,521,-6,-8,0.0288,213.50,530.31,29.00,55.00,212.50,504.50,31.00,53.00,0.3377,25.83,0,0,0.0000,NOT_RUN,0,2951,3619,0,0,0,521,0,0,0,0
5,0,1,0,LOW_PSR,4.2971,1.1862,465,-7,-2,0.5032,213.50,530.31,29.00,55.00,212.50,496.50,29.00,51.00,0.2118,33.83,0,0,0.0000,NOT_RUN,0,2184,2664,0,0,0,465,0,0,0,0
6,0,1,0,NEGATIVE_PEAK,-4.2836,1.0891,-330,-6,-7,0.2576,213.50,530.31,29.00,55.00,210.50,483.00,31.00,46.00,0.0293,47.41,0,0,0.0000,NOT_RUN,0,1133,3982,0,0,0,330,0,0,0,0
7,0,1,0,LOW_PSR,4.6693,1.2710,272,-9,5,0.2096,213.50,530.31,29.00,55.00,206.50,465.00,31.00,42.00,0.0000,65.69,0,0,0.0000,NOT_RUN,0,1037,3840,0,0,0,272,0,0,0,0
8,0,1,0,LOW_PSR,4.2890,1.3230,299,-11,4,0.2609,213.50,530.31,29.00,55.00,204.00,456.50,32.00,43.00,0.0000,74.42,0,0,0.0000,NOT_RUN,0,1350,4255,0,0,0,299,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-3.4682,1.0565,-243,-6,8,0.0988,213.50,530.31,29.00,55.00,202.50,444.50,41.00,39.00,0.0000,86.51,0,0,0.0000,NOT_RUN,0,1289,4007,0,0,0,243,0,0,0,0
10,0,1,0,NEGATIVE_PEAK,-3.5278,1.1344,-287,-7,-5,0.0035,213.50,530.31,29.00,55.00,204.50,434.50,51.00,45.00,0.0000,96.23,0,0,0.0000,NOT_RUN,0,1475,3321,0,0,0,287,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.4624,1.0658,-324,-9,-9,0.0000,213.50,530.31,29.00,55.00,205.00,428.50,52.00,43.00,0.0000,102.17,0,0,0.0000,NOT_RUN,0,1275,2538,0,0,0,324,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-4.0286,1.1048,-274,-10,-10,0.0876,213.50,530.31,29.00,55.00,199.00,416.00,56.00,46.00,0.0000,115.23,0,0,0.0000,NOT_RUN,0,1107,2346,0,0,0,274,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-3.8850,1.0321,-225,-11,-12,0.2133,213.50,530.31,29.00,55.00,193.50,400.50,59.00,53.00,0.0000,131.34,0,0,0.0000,NOT_RUN,0,938,1452,0,0,0,225,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-4.2946,1.2000,-270,-12,-13,0.3741,213.50,530.31,29.00,55.00,195.00,393.50,60.00,57.00,0.0000,138.06,0,0,0.0000,NOT_RUN,0,1098,1319,0,0,0,270,0,0,0,0
