frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,171.00,259.00,68.00,54.00,171.00,259.00,68.00,54.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,7946,13729,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,13.0417,2.8737,1388,1,-1,0.7457,173.12,257.31,68.00,54.00,173.50,255.50,65.00,55.00,0.8960,1.85,1,0,2.7712,ACCEPT,0,1655,7132,18699,0,0,1388,0,0,0,0
2,0,1,1,ACCEPT,6.4166,1.3998,1628,0,-1,0.8256,173.12,255.62,68.00,54.00,170.50,252.50,69.00,57.00,0.8304,4.08,1,0,2.8217,ACCEPT,0,3988,6160,16271,0,0,1628,0,0,0,0
3,0,1,0,LOW_PSR,4.2475,1.0175,989,-1,-3,0.5905,173.12,255.62,68.00,54.00,169.50,250.00,71.00,56.00,0.7400,6.69,0,0,0.0000,NOT_RUN,0,3060,5605,0,0,0,989,0,0,0,0
4,0,1,0,LOW_PSR,4.1670,1.0857,937,21,5,0.3639,173.12,255.62,68.00,54.00,167.50,248.00,71.00,56.00,0.6547,9.48,0,0,0.0000,NOT_RUN,0,3419,4711,0,0,0,937,0,0,0,0
5,0,1,0,LOW_PSR,4.3887,1.0368,957,20,4,0.1546,173.12,255.62,68.00,54.00,164.00,244.00,68.00,60.00,0.5258,14.78,0,0,0.0000,NOT_RUN,0,3542,4587,0,0,0,957,0,0,0,0
6,0,1,0,LOW_PSR,4.3997,1.0491,962,19,3,0.0821,173.12,255.62,68.00,54.00,160.50,241.50,69.00,65.00,0.4510,18.94,0,0,0.0000,NOT_RUN,0,3656,3661,0,0,0,962,0,0,0,0
7,0,1,0,LOW_PSR,4.6862,1.0068,1040,17,2,0.2231,173.12,255.62,68.00,54.00,157.50,240.00,65.00,64.00,0.3923,22.10,0,0,0.0000,NOT_RUN,0,3785,3293,0,0,0,1040,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.6437,1.0336,-1045,3,-7,0.1397,173.12,255.62,68.00,54.00,152.00,239.00,64.00,66.00,0.3272,26.88,0,0,0.0000,NOT_RUN,0,3783,2652,0,0,0,1045,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-5.0047,1.2453,-1051,2,-8,0.1284,173.12,255.62,68.00,54.00,148.50,238.00,69.00,62.00,0.2867,30.28,0,0,0.0000,NOT_RUN,0,3387,2378,0,0,0,1051,0,0,0,0
10,0,1,0,LOW_PSR,4.5118,1.1169,917,12,0,0.3784,173.12,255.62,68.00,54.00,143.00,235.00,70.00,62.00,0.2215,36.51,0,0,0.0000,NOT_RUN,0,3707,2385,0,0,0,917,0,0,0,0
11,0,1,0,LOW_PSR,4.5511,1.3824,929,11,-2,0.6071,173.12,255.62,68.00,54.00,139.00,231.50,72.00,63.00,0.1768,41.79,0,0,0.0000,NOT_RUN,0,3641,2033,0,0,0,929,0,0,0,0
12,0,1,0,LOW_PSR,4.1638,1.1875,836,9,-2,0.2344,173.12,255.62,68.00,54.00,135.00,229.00,70.00,64.00,0.1398,46.50,0,0,0.0000,NOT_RUN,0,3300,2323,0,0,0,836,0,0,0,0
13,0,1,0,LOW_PSR,3.8061,1.0055,728,9,3,0.2624,173.12,255.62,68.00,54.00,132.00,226.00,72.00,64.00,0.1141,50.68,0,0,0.0000,NOT_RUN,0,3362,2141,0,0,0,728,0,0,0,0
14,0,1,0,LOW_PSR,3.7281,1.0351,679,6,3,0.2769,173.12,255.62,68.00,54.00,127.00,223.00,68.00,66.00,0.0792,56.50,0,0,0.0000,NOT_RUN,0,3039,2088,0,0,0,679,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-3.7786,1.0343,-664,-1,6,0.0015,173.12,255.62,68.00,54.00,123.50,222.00,63.00,66.00,0.0565,59.94,0,0,0.0000,NOT_RUN,0,2618,1507,0,0,0,664,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.2581,1.2847,-713,-1,7,0.1641,173.12,255.62,68.00,54.00,122.50,222.50,63.00,67.00,0.0544,60.50,0,0,0.0000,NOT_RUN,0,2332,1493,0,0,0,713,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-4.2807,1.1832,-633,0,7,0.1896,173.12,255.62,68.00,54.00,121.00,221.00,66.00,60.00,0.0456,62.58,0,0,0.0000,NOT_RUN,0,2230,1285,0,0,0,633,0,0,0,0
18,0,1,0,NEGATIVE_PEAK,-4.0120,1.2384,-535,-1,7,0.0953,173.12,255.62,68.00,54.00,120.00,221.00,66.00,62.00,0.0436,63.41,0,0,0.0000,NOT_RUN,0,1927,1291,0,0,0,535,0,0,0,0
19,0,1,0,LOW_PSR,4.4510,1.3217,567,4,4,0.0247,173.12,255.62,68.00,54.00,120.00,223.50,66.00,67.00,0.0511,62.08,0,0,0.0000,NOT_RUN,0,1645,1165,0,0,0,567,0,0,0,0
20,0,1,0,LOW_PSR,4.2591,1.1033,577,3,4,0.0711,173.12,255.62,68.00,54.00,120.50,222.00,67.00,64.00,0.0498,62.45,0,0,0.0000,NOT_RUN,0,1598,1330,0,0,0,577,0,0,0,0
21,0,1,0,NEGATIVE_PEAK,-3.9712,1.0321,-579,6,-15,0.0950,173.12,255.62,68.00,54.00,121.50,221.50,69.00,65.00,0.0554,61.88,0,0,0.0000,NOT_RUN,0,1632,1111,0,0,0,579,0,0,0,0
22,0,1,0,NEGATIVE_PEAK,-4.1446,1.0657,-616,7,-15,0.0519,173.12,255.62,68.00,54.00,121.00,222.00,66.00,66.00,0.0514,62.03,0,0,0.0000,NOT_RUN,0,1687,1202,0,0,0,616,0,0,0,0
