frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,670.50,911.50,341.00,183.00,670.50,911.50,341.00,183.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,10001,8114,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,13.6675,2.7635,923,-1,-1,0.7952,659.84,905.78,354.64,190.32,669.50,907.50,333.00,177.00,0.8733,9.81,1,1,2.2188,ACCEPT,0,1359,8015,8711,0,0,923,0,0,0,0
2,0,1,1,ACCEPT,11.2486,2.4688,832,1,-2,0.4760,670.92,893.88,341.00,183.00,681.00,888.00,312.00,190.00,0.8626,11.67,1,-1,2.6579,ACCEPT,0,1140,6603,9245,0,0,832,0,0,0,0
3,0,1,1,ACCEPT,8.6488,1.8267,780,1,-1,0.7756,681.58,888.16,327.88,175.96,693.00,872.50,296.00,207.00,0.7777,19.38,1,-1,2.6268,ACCEPT,0,1232,5258,9992,0,0,780,0,0,0,0
4,0,1,1,ACCEPT,7.3641,1.6184,581,0,1,0.9329,681.58,893.66,327.88,175.96,712.00,861.50,278.00,237.00,0.6245,44.27,1,-7,1.5439,MAX_STEP,0,983,5005,10789,0,0,581,0,0,0,0
5,0,1,1,ACCEPT,7.1434,1.4298,682,-1,2,0.5411,671.33,904.66,327.88,175.96,714.50,868.50,279.00,255.00,0.5515,56.31,1,-14,2.2763,MAX_STEP,0,1285,4632,9513,0,0,682,0,0,0,0
6,0,1,1,ACCEPT,7.4503,1.8950,650,0,5,0.2938,671.33,932.16,327.88,175.96,720.00,888.50,266.00,289.00,0.4807,65.38,1,-9,1.3522,MAX_STEP,0,1137,4623,9848,0,0,650,0,0,0,0
7,0,1,1,ACCEPT,7.0962,2.2163,707,0,3,0.1372,671.33,948.66,327.88,175.96,729.00,906.00,262.00,310.00,0.4297,71.73,1,-14,1.9512,MAX_STEP,0,1256,4122,9450,0,0,707,0,0,0,0
8,0,1,1,ACCEPT,5.9040,1.7085,504,0,5,0.3492,671.33,976.16,327.88,175.96,740.00,926.00,244.00,344.00,0.3697,85.04,1,-16,1.7892,AT_SEARCH_RAIL,0,987,3338,10685,0,0,504,0,0,0,0
9,0,1,1,ACCEPT,5.0099,1.0951,380,0,2,0.3237,671.33,987.16,327.88,175.96,739.50,942.50,245.00,353.00,0.3631,81.50,1,-15,1.6013,MAX_STEP,0,1011,2746,10622,0,0,380,0,0,0,0
10,0,1,0,LOW_PSR,4.7847,1.0805,349,0,6,0.4069,671.33,987.16,327.88,175.96,741.50,971.50,235.00,359.00,0.3544,71.90,0,0,0.0000,NOT_RUN,0,1018,2484,0,0,0,349,0,0,0,0
11,0,1,0,LOW_PSR,4.9499,1.2882,371,-1,10,0.0108,671.33,987.16,327.88,175.96,745.50,1000.50,247.00,375.00,0.3327,75.36,0,0,0.0000,NOT_RUN,0,941,2141,0,0,0,371,0,0,0,0
12,0,1,1,ACCEPT,5.7176,1.0900,545,-3,14,0.0679,640.58,1064.16,327.88,175.96,739.50,1027.50,241.00,379.00,0.2805,105.50,1,-10,1.4906,MAX_STEP,0,1076,2272,13778,0,0,545,0,0,0,0
13,0,1,0,LOW_PSR,4.2536,1.2436,434,-2,2,0.6014,640.58,1064.16,327.88,175.96,727.00,1041.50,232.00,369.00,0.3117,89.34,0,0,0.0000,NOT_RUN,0,1850,2571,0,0,0,434,0,0,0,0
14,0,1,0,LOW_PSR,3.6911,1.1239,499,-11,-4,0.4489,640.58,1064.16,327.88,175.96,695.50,1053.00,243.00,388.00,0.3641,56.04,0,0,0.0000,NOT_RUN,0,3430,2838,0,0,0,499,0,0,0,0
15,0,1,0,LOW_PSR,3.5089,1.0070,573,7,-14,0.0227,640.58,1064.16,327.88,175.96,672.50,1055.50,253.00,395.00,0.3936,33.07,0,0,0.0000,NOT_RUN,0,4433,3159,0,0,0,573,0,0,0,0
16,0,1,0,LOW_PSR,4.1268,1.1636,690,3,-13,0.2261,640.58,1064.16,327.88,175.96,654.00,1045.50,250.00,423.00,0.3683,22.98,0,0,0.0000,NOT_RUN,0,4597,3307,0,0,0,690,0,0,0,0
17,0,1,0,LOW_PSR,3.7272,1.0304,643,2,-12,0.2286,640.58,1064.16,327.88,175.96,655.50,1040.00,233.00,438.00,0.3453,28.39,0,0,0.0000,NOT_RUN,0,4688,3507,0,0,0,643,0,0,0,0
18,0,1,0,LOW_PSR,4.5870,1.0194,895,1,-9,0.4536,640.58,1064.16,327.88,175.96,654.00,1050.00,224.00,484.00,0.3111,19.51,0,0,0.0000,NOT_RUN,0,4053,3544,0,0,0,895,0,0,0,0
19,0,1,0,NEGATIVE_PEAK,-5.9443,1.1176,-1321,5,3,0.0757,640.58,1064.16,327.88,175.96,648.00,1056.00,224.00,500.00,0.3025,11.03,0,0,0.0000,NOT_RUN,0,3372,3534,0,0,0,1321,0,0,0,0
20,0,1,1,ACCEPT,5.9452,1.0049,1629,4,5,0.4334,681.58,1091.66,327.88,175.96,638.00,1077.00,210.00,552.00,0.2704,45.98,1,-2,1.4134,LOW_CONF,0,4382,3505,16995,0,0,1629,0,0,0,0
21,0,1,1,ACCEPT,8.0282,1.0824,2534,-1,7,0.2194,671.33,1130.16,327.88,175.96,630.00,1098.50,206.00,591.00,0.2531,52.06,1,5,1.9468,MAX_STEP,0,3689,3808,14088,0,0,2534,0,0,0,0
22,0,1,1,ACCEPT,7.1384,1.1027,1911,-7,5,0.2350,599.58,1157.66,341.00,183.00,619.50,1123.00,201.00,590.00,0.2551,39.97,1,1,2.1806,ACCEPT,0,3215,3858,10768,0,0,1911,0,0,0,0
23,0,1,1,ACCEPT,10.6828,1.7692,2185,-1,6,0.2805,588.92,1191.97,341.00,183.00,621.00,1151.50,206.00,609.00,0.2511,51.64,1,-2,1.7497,LOW_CONF,0,2261,3947,12653,0,0,2185,0,0,0,0
24,0,1,1,ACCEPT,9.0195,1.5608,2232,0,8,0.2047,588.92,1237.72,341.00,183.00,629.50,1192.50,213.00,621.00,0.2504,60.76,1,-4,1.7551,MAX_STEP,0,3018,3765,19874,0,0,2232,0,0,0,0
25,0,1,1,ACCEPT,11.4182,1.7977,3937,0,5,0.3244,588.92,1266.31,341.00,183.00,638.00,1228.50,222.00,659.00,0.2417,61.96,1,-4,1.8086,MAX_STEP,0,5215,3773,20259,0,0,3937,0,0,0,0
26,0,1,1,ACCEPT,12.5217,2.4628,3608,1,8,0.0865,599.58,1312.06,341.00,183.00,655.50,1262.00,237.00,666.00,0.2402,75.06,1,-8,2.0150,MAX_STEP,0,4175,3827,17553,0,0,3608,0,0,0,0
27,0,1,1,ACCEPT,13.0230,2.7865,3589,0,7,0.3162,599.58,1352.09,341.00,183.00,665.00,1310.50,242.00,681.00,0.2226,77.52,1,-7,2.1111,MAX_STEP,0,4048,3831,16774,0,0,3589,0,0,0,0
28,0,1,1,ACCEPT,12.5961,2.6302,2546,1,13,0.2439,610.23,1426.44,341.00,183.00,685.00,1380.00,242.00,648.00,0.2209,88.01,1,-10,1.5479,MAX_STEP,0,3692,3732,15282,0,0,2546,0,0,0,0
29,0,1,1,ACCEPT,12.0694,2.7034,2598,1,6,0.2525,620.89,1460.75,341.00,183.00,693.50,1419.50,245.00,669.00,0.2169,83.51,1,-16,1.5983,AT_SEARCH_RAIL,0,3363,3718,18304,0,0,2598,0,0,0,0
30,0,1,1,ACCEPT,11.5280,2.7210,2623,1,7,0.1826,631.55,1500.78,341.00,183.00,704.50,1450.50,237.00,641.00,0.2262,88.60,1,16,1.5323,AT_SEARCH_RAIL,0,4098,3657,18399,0,0,2623,0,0,0,0
31,0,1,1,ACCEPT,10.5745,2.0938,2389,0,3,0.2470,631.55,1517.94,341.00,183.00,704.00,1449.00,240.00,582.00,0.2460,100.01,1,14,1.7565,MAX_STEP,0,3718,3588,19556,0,0,2389,0,0,0,0
32,0,1,1,ACCEPT,9.3490,2.0645,2143,0,3,0.5012,631.55,1535.09,341.00,183.00,704.50,1448.00,243.00,528.00,0.2661,113.61,1,12,1.4195,MAX_STEP,0,3897,3655,19118,0,0,2143,0,0,0,0
33,0,1,1,ACCEPT,8.6773,1.5570,1845,-1,1,0.8222,620.89,1540.81,341.00,183.00,701.50,1452.50,245.00,505.00,0.2639,119.57,1,9,1.6428,MAX_STEP,0,3697,3643,19930,0,0,1845,0,0,0,0
34,0,1,1,ACCEPT,8.6230,1.7657,1741,0,2,0.8782,620.89,1552.25,341.00,183.00,702.00,1442.00,244.00,448.00,0.2908,136.87,1,6,1.4731,MAX_STEP,0,4084,3658,20918,0,0,1741,0,0,0,0
35,0,1,1,ACCEPT,6.6940,1.1057,1904,-2,0,0.6334,599.58,1552.25,341.00,183.00,675.00,1445.00,228.00,444.00,0.3052,131.11,1,8,1.7676,MAX_STEP,0,3558,3875,25109,0,0,1904,0,0,0,0
36,0,1,1,ACCEPT,8.9502,1.1927,3020,3,21,0.1109,631.55,1672.34,341.00,183.00,642.50,1426.50,239.00,441.00,0.1040,246.09,1,-5,1.3251,MAX_STEP,0,4854,3947,25751,0,0,3020,0,0,0,0
37,0,1,1,ACCEPT,11.1225,1.6931,3183,-3,-2,0.1363,599.58,1660.91,341.00,183.00,611.50,1412.00,245.00,432.00,0.0933,249.19,1,-4,1.5905,MAX_STEP,0,5315,4068,13558,0,0,3183,0,0,0,0
38,0,1,1,ACCEPT,9.0944,1.7032,2003,-6,-4,0.1068,535.64,1638.03,341.00,183.00,549.50,1386.50,241.00,431.00,0.0874,251.91,1,-3,2.0014,MAX_STEP,0,3167,4278,11579,0,0,2003,0,0,0,0
39,0,1,1,ACCEPT,13.0246,1.7974,2581,-3,-3,0.0384,503.67,1620.88,341.00,183.00,525.50,1368.00,223.00,438.00,0.0873,253.82,1,-3,1.5084,MAX_STEP,0,3690,4025,12971,0,0,2581,0,0,0,0
40,0,1,1,ACCEPT,13.7870,2.3482,2954,-2,-3,0.1899,482.36,1603.72,341.00,183.00,524.50,1356.00,237.00,434.00,0.0955,251.28,1,-5,2.2432,MAX_STEP,0,4224,3855,13697,0,0,2954,0,0,0,0
41,0,1,1,ACCEPT,17.0639,2.6870,4044,-1,0,0.9278,471.70,1603.72,341.00,183.00,518.50,1350.00,241.00,432.00,0.0844,258.00,1,-2,1.8106,LOW_CONF,0,4471,3871,15630,0,0,4044,0,0,0,0
42,0,1,1,ACCEPT,16.7006,2.4626,4349,-2,3,0.3888,450.39,1620.88,341.00,183.00,502.00,1351.00,260.00,478.00,0.0879,274.77,1,-3,2.0912,MAX_STEP,0,4522,3827,16531,0,0,4349,0,0,0,0
43,0,1,1,ACCEPT,18.0290,2.7374,4180,-2,4,0.1443,429.08,1643.75,341.00,183.00,493.00,1353.00,272.00,514.00,0.0744,297.69,1,-8,1.7397,MAX_STEP,0,4604,3854,18002,0,0,4180,0,0,0,0
