frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,560.50,57.00,23.00,277.50,560.50,57.00,23.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1838,13835,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,4.1286,1.0969,385,-8,-1,0.2338,263.25,559.78,54.81,22.12,262.00,565.00,40.00,24.00,0.4892,5.37,1,-1,2.7359,ACCEPT,0,1689,1050,5544,0,0,385,0,0,0,0
2,0,1,0,NEGATIVE_PEAK,-4.8298,1.1542,-247,-14,-1,0.2065,263.25,559.78,54.81,22.12,259.50,568.50,37.00,21.00,0.3138,9.49,0,0,0.0000,NOT_RUN,0,564,1695,0,0,0,247,0,0,0,0
3,0,1,1,ACCEPT,5.0035,1.1133,285,2,8,0.0246,266.69,565.28,54.81,22.12,265.00,570.50,42.00,27.00,0.5295,5.48,1,0,3.6776,ACCEPT,0,786,1354,5253,0,0,285,0,0,0,0
4,0,1,1,ACCEPT,5.3506,1.0589,575,-9,-15,0.0157,251.22,554.97,54.81,22.12,280.00,570.50,50.00,25.00,0.0834,32.70,1,0,3.2956,ACCEPT,0,1251,785,9321,0,0,575,0,0,0,0
5,0,1,1,ACCEPT,6.7574,1.2818,1028,7,-12,0.2831,263.25,546.72,54.81,22.12,288.00,565.50,36.00,29.00,0.0661,31.07,1,6,1.5857,MAX_STEP,0,2161,1821,4069,0,0,1028,0,0,0,0
6,0,1,1,ACCEPT,6.1409,1.0663,1094,4,13,0.4488,270.12,555.66,54.81,22.12,293.00,553.50,36.00,33.00,0.2620,22.98,1,-5,2.3276,MAX_STEP,0,2111,1120,9466,0,0,1094,0,0,0,0
7,0,1,0,NEGATIVE_PEAK,-4.8273,1.0872,-536,5,-7,0.3937,270.12,555.66,54.81,22.12,297.00,540.50,34.00,33.00,0.1027,30.85,0,0,0.0000,NOT_RUN,0,2004,1005,0,0,0,536,0,0,0,0
8,0,1,1,ACCEPT,6.2211,1.3268,609,-8,4,0.0476,256.38,558.41,52.70,21.26,297.50,525.50,35.00,33.00,0.0000,52.67,1,-1,2.6137,ACCEPT,0,1798,1236,2932,0,0,609,0,0,0,0
9,0,1,1,ACCEPT,6.4011,1.3176,195,-3,4,0.2615,251.45,561.09,48.72,19.66,292.50,514.50,37.00,37.00,0.0000,62.10,1,-2,2.3740,ACCEPT,0,440,1505,2643,0,0,195,0,0,0,0
10,0,1,1,ACCEPT,6.8784,1.0859,215,-6,-7,0.3721,242.36,556.83,48.72,19.66,291.00,510.50,32.00,33.00,0.0000,67.17,1,5,2.2697,MAX_STEP,0,570,1772,1571,0,0,215,0,0,0,0
11,0,1,1,ACCEPT,5.8560,1.1325,94,0,4,0.8085,242.36,559.27,48.72,19.66,290.00,504.50,34.00,35.00,0.0000,72.59,1,4,1.9613,MAX_STEP,0,306,2514,612,0,0,94,0,0,0,0
12,0,1,1,ACCEPT,7.7445,1.5000,72,0,6,0.5000,242.36,562.92,50.67,20.45,292.00,500.00,34.00,42.00,0.0000,80.15,1,1,2.8667,ACCEPT,0,178,2083,636,0,0,72,0,0,0,0
