frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,258.00,825.50,24.00,47.00,258.00,825.50,24.00,47.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3575,26831,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,7.0589,1.6641,654,2,3,0.0688,259.50,829.91,24.00,47.00,258.00,828.50,26.00,47.00,0.8380,2.06,1,0,3.1960,ACCEPT,0,1689,3261,22852,0,0,654,0,0,0,0
2,0,1,1,ACCEPT,4.5269,1.0936,292,5,-21,0.4486,263.25,799.06,24.00,47.00,267.00,794.50,22.00,51.00,0.6134,5.91,1,0,2.7662,ACCEPT,0,960,3795,8792,0,0,292,0,0,0,0
3,0,1,1,ACCEPT,5.4793,1.2013,370,2,-19,0.2838,264.75,771.16,24.00,47.00,267.00,762.50,22.00,45.00,0.5769,8.94,1,0,3.1052,ACCEPT,0,749,3276,8847,0,0,370,0,0,0,0
4,0,1,1,ACCEPT,4.2935,1.0092,219,-1,-15,0.0776,264.00,749.12,23.08,45.19,271.50,729.00,27.00,40.00,0.2280,21.48,1,-1,2.1956,ACCEPT,0,543,2841,6462,0,0,219,0,0,0,0
5,0,1,1,ACCEPT,5.7379,1.3121,391,11,-18,0.1330,271.91,723.81,24.00,47.00,272.00,722.50,26.00,51.00,0.8507,1.32,1,1,2.9089,ACCEPT,0,970,1934,13437,0,0,391,0,0,0,0
6,0,1,1,ACCEPT,4.2593,1.0641,415,-6,14,0.1229,267.41,744.38,23.08,45.19,294.00,739.50,20.00,47.00,0.0000,27.04,1,-1,2.5889,ACCEPT,0,1556,3127,7651,0,0,415,0,0,0,0
7,0,1,1,ACCEPT,4.5811,1.0896,620,-5,5,0.0468,263.81,751.41,23.08,45.19,305.50,804.00,23.00,38.00,0.0000,67.11,1,0,2.6726,ACCEPT,0,1594,3685,9643,0,0,620,0,0,0,0
8,0,1,1,ACCEPT,4.6728,1.0216,711,-7,7,0.5963,258.78,761.25,23.08,45.19,329.00,909.00,24.00,38.00,0.0000,163.59,1,2,1.4739,LOW_CONF,0,2457,5008,7203,0,0,711,0,0,0,0
9,0,1,0,NEGATIVE_PEAK,-4.7920,1.0690,-1023,-17,-10,0.5523,258.78,761.25,23.08,45.19,342.50,955.00,25.00,44.00,0.0000,211.06,0,0,0.0000,NOT_RUN,0,3365,3867,0,0,0,1023,0,0,0,0
