frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,80.00,245.00,64.00,82.00,80.00,245.00,64.00,82.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,2419,25608,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,15.5228,3.7012,2465,9,-9,0.1396,98.00,221.94,64.00,82.00,97.50,212.00,69.00,84.00,0.7343,9.95,1,0,2.8523,ACCEPT,0,3033,2164,20838,0,0,2465,0,0,0,0
2,0,1,1,ACCEPT,10.4321,2.1704,2509,19,-7,0.1586,136.00,204.00,61.54,78.85,125.00,177.00,82.00,92.00,0.4014,29.15,1,-1,2.7493,ACCEPT,0,2788,1311,20786,0,0,2509,0,0,0,0
3,0,1,1,ACCEPT,14.0285,3.2294,1408,11,-8,0.0994,157.14,184.25,61.54,78.85,137.50,149.50,93.00,91.00,0.2774,39.92,1,0,2.6507,ACCEPT,0,1482,2480,15365,0,0,1408,0,0,0,0
4,0,1,1,ACCEPT,7.7176,1.9321,1308,4,-10,0.0306,164.83,159.56,61.54,78.85,138.50,124.50,97.00,89.00,0.2374,43.85,1,0,2.9912,ACCEPT,0,1982,3455,11725,0,0,1308,0,0,0,0
5,0,1,1,ACCEPT,8.1522,1.5112,1753,3,-5,0.2362,170.59,147.22,61.54,78.85,143.00,105.50,84.00,81.00,0.1738,50.02,1,8,2.0204,MAX_STEP,0,2653,2909,11434,0,0,1753,0,0,0,0
6,0,1,1,ACCEPT,8.9674,1.7243,2245,10,-2,0.1207,189.81,142.28,61.54,78.85,161.00,98.00,84.00,62.00,0.1290,52.83,1,-16,1.8383,AT_SEARCH_RAIL,0,3930,1857,15100,0,0,2245,0,0,0,0
7,0,1,1,ACCEPT,10.0395,1.7252,1965,5,1,0.0321,199.42,144.75,61.54,78.85,172.00,102.00,82.00,70.00,0.1529,50.79,1,12,1.9189,MAX_STEP,0,2620,2004,15757,0,0,1965,0,0,0,0
8,0,1,1,ACCEPT,11.7215,3.1221,2454,2,2,0.2918,203.27,149.69,61.54,78.85,185.00,113.50,92.00,91.00,0.2749,40.54,1,0,2.6178,ACCEPT,0,3638,1725,14895,0,0,2454,0,0,0,0
9,0,1,1,ACCEPT,7.1807,1.2142,1423,19,-22,0.0379,239.78,95.38,61.54,78.85,185.50,151.50,69.00,83.00,0.0264,78.08,1,0,3.0851,ACCEPT,0,2281,1120,17242,0,0,1423,0,0,0,0
10,0,1,1,ACCEPT,5.2743,1.1811,1076,10,-10,0.2128,259.00,70.69,61.54,78.85,170.50,181.50,81.00,103.00,0.0000,141.82,1,0,2.7075,ACCEPT,0,3517,2540,11779,0,0,1076,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-6.9317,1.1455,-1244,8,-13,0.0997,259.00,70.69,61.54,78.85,159.50,214.00,91.00,84.00,0.0000,174.47,0,0,0.0000,NOT_RUN,0,2282,4020,0,0,0,1244,0,0,0,0
12,0,1,0,NEGATIVE_PEAK,-7.7715,1.4188,-1694,6,-8,0.1192,259.00,70.69,61.54,78.85,162.00,251.50,84.00,75.00,0.0000,205.19,0,0,0.0000,NOT_RUN,0,2803,2686,0,0,0,1694,0,0,0,0
13,0,1,0,NEGATIVE_PEAK,-7.1713,1.3399,-1963,8,-1,0.7056,259.00,70.69,61.54,78.85,166.50,282.00,83.00,68.00,0.0000,230.67,0,0,0.0000,NOT_RUN,0,3736,2160,0,0,0,1963,0,0,0,0
14,0,1,1,ACCEPT,6.6163,1.0179,2104,13,-3,0.4064,283.98,63.28,61.54,78.85,172.00,304.00,106.00,94.00,0.0000,265.49,1,10,1.6549,MAX_STEP,0,4698,2221,18513,0,0,2104,0,0,0,0
15,0,1,1,ACCEPT,4.6460,1.0446,1172,19,-2,0.0768,320.50,58.34,61.54,78.85,167.50,333.50,83.00,99.00,0.0000,314.83,1,0,3.2565,ACCEPT,0,3358,2058,16202,0,0,1172,0,0,0,0
16,0,1,1,ACCEPT,6.8212,1.1567,1395,9,-3,0.1233,337.80,50.94,61.54,78.85,170.50,352.00,87.00,104.00,0.0000,344.42,1,0,2.9480,ACCEPT,0,3608,3546,9249,0,0,1395,0,0,0,0
17,0,1,1,ACCEPT,6.3855,1.1892,949,3,-10,0.1180,343.56,26.25,61.54,78.85,172.50,344.50,107.00,105.00,0.0000,361.31,1,0,2.8313,ACCEPT,0,2059,5482,6010,0,0,949,0,0,0,0
18,0,1,1,ACCEPT,6.3620,1.1345,987,-1,-7,0.2523,341.64,8.97,61.54,78.85,174.50,348.50,95.00,79.00,0.0000,378.44,1,0,2.9581,ACCEPT,0,2607,6159,5626,0,0,987,0,0,0,0
19,0,1,1,ACCEPT,6.0692,1.0852,955,-2,-2,0.0220,337.80,4.03,61.54,78.85,179.50,374.50,97.00,89.00,0.0000,402.87,1,0,2.8951,ACCEPT,0,2894,5441,5540,0,0,955,0,0,0,0
20,0,1,1,ACCEPT,8.3480,1.6713,1190,0,-1,0.9639,337.80,1.56,61.54,78.85,186.00,402.50,100.00,101.00,0.0000,428.71,1,0,2.6771,ACCEPT,0,2845,5221,5013,0,0,1190,0,0,0,0
21,0,1,1,ACCEPT,10.7371,1.9003,1334,3,-3,0.1859,343.56,-5.84,61.54,78.85,195.50,413.50,89.00,95.00,0.0000,444.72,1,0,2.8312,ACCEPT,0,2785,3580,5961,0,0,1334,0,0,0,0
22,0,1,1,ACCEPT,12.2211,2.1651,1128,3,-3,0.2695,349.33,-13.25,61.54,78.85,207.00,417.50,74.00,75.00,0.0000,453.65,1,0,2.8788,ACCEPT,0,2130,2478,6927,0,0,1128,0,0,0,0
23,0,1,1,ACCEPT,12.0590,1.7658,1146,3,0,0.0916,355.09,-13.25,61.54,78.85,216.50,418.00,73.00,72.00,0.0000,452.97,1,0,3.2219,ACCEPT,0,2121,3227,4999,0,0,1146,0,0,0,0
24,0,1,1,ACCEPT,11.7335,1.8654,1039,4,3,0.0664,362.78,-5.84,61.54,78.85,208.50,420.50,85.00,73.00,0.0000,453.40,1,0,2.8120,ACCEPT,0,1835,2329,6479,0,0,1039,0,0,0,0
25,0,1,1,ACCEPT,10.3743,1.9212,878,0,3,0.4499,362.78,1.56,61.54,78.85,194.00,410.50,90.00,81.00,0.0000,442.40,1,0,2.8060,ACCEPT,0,1619,2551,6938,0,0,878,0,0,0,0
26,0,1,1,ACCEPT,10.5854,2.5866,1001,-2,1,0.7393,358.94,4.03,61.54,78.85,177.00,388.50,80.00,69.00,0.0000,425.34,1,0,2.7971,ACCEPT,0,1420,3361,6490,0,0,1001,0,0,0,0
27,0,1,1,ACCEPT,10.8206,2.4472,1275,-2,-2,0.3129,355.09,-0.91,61.54,78.85,165.50,359.50,81.00,67.00,0.0000,407.23,1,0,2.8190,ACCEPT,0,1887,3300,6742,0,0,1275,0,0,0,0
