frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,387.50,169.00,107.00,76.00,387.50,169.00,107.00,76.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3146,21592,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,8.0225,1.9734,1407,0,0,1.0000,387.50,169.00,107.00,76.00,383.50,169.00,119.00,76.00,0.8992,4.00,1,0,2.4521,ACCEPT,0,2084,3191,32767,0,0,1407,0,0,0,0
2,0,1,0,NEGATIVE_PEAK,-4.7932,1.0950,-1590,-6,15,0.5384,387.50,169.00,107.00,76.00,381.00,165.50,126.00,67.00,0.7623,7.38,0,0,0.0000,NOT_RUN,0,8149,3569,0,0,0,1590,0,0,0,0
3,0,1,1,ACCEPT,4.4294,1.0950,1567,-8,-8,0.0121,360.75,150.00,111.28,79.04,381.50,165.00,121.00,76.00,0.4958,25.60,1,1,2.0944,ACCEPT,0,7004,3088,32767,0,0,1567,0,0,0,0
4,0,1,1,ACCEPT,8.1782,1.6527,1927,-1,-2,0.7587,357.27,145.06,111.28,79.04,379.00,168.00,100.00,96.00,0.4176,31.60,1,0,2.0384,ACCEPT,0,2940,2156,32767,0,0,1927,0,0,0,0
5,0,1,1,ACCEPT,4.5423,1.0021,969,0,-1,0.9628,357.27,142.59,102.88,73.08,386.00,167.00,74.00,94.00,0.3226,37.70,1,-2,2.2861,ACCEPT,0,2651,2297,25873,0,0,969,0,0,0,0
6,0,1,1,ACCEPT,5.3141,1.3053,979,3,2,0.5342,366.92,147.16,102.88,73.08,381.00,172.00,54.00,104.00,0.3548,28.56,1,-9,2.0840,MAX_STEP,0,2595,2237,21088,0,0,979,0,0,0,0
7,0,1,1,ACCEPT,7.2730,1.5460,1260,-3,1,0.4254,357.27,149.44,102.88,73.08,370.00,178.00,58.00,104.00,0.3454,31.27,1,-6,1.4208,MAX_STEP,0,3246,2068,23934,0,0,1260,0,0,0,0
8,0,1,1,ACCEPT,8.1055,1.6085,2091,-4,-1,0.2989,344.39,147.16,102.88,73.08,351.00,164.00,72.00,96.00,0.5100,18.09,1,-6,1.4522,MAX_STEP,0,4549,2456,28826,0,0,2091,0,0,0,0
9,0,1,1,ACCEPT,6.4676,1.1737,1926,-4,2,0.6604,331.52,151.72,102.88,73.08,321.50,157.00,115.00,80.00,0.7290,11.32,1,3,1.3309,MAX_STEP,0,4526,2103,32676,0,0,1926,0,0,0,0
10,0,1,1,ACCEPT,6.1763,1.2139,1765,-13,3,0.1836,289.67,158.56,102.88,73.08,304.50,165.00,141.00,68.00,0.6274,16.17,1,3,1.5344,MAX_STEP,0,3849,1557,32767,0,0,1765,0,0,0,0
11,0,1,1,ACCEPT,6.2955,1.1925,2112,4,5,0.1113,302.55,169.97,102.88,73.08,295.00,166.50,136.00,65.00,0.6915,8.31,1,0,2.1771,ACCEPT,0,4508,1685,32767,0,0,2112,0,0,0,0
12,0,1,1,ACCEPT,8.0747,1.8530,3013,-4,2,0.5526,289.67,174.53,102.88,73.08,290.50,170.00,137.00,62.00,0.6621,4.61,1,0,2.5263,ACCEPT,0,5463,1753,28303,0,0,3013,0,0,0,0
13,0,1,1,ACCEPT,6.2139,1.3236,3759,-4,-1,0.3591,276.80,172.25,102.88,73.08,282.00,174.50,140.00,65.00,0.6734,5.67,1,-5,1.3303,MAX_STEP,0,7275,2749,24656,0,0,3759,0,0,0,0
14,0,1,1,ACCEPT,6.8907,1.6609,4041,-2,-1,0.7906,270.36,169.97,98.93,70.27,276.00,176.00,126.00,84.00,0.6568,8.26,1,-1,2.1674,ACCEPT,0,11872,2865,20691,0,0,4041,0,0,0,0
15,0,1,1,ACCEPT,11.8311,2.1545,4910,1,0,0.9338,273.45,169.97,98.93,70.27,277.00,188.00,104.00,118.00,0.5574,18.38,1,0,2.5884,ACCEPT,0,6515,2712,15222,0,0,4910,0,0,0,0
16,0,1,1,ACCEPT,8.7778,1.1281,3302,0,-6,0.5560,273.45,156.75,98.93,70.27,284.50,196.00,61.00,132.00,0.3362,40.77,1,-2,1.6792,LOW_CONF,0,5897,2957,10398,0,0,3302,0,0,0,0
17,0,1,0,NEGATIVE_PEAK,-5.4172,1.1458,-1375,-7,-6,0.0945,273.45,156.75,98.93,70.27,295.50,195.00,49.00,118.00,0.2740,44.15,0,0,0.0000,NOT_RUN,0,3281,2750,0,0,0,1375,0,0,0,0
18,0,1,1,ACCEPT,6.1973,1.4671,1382,-4,11,0.2453,261.08,180.98,98.93,70.27,298.00,198.00,88.00,114.00,0.3054,40.65,1,0,1.3878,LOW_CONF,0,2903,2280,14285,0,0,1382,0,0,0,0
19,0,1,1,ACCEPT,6.4210,1.2172,2460,-6,1,0.0833,242.52,183.19,98.93,70.27,285.50,201.50,95.00,99.00,0.2802,46.72,1,0,1.9545,LOW_CONF,0,6392,2833,20492,0,0,2460,0,0,0,0
20,0,1,1,ACCEPT,5.7178,1.1326,2734,2,5,0.2132,248.70,194.20,98.93,70.27,265.50,205.00,83.00,104.00,0.5025,19.97,1,-8,1.7333,MAX_STEP,0,6205,2526,14792,0,0,2734,0,0,0,0
21,0,1,1,ACCEPT,5.6395,1.1769,2634,-4,0,0.0566,236.33,194.20,98.93,70.27,238.00,200.50,58.00,125.00,0.4025,6.52,1,-5,1.2289,MAX_STEP,0,6123,3878,12782,0,0,2634,0,0,0,0
22,0,1,1,ACCEPT,7.8117,1.2406,2764,-12,-5,0.1965,199.20,183.19,98.93,70.27,210.00,202.00,78.00,128.00,0.4755,21.69,1,0,2.1629,ACCEPT,0,4835,2963,12550,0,0,2764,0,0,0,0
23,0,1,1,ACCEPT,8.6738,1.5973,3546,-5,2,0.5392,183.73,187.59,98.93,70.27,192.50,198.50,109.00,101.00,0.5935,13.99,1,1,1.8680,LOW_CONF,0,6464,3017,11869,0,0,3546,0,0,0,0
24,0,1,1,ACCEPT,9.8497,1.8745,4077,-3,2,0.2107,174.45,192.00,98.93,70.27,184.00,198.00,128.00,74.00,0.6621,11.28,1,0,2.5296,ACCEPT,0,5652,2213,15489,0,0,4077,0,0,0,0
25,0,1,1,ACCEPT,7.9989,1.5409,3803,1,5,0.2540,177.55,203.02,102.88,73.08,181.00,200.50,132.00,65.00,0.7106,4.27,1,1,2.1959,ACCEPT,0,5906,2185,12284,0,0,3803,0,0,0,0
26,0,1,1,ACCEPT,7.1249,1.2082,4073,3,2,0.3980,187.20,207.58,98.93,70.27,179.50,203.00,133.00,66.00,0.6659,8.96,1,-1,2.6042,ACCEPT,0,6248,1896,17516,0,0,4073,0,0,0,0
27,0,1,1,ACCEPT,8.8018,1.3108,5006,0,1,0.9577,187.20,209.78,98.93,70.27,180.00,204.00,134.00,70.00,0.6388,9.24,1,0,2.6312,ACCEPT,0,8623,1706,17229,0,0,5006,0,0,0,0
28,0,1,1,ACCEPT,10.1781,2.2437,5488,2,-3,0.4488,193.39,203.17,98.93,70.27,178.50,208.00,131.00,72.00,0.6677,15.65,1,0,2.4651,ACCEPT,0,8227,2001,17978,0,0,5488,0,0,0,0
29,0,1,1,ACCEPT,6.9632,1.1518,3824,6,-5,0.6519,211.95,192.16,98.93,70.27,179.50,208.50,131.00,69.00,0.3793,36.34,1,-3,2.0672,MAX_STEP,0,6657,1857,22545,0,0,3824,0,0,0,0
30,0,1,1,ACCEPT,6.8131,1.1329,3462,2,-3,0.6277,218.14,185.55,98.93,70.27,179.00,212.50,130.00,75.00,0.2595,47.52,1,-4,2.5366,MAX_STEP,0,5965,1629,17119,0,0,3462,0,0,0,0
31,0,1,1,ACCEPT,7.8437,1.4538,2643,-13,14,0.1502,177.92,216.39,98.93,70.27,179.50,217.50,121.00,75.00,0.7660,1.93,1,-7,1.7313,MAX_STEP,0,4353,2186,12958,0,0,2643,0,0,0,0
32,0,1,1,ACCEPT,8.9952,1.7950,6760,0,0,1.0000,177.92,216.39,91.46,64.97,177.00,222.50,126.00,79.00,0.5969,6.18,1,-2,2.3058,ACCEPT,0,10575,2224,21211,0,0,6760,0,0,0,0
33,0,1,1,ACCEPT,13.9728,2.5984,11724,-1,-1,0.9244,175.06,214.36,87.95,62.47,179.00,227.00,124.00,86.00,0.5043,13.24,1,-1,2.2501,ACCEPT,0,14113,2357,19062,0,0,11724,0,0,0,0
