frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,584.00,55.00,46.00,68.00,584.00,55.00,46.00,68.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1360,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,20.3163,4.7194,1850,7,10,0.0346,594.06,76.25,46.00,68.00,595.00,78.00,46.00,68.00,0.9128,1.99,1,0,3.1905,ACCEPT,0,1576,1405,32767,0,0,1850,0,0,0,0
2,0,1,1,ACCEPT,16.5286,3.8894,1723,8,11,0.0842,605.56,99.62,46.00,68.00,604.00,102.00,46.00,70.00,0.8740,2.84,1,0,3.1351,ACCEPT,0,1864,1930,32767,0,0,1723,0,0,0,0
3,0,1,1,ACCEPT,13.0297,2.5520,1692,6,11,0.0290,614.19,123.00,46.00,68.00,615.00,127.00,48.00,70.00,0.8548,4.08,1,0,3.0716,ACCEPT,0,2168,2103,32767,0,0,1692,0,0,0,0
4,0,1,1,ACCEPT,12.5264,2.3044,1938,7,12,0.1909,624.25,148.50,46.00,68.00,623.00,152.50,48.00,69.00,0.8457,4.19,1,0,3.1277,ACCEPT,0,2310,2372,32767,0,0,1938,0,0,0,0
5,0,1,1,ACCEPT,11.7313,2.2940,2060,7,12,0.1655,634.31,174.00,46.00,68.00,631.00,179.50,48.00,71.00,0.7476,6.42,1,0,3.2526,ACCEPT,0,2334,1850,32767,0,0,2060,0,0,0,0
6,0,1,1,ACCEPT,10.7144,2.2487,1781,5,12,0.3375,641.50,199.50,46.00,68.00,639.50,205.00,45.00,70.00,0.7857,5.85,1,0,3.2859,ACCEPT,0,2380,1636,32767,0,0,1781,0,0,0,0
7,0,1,1,ACCEPT,9.8363,2.3005,1684,5,13,0.3141,648.69,227.12,46.00,68.00,646.00,233.00,46.00,70.00,0.7566,6.46,1,0,3.2947,ACCEPT,0,2253,1101,32767,0,0,1684,0,0,0,0
8,0,1,1,ACCEPT,9.9866,1.6610,1671,5,13,0.4829,655.88,254.75,46.00,68.00,653.50,260.50,43.00,71.00,0.7683,6.22,1,0,3.3934,ACCEPT,0,2101,1164,32767,0,0,1671,0,0,0,0
9,0,1,1,ACCEPT,9.2384,1.7329,1726,4,14,0.2862,661.62,284.50,46.00,68.00,660.50,291.00,45.00,70.00,0.7914,6.60,1,0,3.5164,ACCEPT,0,2347,2096,32768,0,0,1726,0,0,0,0
10,0,1,1,ACCEPT,8.5401,1.6404,1898,5,15,0.3704,668.81,316.38,46.00,68.00,667.00,322.50,46.00,69.00,0.7773,6.39,1,0,3.5525,ACCEPT,0,2570,1764,32768,0,0,1898,0,0,0,0
11,0,1,1,ACCEPT,8.9740,1.5369,1835,4,15,0.3493,674.56,348.25,46.00,68.00,674.50,355.00,47.00,68.00,0.8035,6.75,1,0,3.4769,ACCEPT,0,2511,2155,27985,0,0,1835,0,0,0,0
12,0,1,1,ACCEPT,7.5845,1.1356,1993,3,15,0.5976,678.88,380.12,46.00,68.00,679.00,388.00,48.00,68.00,0.7627,7.88,1,0,3.4064,ACCEPT,0,3316,1847,32767,0,0,1993,0,0,0,0
13,0,1,1,ACCEPT,7.5022,1.3490,1747,3,15,0.5386,683.19,412.00,46.00,68.00,684.00,421.50,50.00,65.00,0.6981,9.53,1,0,3.4621,ACCEPT,0,2996,964,32767,0,0,1747,0,0,0,0
14,0,1,1,ACCEPT,7.4679,1.3297,1452,1,16,0.4236,684.62,446.00,46.00,68.00,686.00,455.00,52.00,64.00,0.6839,9.10,1,0,3.5634,ACCEPT,0,2572,1087,32767,0,0,1452,0,0,0,0
