frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,37.50,213.50,37.00,61.00,37.50,213.50,37.00,61.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,14688,6318,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,40.7768,8.9213,1927,1,0,0.7935,38.66,213.50,37.00,61.00,40.00,212.00,34.00,60.00,0.8756,2.01,1,0,3.1426,ACCEPT,0,797,12985,6787,0,0,1927,0,0,0,0
2,0,1,1,ACCEPT,25.4627,5.7712,1766,2,0,0.6274,40.97,213.50,37.00,61.00,40.50,211.50,33.00,63.00,0.8404,2.05,1,0,2.9739,ACCEPT,0,1076,11504,7518,0,0,1766,0,0,0,0
3,0,1,1,ACCEPT,25.4282,4.9372,1807,2,0,0.7233,43.28,213.50,37.00,61.00,42.00,210.50,34.00,63.00,0.8383,3.26,1,0,2.7500,ACCEPT,0,1078,9986,7915,0,0,1807,0,0,0,0
4,0,1,1,ACCEPT,26.6256,4.8966,1895,2,-1,0.6734,45.59,211.59,37.00,61.00,43.50,212.00,33.00,60.00,0.8726,2.13,1,0,2.9635,ACCEPT,0,1063,8659,8567,0,0,1895,0,0,0,0
5,0,1,1,ACCEPT,27.1724,5.4213,2033,0,0,1.0000,45.59,211.59,37.00,61.00,45.50,211.50,35.00,59.00,0.9149,0.13,1,0,2.9146,ACCEPT,0,1266,7901,8294,0,0,2033,0,0,0,0
6,0,1,1,ACCEPT,26.7934,5.3370,1932,2,0,0.7697,47.91,211.59,37.00,61.00,46.00,211.00,32.00,60.00,0.8482,2.00,1,0,2.7472,ACCEPT,0,1137,6928,8576,0,0,1932,0,0,0,0
7,0,1,1,ACCEPT,27.3310,4.8880,1877,2,-1,0.7938,50.22,209.69,37.00,61.00,45.50,210.50,33.00,61.00,0.7447,4.79,1,0,2.9785,ACCEPT,0,1217,5951,9281,0,0,1877,0,0,0,0
8,0,1,1,ACCEPT,26.5665,5.0389,1945,1,0,0.8946,51.38,209.69,37.00,61.00,48.00,209.50,32.00,63.00,0.7996,3.38,1,0,2.9677,ACCEPT,0,1354,5878,8621,0,0,1945,0,0,0,0
9,0,1,1,ACCEPT,27.0506,5.5833,1876,2,0,0.7671,53.69,209.69,37.00,61.00,50.00,210.00,30.00,62.00,0.7912,3.70,1,0,2.7761,ACCEPT,0,1186,5402,8688,0,0,1876,0,0,0,0
