frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,504.50,418.50,75.00,59.00,504.50,418.50,75.00,59.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,973,32066,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,16.7037,3.6476,1853,0,0,1.0000,504.50,418.50,75.00,59.00,503.50,419.50,69.00,63.00,0.8660,1.41,1,0,2.7982,ACCEPT,0,1722,1060,32767,0,0,1853,0,0,0,0
2,0,1,1,ACCEPT,15.3383,3.5772,1785,-3,2,0.4577,497.47,422.19,69.34,54.55,498.50,425.00,69.00,64.00,0.8294,3.00,1,-2,2.4754,ACCEPT,0,1802,1078,32767,0,0,1785,0,0,0,0
3,0,1,1,ACCEPT,10.6174,1.8285,1951,-1,3,0.4198,495.30,427.30,75.00,59.00,492.00,434.50,70.00,65.00,0.7317,7.92,1,2,2.4581,ACCEPT,0,2285,1140,32767,0,0,1951,0,0,0,0
4,0,1,1,ACCEPT,11.7060,2.0157,1794,-2,3,0.3835,490.61,432.83,78.00,61.36,488.00,437.50,68.00,69.00,0.7671,5.35,1,1,2.6650,ACCEPT,0,2289,916,32767,0,0,1794,0,0,0,0
5,0,1,1,ACCEPT,15.1707,2.6194,2237,0,1,0.9848,490.61,434.75,78.00,61.36,489.50,432.00,67.00,72.00,0.7476,2.97,1,0,2.0275,ACCEPT,0,2212,1047,32767,0,0,2237,0,0,0,0
6,0,1,1,ACCEPT,10.0970,2.2066,1944,1,-4,0.4095,493.05,427.06,78.00,61.36,491.00,422.00,66.00,74.00,0.7206,5.46,1,0,1.6913,LOW_CONF,0,2207,1174,28432,0,0,1944,0,0,0,0
7,0,1,1,ACCEPT,6.3622,1.4248,1355,2,-6,0.3609,497.92,415.53,78.00,61.36,496.00,410.00,66.00,74.00,0.7206,5.86,1,0,1.7988,LOW_CONF,0,2577,1106,31159,0,0,1355,0,0,0,0
8,0,1,0,NEGATIVE_PEAK,-4.7411,1.2132,-1081,13,-5,0.1943,497.92,415.53,78.00,61.36,505.50,399.00,59.00,74.00,0.4920,18.19,0,0,0.0000,NOT_RUN,0,2438,1014,0,0,0,1081,0,0,0,0
9,0,1,1,ACCEPT,4.1591,1.0009,1074,-8,-1,0.3575,478.42,413.61,78.00,61.36,512.50,396.00,49.00,74.00,0.2123,38.36,1,1,1.9937,LOW_CONF,0,3647,867,32767,0,0,1074,0,0,0,0
10,0,1,1,ACCEPT,4.2490,1.0123,413,5,9,0.2809,490.61,430.91,78.00,61.36,519.00,404.00,34.00,58.00,0.1546,39.11,1,-4,1.5817,MAX_STEP,0,1902,564,30197,0,0,413,0,0,0,0
11,0,1,1,ACCEPT,4.7895,1.1142,634,-1,5,0.2539,488.17,440.52,78.00,61.36,520.00,423.00,32.00,44.00,0.1515,36.33,1,-4,1.8009,MAX_STEP,0,2601,697,27901,0,0,634,0,0,0,0
12,0,1,1,ACCEPT,7.4067,1.6783,767,-4,3,0.2321,478.42,446.28,78.00,61.36,515.00,442.00,40.00,50.00,0.1979,36.83,1,0,2.0738,ACCEPT,0,1766,567,32767,0,0,767,0,0,0,0
13,0,1,1,ACCEPT,5.2513,1.1267,338,1,5,0.1272,480.86,455.89,78.00,61.36,503.50,498.50,47.00,81.00,0.1528,48.25,1,0,2.1107,ACCEPT,0,993,551,32767,0,0,338,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-5.2128,1.0352,-235,-3,-10,0.5277,480.86,455.89,78.00,61.36,490.00,565.00,46.00,90.00,0.0000,109.49,0,0,0.0000,NOT_RUN,0,692,357,0,0,0,235,0,0,0,0
15,0,1,0,NEGATIVE_PEAK,-4.6818,1.0962,-228,1,4,0.6184,480.86,455.89,78.00,61.36,478.50,633.00,49.00,90.00,0.0000,177.13,0,0,0.0000,NOT_RUN,0,806,231,0,0,0,228,0,0,0,0
16,0,1,0,NEGATIVE_PEAK,-4.3143,1.0383,-217,1,7,0.0369,480.86,455.89,78.00,61.36,465.50,700.00,47.00,92.00,0.0000,244.59,0,0,0.0000,NOT_RUN,0,816,243,0,0,0,217,0,0,0,0
17,0,1,1,ACCEPT,4.5817,1.0888,233,-4,8,0.2489,471.11,471.27,78.00,61.36,451.50,766.00,45.00,94.00,0.0000,295.39,1,15,1.8280,MAX_STEP,0,703,228,32767,0,0,233,0,0,0,0
18,0,1,1,ACCEPT,4.7200,1.0556,133,-1,1,0.7068,468.67,473.19,78.00,61.36,434.00,828.50,46.00,87.00,0.0000,357.00,1,16,1.8093,AT_SEARCH_RAIL,0,306,295,32767,0,0,133,0,0,0,0
19,0,1,1,ACCEPT,5.4835,1.0809,147,0,1,0.9592,468.67,475.11,78.00,61.36,419.00,897.50,46.00,91.00,0.0000,425.30,1,-16,1.7536,AT_SEARCH_RAIL,0,361,284,32768,0,0,147,0,0,0,0
20,0,1,1,ACCEPT,6.1973,1.1812,176,0,0,1.0000,468.67,475.11,78.00,61.36,407.50,961.00,47.00,86.00,0.0000,489.73,1,-15,1.7946,MAX_STEP,0,376,237,32767,0,0,176,0,0,0,0
21,0,1,1,ACCEPT,5.9416,1.0061,166,24,-24,0.7590,527.17,428.98,75.00,59.00,396.50,1023.00,41.00,86.00,0.0000,608.22,1,-1,2.7272,ACCEPT,0,335,167,32767,0,0,166,0,0,0,0
22,0,1,1,ACCEPT,7.0690,1.7758,293,4,0,0.3549,536.55,428.98,75.00,59.00,391.00,1080.50,42.00,83.00,0.0000,667.58,1,0,2.1887,ACCEPT,0,672,223,32129,0,0,293,0,0,0,0
23,0,1,1,ACCEPT,7.7651,1.3846,450,0,-3,0.0378,536.55,423.45,75.00,59.00,380.50,1134.00,37.00,84.00,0.0000,727.48,1,0,2.4772,ACCEPT,0,860,454,32767,0,0,450,0,0,0,0
24,0,1,1,ACCEPT,9.1486,1.8634,805,0,-3,0.1354,536.55,417.92,75.00,59.00,372.00,1188.50,36.00,85.00,0.0000,787.95,1,0,2.6152,ACCEPT,0,1302,416,32767,0,0,805,0,0,0,0
25,0,1,1,ACCEPT,8.7220,1.5739,639,1,-2,0.4006,538.89,414.23,75.00,59.00,361.50,1241.00,37.00,82.00,0.0000,845.58,1,0,2.1549,ACCEPT,0,1222,382,32767,0,0,639,0,0,0,0
26,0,1,1,ACCEPT,8.0438,1.2599,635,0,-3,0.2252,538.89,408.70,75.00,59.00,352.00,1291.00,34.00,82.00,0.0000,901.87,1,0,2.3464,ACCEPT,0,1370,438,32767,0,0,635,0,0,0,0
27,0,1,1,ACCEPT,9.0215,1.6401,884,2,-4,0.3054,543.58,401.33,75.00,59.00,344.00,1339.50,34.00,79.00,0.0000,959.17,1,0,2.5523,ACCEPT,0,1598,414,32767,0,0,884,0,0,0,0
28,0,1,1,ACCEPT,7.4571,1.0673,730,0,-4,0.0178,543.58,393.95,75.00,59.00,335.50,1385.50,35.00,77.00,0.0000,1013.14,1,0,2.9787,ACCEPT,0,1278,372,32767,0,0,730,0,0,0,0
29,0,1,1,ACCEPT,7.8723,1.5453,887,2,-4,0.2875,548.27,386.58,75.00,59.00,327.00,1429.00,36.00,74.00,0.0000,1065.65,1,0,1.4462,LOW_CONF,0,1859,350,32154,0,0,887,0,0,0,0
30,0,1,1,ACCEPT,8.4942,1.3505,1183,1,-6,0.1581,550.61,375.52,75.00,59.00,317.50,1464.50,33.00,77.00,0.0000,1113.65,1,-1,1.6425,LOW_CONF,0,2327,462,32184,0,0,1183,0,0,0,0
31,0,1,1,ACCEPT,9.6339,1.5858,1359,1,-4,0.1244,552.95,368.14,72.12,56.73,308.50,1502.00,33.00,76.00,0.0000,1159.91,1,-1,2.4558,ACCEPT,0,2378,459,26968,0,0,1359,0,0,0,0
32,0,1,1,ACCEPT,9.8212,1.5393,1176,2,-3,0.0578,557.45,362.84,75.00,59.00,303.00,1534.00,32.00,68.00,0.0000,1198.48,1,1,2.3078,ACCEPT,0,1983,458,22828,0,0,1176,0,0,0,0
33,0,1,1,ACCEPT,9.4764,1.3977,1093,0,-5,0.0796,557.45,353.62,78.00,61.36,307.00,1522.00,30.00,64.00,0.0000,1194.92,1,1,2.3690,ACCEPT,0,1847,599,22358,0,0,1093,0,0,0,0
34,0,1,1,ACCEPT,10.0863,1.4031,1347,0,-4,0.0223,557.45,345.94,78.00,61.36,311.50,1521.50,31.00,59.00,0.0000,1201.02,1,0,2.4981,ACCEPT,0,2090,611,22736,0,0,1347,0,0,0,0
35,0,1,1,ACCEPT,9.6282,1.2965,1303,0,-4,0.1297,557.45,338.25,78.00,61.36,311.50,1548.00,33.00,62.00,0.0000,1234.50,1,0,2.7501,ACCEPT,0,2134,612,19562,0,0,1303,0,0,0,0
36,0,1,1,ACCEPT,9.9671,1.3537,1286,-1,-3,0.3554,555.02,332.48,78.00,61.36,318.00,1556.50,22.00,37.00,0.0000,1246.75,1,0,2.6379,ACCEPT,0,1853,566,19217,0,0,1286,0,0,0,0
37,0,1,1,ACCEPT,11.1047,1.6287,1272,0,-2,0.5849,555.02,328.64,78.00,61.36,325.50,1583.50,21.00,63.00,0.0000,1275.68,1,0,2.5979,ACCEPT,0,1710,518,18002,0,0,1272,0,0,0,0
38,0,1,1,ACCEPT,11.6969,1.5344,1226,0,-2,0.4160,555.02,324.80,78.00,61.36,335.50,1596.00,39.00,68.00,0.0000,1290.02,1,0,2.7874,ACCEPT,0,1593,548,18058,0,0,1226,0,0,0,0
39,0,1,1,ACCEPT,13.3692,1.6910,1346,1,-2,0.4004,557.45,320.95,78.00,61.36,346.50,1606.00,53.00,68.00,0.0000,1302.25,1,0,2.8367,ACCEPT,0,1738,544,17259,0,0,1346,0,0,0,0
40,0,1,1,ACCEPT,14.2832,1.7781,1314,1,-1,0.6773,559.89,319.03,78.00,61.36,349.00,1619.00,56.00,64.00,0.0000,1316.96,1,0,2.8896,ACCEPT,0,1684,530,16356,0,0,1314,0,0,0,0
41,0,1,1,ACCEPT,15.2086,1.8965,1356,1,-1,0.6807,562.33,317.11,78.00,61.36,349.00,1627.50,62.00,65.00,0.0000,1327.64,1,0,2.9054,ACCEPT,0,1588,605,14426,0,0,1356,0,0,0,0
42,0,1,1,ACCEPT,15.6669,1.9442,1394,0,-2,0.6141,562.33,313.27,78.00,61.36,342.50,1631.00,61.00,64.00,0.0000,1335.94,1,0,2.7943,ACCEPT,0,1541,655,16127,0,0,1394,0,0,0,0
43,0,1,1,ACCEPT,16.1555,2.5418,1520,0,-1,0.9632,562.33,311.34,78.00,61.36,334.00,1634.50,58.00,65.00,0.0000,1342.71,1,0,2.8057,ACCEPT,0,1546,615,14441,0,0,1520,0,0,0,0
44,0,1,1,ACCEPT,15.7591,2.2828,1356,1,-1,0.5723,564.77,309.42,75.00,59.00,328.50,1634.00,55.00,66.00,0.0000,1345.48,1,-1,2.9437,ACCEPT,0,1412,555,15494,0,0,1356,0,0,0,0
45,0,1,1,ACCEPT,15.5112,2.1584,1213,1,0,0.8862,567.11,309.42,75.00,59.00,320.50,1633.50,55.00,71.00,0.0000,1346.85,1,0,2.9989,ACCEPT,0,1202,517,16095,0,0,1213,0,0,0,0
46,0,1,1,ACCEPT,15.3204,1.9935,1234,1,-1,0.7156,569.45,307.58,75.00,59.00,313.00,1632.00,50.00,66.00,0.0000,1349.02,1,0,2.7725,ACCEPT,0,1268,504,17971,0,0,1234,0,0,0,0
47,0,1,1,ACCEPT,14.6086,1.6458,1236,2,-1,0.5882,574.14,305.73,78.00,61.36,307.50,1630.00,45.00,60.00,0.0000,1350.84,1,1,2.4157,ACCEPT,0,1383,421,18473,0,0,1236,0,0,0,0
48,0,1,1,ACCEPT,13.5695,1.5825,1065,2,-1,0.5869,579.02,303.81,81.12,63.81,302.50,1630.50,41.00,69.00,0.0000,1355.20,1,1,2.5827,ACCEPT,0,1346,432,21606,0,0,1065,0,0,0,0
