frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,95.00,174.00,60.00,48.00,95.00,174.00,60.00,48.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3424,4849,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,63.0441,16.7000,668,0,0,1.0000,95.00,174.00,60.00,48.00,95.50,174.00,59.00,48.00,0.9833,0.50,1,0,3.3600,ACCEPT,0,312,2971,5093,0,0,668,0,0,0,0
2,0,1,1,ACCEPT,60.8071,16.0244,657,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3610,ACCEPT,0,339,2623,5513,0,0,657,0,0,0,0
3,0,1,1,ACCEPT,56.8168,15.0667,678,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.50,58.00,49.00,0.9476,0.50,1,0,3.3396,ACCEPT,0,349,2287,6313,0,0,678,0,0,0,0
4,0,1,1,ACCEPT,49.3358,12.5000,700,0,0,1.0000,95.00,174.00,60.00,48.00,95.00,174.00,60.00,50.00,0.9600,0.00,1,0,3.2415,ACCEPT,0,384,1985,6571,0,0,700,0,0,0,0
5,0,1,1,ACCEPT,38.9459,9.8769,642,0,-1,0.9766,95.00,172.50,60.00,48.00,94.00,173.50,56.00,51.00,0.8819,1.41,1,0,2.9105,ACCEPT,0,359,1705,6388,0,0,642,0,0,0,0
6,0,1,1,ACCEPT,35.5784,9.0156,577,0,0,1.0000,95.00,172.50,60.00,48.00,94.00,173.00,56.00,48.00,0.9147,1.12,1,0,2.9314,ACCEPT,0,328,1560,6288,0,0,577,0,0,0,0
7,0,1,1,ACCEPT,29.8496,7.6232,526,0,0,1.0000,95.00,172.50,60.00,48.00,92.00,172.00,56.00,48.00,0.8839,3.04,1,0,2.9359,ACCEPT,0,332,1457,6318,0,0,526,0,0,0,0
8,0,1,1,ACCEPT,23.7752,5.9512,488,-1,0,0.9816,93.12,172.50,60.00,48.00,89.00,172.50,58.00,47.00,0.8521,4.12,1,0,2.9593,ACCEPT,0,361,1391,6485,0,0,488,0,0,0,0
9,0,1,1,ACCEPT,18.6646,4.4571,468,0,0,1.0000,93.12,172.50,60.00,48.00,87.50,172.50,59.00,45.00,0.7794,5.62,1,0,2.9101,ACCEPT,0,412,1202,6556,0,0,468,0,0,0,0
10,0,1,1,ACCEPT,13.7592,3.6393,444,0,1,0.9189,93.12,174.00,60.00,48.00,85.50,175.50,61.00,47.00,0.7338,7.77,1,0,2.8459,ACCEPT,0,504,1146,6097,0,0,444,0,0,0,0
11,0,1,1,ACCEPT,10.4485,1.6017,378,1,0,0.9683,95.00,174.00,60.00,48.00,84.50,177.50,61.00,47.00,0.6202,11.07,1,0,3.4871,ACCEPT,0,616,1089,5704,0,0,378,0,0,0,0
12,0,1,1,ACCEPT,10.3577,1.5093,406,0,0,1.0000,95.00,174.00,60.00,48.00,82.00,181.00,60.00,48.00,0.5027,14.76,1,0,3.1535,ACCEPT,0,690,1146,6179,0,0,406,0,0,0,0
13,0,1,1,ACCEPT,10.2367,1.4560,463,0,0,1.0000,95.00,174.00,60.00,48.00,79.50,184.50,63.00,45.00,0.4080,18.72,1,0,3.2110,ACCEPT,0,695,1236,6463,0,0,463,0,0,0,0
14,0,1,1,ACCEPT,9.6897,1.5714,473,0,1,0.9746,95.00,175.50,60.00,48.00,77.50,187.00,65.00,48.00,0.3769,20.94,1,0,3.1111,ACCEPT,0,681,1238,9415,0,0,473,0,0,0,0
15,0,1,1,ACCEPT,8.7537,1.5417,592,0,0,1.0000,95.00,175.50,60.00,48.00,74.00,188.50,64.00,47.00,0.3162,24.70,1,0,2.8116,ACCEPT,0,786,1348,16471,0,0,592,0,0,0,0
16,0,1,1,ACCEPT,9.1202,2.1707,1068,-1,2,0.8858,93.12,178.50,60.00,48.00,73.50,190.00,63.00,50.00,0.3521,22.75,1,0,2.7850,ACCEPT,0,1426,1434,22860,0,0,1068,0,0,0,0
17,0,1,1,ACCEPT,8.7301,2.2196,1425,0,2,0.7937,93.12,181.50,60.00,48.00,74.50,195.50,63.00,47.00,0.3261,23.30,1,0,2.8399,ACCEPT,0,2232,1549,19335,0,0,1425,0,0,0,0
18,0,1,1,ACCEPT,7.0821,1.7531,1136,0,2,0.7562,93.12,184.50,60.00,48.00,76.00,201.00,60.00,46.00,0.3018,23.78,1,0,2.7003,ACCEPT,0,2266,1611,23228,0,0,1136,0,0,0,0
19,0,1,1,ACCEPT,6.4800,1.6227,1527,1,1,0.8376,95.00,186.00,60.00,48.00,81.50,202.00,57.00,48.00,0.3448,20.93,1,0,2.7386,ACCEPT,0,2712,1589,24539,0,0,1527,0,0,0,0
20,0,1,1,ACCEPT,5.3812,1.4479,1820,0,1,0.8896,95.00,187.50,60.00,48.00,84.00,208.50,56.00,49.00,0.2984,23.71,1,0,2.3608,ACCEPT,0,4258,1517,25283,0,0,1820,0,0,0,0
21,0,1,1,ACCEPT,4.8847,1.1919,1671,0,-1,0.9066,95.00,186.00,60.00,48.00,88.50,211.50,57.00,49.00,0.2671,26.32,1,0,3.2076,ACCEPT,0,4889,1545,19792,0,0,1671,0,0,0,0
22,0,1,1,ACCEPT,6.1883,1.4666,1845,0,0,1.0000,95.00,186.00,60.00,48.00,91.00,220.50,56.00,45.00,0.1364,34.73,1,0,2.9499,ACCEPT,0,4005,1522,17337,0,0,1845,0,0,0,0
23,0,1,1,ACCEPT,7.1143,1.9310,1680,0,-1,0.9780,95.00,184.50,60.00,48.00,93.00,224.00,58.00,46.00,0.0835,39.55,1,0,3.0087,ACCEPT,0,3300,1420,18888,0,0,1680,0,0,0,0
24,0,1,1,ACCEPT,8.2755,2.1518,1928,0,-1,0.9305,95.00,183.00,60.00,48.00,93.00,228.50,58.00,45.00,0.0105,45.54,1,0,3.1020,ACCEPT,0,3191,1364,21912,0,0,1928,0,0,0,0
25,0,1,1,ACCEPT,9.5495,2.3240,2403,0,0,1.0000,95.00,183.00,60.00,48.00,96.50,233.00,57.00,46.00,0.0000,50.02,1,0,3.0328,ACCEPT,0,3473,1346,21238,0,0,2403,0,0,0,0
26,0,1,1,ACCEPT,11.1455,2.7084,2619,0,-1,0.9954,95.00,181.50,60.00,48.00,97.50,234.00,57.00,46.00,0.0000,52.56,1,0,3.0627,ACCEPT,0,3335,1344,18899,0,0,2619,0,0,0,0
27,0,1,1,ACCEPT,13.4585,3.4277,2845,0,0,1.0000,95.00,181.50,60.00,48.00,102.50,236.50,55.00,49.00,0.0000,55.51,1,0,3.0685,ACCEPT,0,3118,1351,14866,0,0,2845,0,0,0,0
28,0,1,1,ACCEPT,15.3872,4.0781,2663,0,-1,0.9981,95.00,180.00,60.00,48.00,104.00,239.00,56.00,52.00,0.0000,59.68,1,0,3.0030,ACCEPT,0,2663,1331,14499,0,0,2663,0,0,0,0
29,0,1,1,ACCEPT,17.4911,4.4242,2889,0,1,0.9965,95.00,181.50,60.00,48.00,109.00,242.50,50.00,53.00,0.0000,62.59,1,0,2.9428,ACCEPT,0,2639,1305,15196,0,0,2889,0,0,0,0
30,0,1,1,ACCEPT,19.6477,5.0328,3070,0,-1,0.9775,95.00,180.00,60.00,48.00,110.50,249.00,49.00,48.00,0.0000,70.72,1,0,3.0271,ACCEPT,0,2589,1321,14375,0,0,3070,0,0,0,0
31,0,1,1,ACCEPT,22.1152,5.3609,3179,0,1,0.9475,95.00,181.50,60.00,48.00,113.50,249.50,51.00,49.00,0.0000,70.47,1,0,3.0664,ACCEPT,0,2478,1314,15538,0,0,3179,0,0,0,0
32,0,1,1,ACCEPT,24.1923,6.2486,3443,0,0,1.0000,95.00,181.50,60.00,48.00,117.00,251.50,48.00,49.00,0.0000,73.38,1,0,3.1386,ACCEPT,0,2484,1310,16995,0,0,3443,0,0,0,0
33,0,1,1,ACCEPT,27.0147,7.0019,3662,0,0,1.0000,95.00,181.50,60.00,48.00,118.50,252.00,45.00,48.00,0.0000,74.31,1,0,3.1239,ACCEPT,0,2442,1315,16587,0,0,3662,0,0,0,0
34,0,1,1,ACCEPT,28.8117,7.1908,3430,0,0,1.0000,95.00,181.50,60.00,48.00,121.00,248.00,40.00,46.00,0.0000,71.40,1,0,3.0562,ACCEPT,0,2205,1297,17146,0,0,3430,0,0,0,0
35,0,1,1,ACCEPT,29.9462,7.1971,3469,0,0,1.0000,95.00,181.50,60.00,48.00,123.00,245.50,36.00,39.00,0.0000,69.86,1,0,2.9453,ACCEPT,0,2130,1306,18021,0,0,3469,0,0,0,0
36,0,1,1,ACCEPT,31.7967,7.4516,3696,0,1,0.9694,95.00,183.00,60.00,48.00,121.50,238.50,35.00,41.00,0.0000,61.50,1,0,3.1116,ACCEPT,0,2183,1311,20183,0,0,3696,0,0,0,0
37,0,1,1,ACCEPT,32.9111,8.1682,4370,0,0,1.0000,95.00,183.00,60.00,48.00,117.00,228.50,30.00,41.00,0.0000,50.54,1,0,3.1431,ACCEPT,0,2481,1303,22575,0,0,4370,0,0,0,0
38,0,1,1,ACCEPT,31.9366,7.8010,4821,0,0,1.0000,95.00,183.00,60.00,48.00,112.00,221.50,34.00,43.00,0.0508,42.09,1,0,3.1347,ACCEPT,0,2911,1287,23321,0,0,4821,0,0,0,0
39,0,1,1,ACCEPT,28.2147,6.1268,4589,0,0,1.0000,95.00,183.00,60.00,48.00,107.50,212.50,35.00,43.00,0.1464,32.04,1,0,3.0527,ACCEPT,0,3108,1341,27678,0,0,4589,0,0,0,0
40,0,1,1,ACCEPT,23.4969,5.4983,4745,0,-1,0.9707,95.00,181.50,60.00,48.00,103.50,203.00,35.00,44.00,0.2407,23.12,1,0,3.1329,ACCEPT,0,3476,1532,26396,0,0,4745,0,0,0,0
41,0,1,1,ACCEPT,16.3022,4.0061,3297,-1,-1,0.8756,93.12,180.00,57.69,46.15,97.00,195.50,36.00,53.00,0.3669,15.98,1,-1,2.7696,ACCEPT,0,2839,1607,20218,0,0,3297,0,0,0,0
42,0,1,1,ACCEPT,6.5892,1.2900,1993,0,1,0.8690,93.12,181.44,57.69,46.15,93.50,188.50,37.00,45.00,0.4909,7.07,1,0,3.3478,ACCEPT,0,4028,1810,15268,0,0,1993,0,0,0,0
43,0,1,1,ACCEPT,7.9409,1.4960,2594,1,-1,0.9614,94.92,180.00,60.00,48.00,89.00,179.50,32.00,47.00,0.5222,5.94,1,1,2.9990,ACCEPT,0,3726,1876,10158,0,0,2594,0,0,0,0
44,0,1,1,ACCEPT,12.4850,2.4431,3005,0,-2,0.6975,94.92,177.00,60.00,48.00,82.50,170.00,37.00,40.00,0.4413,14.26,1,0,3.2661,ACCEPT,0,3527,1645,10345,0,0,3005,0,0,0,0
45,0,1,1,ACCEPT,18.6395,3.6471,3534,0,-1,0.9581,94.92,175.50,60.00,48.00,77.00,159.50,36.00,39.00,0.2393,24.02,1,0,3.0978,ACCEPT,0,3866,1604,10880,0,0,3534,0,0,0,0
46,0,1,1,ACCEPT,23.2687,4.7397,3678,0,-1,0.8246,94.92,174.00,60.00,48.00,72.50,150.50,39.00,43.00,0.1504,32.48,1,0,2.9999,ACCEPT,0,2532,1364,15321,0,0,3678,0,0,0,0
47,0,1,1,ACCEPT,24.0701,4.9453,4342,0,-1,0.9295,94.92,172.50,60.00,48.00,68.00,144.00,40.00,46.00,0.0995,39.21,1,0,3.0108,ACCEPT,0,2985,1280,14746,0,0,4342,0,0,0,0
48,0,1,1,ACCEPT,25.8086,4.9287,4081,0,-1,0.8623,94.92,171.00,60.00,48.00,65.00,136.50,42.00,43.00,0.0521,45.67,1,0,2.9888,ACCEPT,0,2719,1399,15610,0,0,4081,0,0,0,0
49,0,1,1,ACCEPT,26.5372,4.6914,4363,0,-1,0.9280,94.92,169.50,60.00,48.00,61.00,125.50,42.00,39.00,0.0000,55.56,1,0,2.9578,ACCEPT,0,2834,1356,12724,0,0,4363,0,0,0,0
50,0,1,1,ACCEPT,26.6190,4.5803,3394,0,-1,0.8397,94.92,168.00,60.00,48.00,60.00,117.00,44.00,38.00,0.0000,61.81,1,0,2.9568,ACCEPT,0,2120,1298,12161,0,0,3394,0,0,0,0
51,0,1,1,ACCEPT,27.4579,5.1361,3056,0,-1,0.9100,94.92,166.50,60.00,48.00,59.00,108.50,42.00,37.00,0.0000,68.22,1,0,2.9787,ACCEPT,0,1863,1281,11927,0,0,3056,0,0,0,0
52,0,1,1,ACCEPT,28.0105,5.3927,2939,0,-1,0.8391,94.92,165.00,60.00,48.00,58.50,103.00,43.00,36.00,0.0000,71.91,1,0,3.0092,ACCEPT,0,1746,1223,13034,0,0,2939,0,0,0,0
53,0,1,1,ACCEPT,28.5080,6.0869,3013,0,-1,0.9353,94.92,163.50,60.00,48.00,58.50,97.00,45.00,36.00,0.0000,75.82,1,0,3.0245,ACCEPT,0,1785,1215,13514,0,0,3013,0,0,0,0
54,0,1,1,ACCEPT,30.5015,6.7472,3043,0,-1,0.9011,94.92,162.00,60.00,48.00,59.50,90.50,47.00,35.00,0.0000,79.79,1,0,3.0471,ACCEPT,0,1760,1229,19550,0,0,3043,0,0,0,0
55,0,1,1,ACCEPT,31.2879,6.4783,4334,0,0,1.0000,94.92,162.00,62.40,49.92,61.00,86.50,50.00,39.00,0.0000,82.77,1,1,2.8894,ACCEPT,0,2543,1230,15617,0,0,4334,0,0,0,0
56,0,1,1,ACCEPT,30.5374,6.1278,3309,-1,-1,0.9689,92.97,160.44,62.40,49.92,62.50,81.00,51.00,40.00,0.0000,85.08,1,0,2.9590,ACCEPT,0,1961,1200,15178,0,0,3309,0,0,0,0
57,0,1,1,ACCEPT,31.2272,6.1925,3121,0,0,1.0000,92.97,160.44,62.40,49.92,63.00,77.50,54.00,45.00,0.0000,88.19,1,0,2.9816,ACCEPT,0,1806,1147,15883,0,0,3121,0,0,0,0
