frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,277.50,433.00,31.00,22.00,277.50,433.00,31.00,22.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3210,18516,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,4.9576,1.1268,240,18,-5,0.3333,294.94,429.56,31.00,22.00,274.00,438.50,24.00,21.00,0.0747,22.77,1,0,3.4698,ACCEPT,0,563,2685,21137,0,0,240,0,0,0,0
2,0,1,1,ACCEPT,5.1772,1.0493,319,0,-1,0.9436,294.94,428.88,31.00,22.00,271.00,438.50,26.00,21.00,0.0462,25.80,1,0,3.5532,ACCEPT,0,763,1033,32767,0,0,319,0,0,0,0
3,0,1,1,ACCEPT,6.7021,1.1364,250,5,3,0.1960,299.78,430.94,31.00,22.00,275.50,430.50,25.00,19.00,0.0650,24.29,1,0,3.3858,ACCEPT,0,451,1288,32767,0,0,250,0,0,0,0
4,0,1,1,ACCEPT,6.2332,1.4435,345,4,1,0.2667,303.66,431.62,31.00,22.00,281.00,422.50,22.00,15.00,0.0369,24.42,1,0,3.4979,ACCEPT,0,677,1011,32767,0,0,345,0,0,0,0
5,0,1,1,ACCEPT,8.1034,1.7840,669,4,-2,0.1674,307.53,430.25,31.00,22.00,287.00,411.00,30.00,16.00,0.0000,28.14,1,0,3.4845,ACCEPT,0,1082,585,32767,0,0,669,0,0,0,0
6,0,1,1,ACCEPT,5.4843,1.1707,288,3,-11,0.3021,310.44,422.69,31.00,22.00,283.50,407.50,29.00,15.00,0.0092,30.92,1,0,3.5022,ACCEPT,0,669,1024,32767,0,0,288,0,0,0,0
7,0,1,1,ACCEPT,7.1596,1.3506,547,-1,-5,0.0585,309.47,419.25,31.00,22.00,285.00,407.00,30.00,14.00,0.0325,27.36,1,0,3.5163,ACCEPT,0,1077,650,32767,0,0,547,0,0,0,0
8,0,1,1,ACCEPT,7.2814,1.2887,366,-8,6,0.5820,301.72,423.38,31.00,22.00,285.00,404.00,28.00,14.00,0.0000,25.59,1,0,3.5193,ACCEPT,0,741,773,32767,0,0,366,0,0,0,0
9,0,1,1,ACCEPT,7.2740,1.2762,365,-2,3,0.0575,299.78,425.44,31.00,22.00,286.00,404.00,30.00,12.00,0.0000,25.49,1,0,3.3713,ACCEPT,0,725,523,32767,0,0,365,0,0,0,0
10,0,1,1,ACCEPT,6.8127,1.4607,260,-3,-6,0.0192,296.88,421.31,31.00,22.00,292.00,400.00,28.00,12.00,0.0000,21.86,1,0,3.5234,ACCEPT,0,551,489,32767,0,0,260,0,0,0,0
11,0,1,1,ACCEPT,6.5520,1.1429,368,-5,0,0.0924,292.03,421.31,31.00,22.00,300.00,396.00,28.00,12.00,0.0000,26.54,1,0,3.3565,ACCEPT,0,653,706,32767,0,0,368,0,0,0,0
12,0,1,1,ACCEPT,10.6327,1.8747,838,-1,-3,0.2196,291.06,419.25,31.00,22.00,303.50,395.50,35.00,13.00,0.0000,26.81,1,0,3.4231,ACCEPT,0,942,472,32767,0,0,838,0,0,0,0
13,0,1,1,ACCEPT,9.4521,1.6032,808,3,-3,0.2661,293.97,417.19,31.00,22.00,303.00,400.00,34.00,16.00,0.0359,19.42,1,0,3.2071,ACCEPT,0,949,613,32767,0,0,808,0,0,0,0
