frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,275.00,720.50,72.00,35.00,275.00,720.50,72.00,35.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,6141,6467,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,26.1906,5.8195,1193,0,-3,0.4443,275.00,717.22,72.00,35.00,276.50,717.00,73.00,36.00,0.9332,1.52,1,0,3.2937,ACCEPT,0,798,5370,6483,0,0,1193,0,0,0,0
2,0,1,1,ACCEPT,18.2302,4.1351,918,0,-2,0.7843,275.00,715.03,72.00,35.00,275.50,712.00,69.00,32.00,0.8007,3.07,1,0,3.2565,ACCEPT,0,817,4879,6874,0,0,918,0,0,0,0
3,0,1,1,ACCEPT,16.0471,4.4141,1130,-1,-3,0.3929,272.75,711.75,72.00,35.00,273.50,710.00,67.00,34.00,0.8427,1.90,1,0,3.1871,ACCEPT,0,1014,4089,7302,0,0,1130,0,0,0,0
4,0,1,1,ACCEPT,15.4366,3.1744,1365,-1,-3,0.4256,270.50,708.47,72.00,35.00,273.50,706.00,67.00,34.00,0.7984,3.89,1,0,3.0136,ACCEPT,0,1372,3608,8682,0,0,1365,0,0,0,0
5,0,1,1,ACCEPT,14.9731,3.2554,1644,0,-2,0.6192,270.50,706.28,72.00,35.00,272.00,703.00,66.00,32.00,0.7562,3.61,1,0,3.0248,ACCEPT,0,1646,3261,9974,0,0,1644,0,0,0,0
6,0,1,1,ACCEPT,12.7824,2.9731,1882,0,-2,0.6950,270.50,704.09,72.00,35.00,270.00,700.50,64.00,31.00,0.7178,3.63,1,0,3.0444,ACCEPT,0,2025,2882,12138,0,0,1882,0,0,0,0
7,0,1,1,ACCEPT,12.7329,2.8137,2054,-1,-2,0.5531,268.25,701.91,69.23,33.65,274.50,697.00,73.00,30.00,0.6296,7.95,1,-1,2.8537,ACCEPT,0,2372,2439,13069,0,0,2054,0,0,0,0
8,0,1,1,ACCEPT,11.8065,2.1863,2112,0,-3,0.5123,268.25,698.77,69.23,33.65,273.50,694.50,75.00,29.00,0.6713,6.76,1,0,3.0330,ACCEPT,0,3123,1718,14582,0,0,2112,0,0,0,0
9,0,1,1,ACCEPT,9.3291,2.0281,1878,0,-2,0.7913,268.25,696.67,69.23,33.65,273.50,693.00,75.00,30.00,0.6980,6.41,1,0,2.9080,ACCEPT,0,3127,1707,19480,0,0,1878,0,0,0,0
10,0,1,1,ACCEPT,8.9876,2.1114,2141,1,-2,0.7520,270.41,694.58,69.23,33.65,275.00,690.00,74.00,30.00,0.6705,6.49,1,0,2.7811,ACCEPT,0,3467,1594,21969,0,0,2141,0,0,0,0
11,0,1,1,ACCEPT,10.4086,2.0249,2521,2,-2,0.5672,274.72,692.48,69.23,33.65,275.50,686.50,71.00,31.00,0.6737,6.04,1,0,2.8996,ACCEPT,0,3279,1634,21720,0,0,2521,0,0,0,0
12,0,1,1,ACCEPT,8.4363,1.5768,2228,1,-2,0.6441,276.88,690.39,69.23,33.65,277.00,685.00,66.00,30.00,0.6802,5.39,1,0,2.7646,ACCEPT,0,3498,1428,24834,0,0,2228,0,0,0,0
13,0,1,1,ACCEPT,8.4542,1.5424,2471,0,-4,0.4488,276.88,686.20,66.57,32.36,274.00,681.00,62.00,30.00,0.6595,5.94,1,-1,2.7209,ACCEPT,0,3596,1395,22049,0,0,2471,0,0,0,0
14,0,1,1,ACCEPT,9.0377,1.5604,2609,0,-4,0.3622,276.88,682.14,66.57,32.36,275.00,678.00,58.00,30.00,0.6743,4.55,1,0,2.9952,ACCEPT,0,3744,1588,16022,0,0,2609,0,0,0,0
15,0,1,1,ACCEPT,10.8744,1.7582,2618,0,-6,0.1585,276.88,676.05,66.57,32.36,274.50,672.50,61.00,29.00,0.7298,4.27,1,0,3.1014,ACCEPT,0,3348,1507,15867,0,0,2618,0,0,0,0
16,0,1,1,ACCEPT,14.2359,2.5218,3407,0,-4,0.1881,276.88,671.98,66.57,32.36,275.50,668.00,59.00,28.00,0.6837,4.21,1,0,3.0571,ACCEPT,0,3164,1429,18415,0,0,3407,0,0,0,0
17,0,1,1,ACCEPT,14.9736,3.1662,4382,0,-5,0.0895,276.88,666.91,66.57,32.36,275.00,665.00,58.00,30.00,0.7731,2.67,1,0,3.1012,ACCEPT,0,4437,1408,15971,0,0,4382,0,0,0,0
18,0,1,1,ACCEPT,13.7763,3.2065,3851,0,-4,0.2477,276.88,662.84,66.57,32.36,274.00,660.50,56.00,29.00,0.7241,3.71,1,0,3.0280,ACCEPT,0,4356,1442,14571,0,0,3851,0,0,0,0
19,0,1,1,ACCEPT,13.1944,2.9525,3856,0,-5,0.2466,276.88,657.77,66.57,32.36,273.00,655.50,56.00,29.00,0.7276,4.49,1,0,2.9916,ACCEPT,0,4572,1423,13629,0,0,3856,0,0,0,0
20,0,1,1,ACCEPT,13.5404,2.9096,3957,0,-3,0.4501,276.88,654.72,66.57,32.36,274.00,653.50,58.00,31.00,0.8084,3.12,1,0,3.0289,ACCEPT,0,4872,1380,15587,0,0,3957,0,0,0,0
21,0,1,1,ACCEPT,13.4726,2.7944,4091,0,-5,0.2227,276.88,649.64,66.57,32.36,272.00,649.00,58.00,30.00,0.7930,4.92,1,0,2.9259,ACCEPT,0,5399,1360,16591,0,0,4091,0,0,0,0
22,0,1,1,ACCEPT,12.6275,2.3687,5062,0,-3,0.4870,276.88,646.59,66.57,32.36,273.50,646.00,55.00,30.00,0.7660,3.43,1,0,2.8845,ACCEPT,0,5734,1185,18456,0,0,5062,0,0,0,0
23,0,1,1,ACCEPT,12.6273,2.2538,5292,-1,-3,0.4809,274.80,643.55,66.57,32.36,274.00,642.00,56.00,30.00,0.7631,1.74,1,0,2.9193,ACCEPT,0,6212,1185,19801,0,0,5292,0,0,0,0
24,0,1,1,ACCEPT,12.2663,2.2360,4861,0,-3,0.5760,274.80,640.50,66.57,32.36,272.00,638.50,56.00,33.00,0.7522,3.44,1,0,2.9400,ACCEPT,0,6002,1190,17457,0,0,4861,0,0,0,0
25,0,1,1,ACCEPT,13.0001,2.1296,4010,0,-3,0.5289,274.80,637.45,66.57,32.36,272.50,635.50,57.00,31.00,0.7610,3.02,1,0,2.9652,ACCEPT,0,5546,1184,15571,0,0,4010,0,0,0,0
26,0,1,1,ACCEPT,12.1997,1.8106,3605,0,-2,0.7259,274.80,635.42,66.57,32.36,272.00,631.00,60.00,30.00,0.6836,5.23,1,0,2.8971,ACCEPT,0,5122,1123,15879,0,0,3605,0,0,0,0
27,0,1,1,ACCEPT,12.3295,1.6576,3398,0,-4,0.4773,274.80,631.36,66.57,32.36,274.00,627.50,56.00,33.00,0.6758,3.94,1,0,2.9661,ACCEPT,0,5064,1106,17094,0,0,3398,0,0,0,0
28,0,1,1,ACCEPT,13.6367,1.7681,4254,0,-3,0.5559,274.80,628.31,66.57,32.36,273.00,624.00,54.00,32.00,0.6330,4.67,1,0,3.0325,ACCEPT,0,5112,1088,17091,0,0,4254,0,0,0,0
29,0,1,1,ACCEPT,13.4292,1.9369,3775,0,-3,0.5017,274.80,625.27,66.57,32.36,272.00,620.00,52.00,34.00,0.5875,5.96,1,0,2.9722,ACCEPT,0,4372,1061,17465,0,0,3775,0,0,0,0
30,0,1,1,ACCEPT,12.2269,1.7865,3882,0,-3,0.3954,274.80,622.22,66.57,32.36,271.50,616.50,51.00,35.00,0.5674,6.60,1,0,2.9490,ACCEPT,0,5516,1053,16839,0,0,3882,0,0,0,0
31,0,1,1,ACCEPT,11.8223,1.4976,3675,0,-4,0.2797,274.80,618.16,66.57,32.36,271.50,614.50,55.00,35.00,0.6802,4.92,1,0,2.6959,ACCEPT,0,4491,1126,17618,0,0,3675,0,0,0,0
32,0,1,1,ACCEPT,14.6508,2.1431,4582,0,-2,0.6510,274.80,616.12,66.57,32.36,270.00,612.00,56.00,34.00,0.6693,6.33,1,0,2.8557,ACCEPT,0,5295,1004,17752,0,0,4582,0,0,0,0
33,0,1,1,ACCEPT,16.3153,2.4947,4977,0,-3,0.5097,274.80,613.08,66.57,32.36,272.00,610.00,52.00,30.00,0.6486,4.16,1,0,2.8849,ACCEPT,0,4731,1030,18085,0,0,4977,0,0,0,0
34,0,1,1,ACCEPT,17.9436,3.5553,5045,0,-2,0.7758,274.80,611.05,66.57,32.36,270.50,608.50,53.00,29.00,0.6777,4.99,1,0,2.9904,ACCEPT,0,4186,951,19130,0,0,5045,0,0,0,0
35,0,1,1,ACCEPT,16.9242,3.7502,5224,0,-3,0.3095,274.80,608.00,66.57,32.36,269.50,605.00,55.00,28.00,0.6797,6.09,1,0,2.9399,ACCEPT,0,4511,1140,18157,0,0,5224,0,0,0,0
36,0,1,1,ACCEPT,16.2969,3.5263,4690,0,-3,0.4921,274.80,604.95,66.57,32.36,269.00,602.00,54.00,28.00,0.6695,6.51,1,0,2.8532,ACCEPT,0,4242,1076,18553,0,0,4690,0,0,0,0
37,0,1,1,ACCEPT,17.4029,3.6844,4576,0,-3,0.5503,274.80,601.91,66.57,32.36,270.00,599.50,56.00,27.00,0.7019,5.37,1,0,2.9018,ACCEPT,0,3854,1068,19419,0,0,4576,0,0,0,0
38,0,1,1,ACCEPT,15.7689,3.6223,4441,0,-3,0.4301,274.80,598.86,66.57,32.36,270.50,595.50,51.00,25.00,0.5919,5.45,1,0,2.8939,ACCEPT,0,4041,918,21631,0,0,4441,0,0,0,0
39,0,1,1,ACCEPT,14.7716,3.1308,4452,0,-3,0.4973,274.80,595.81,66.57,32.36,269.50,592.50,53.00,27.00,0.6388,6.25,1,0,2.8891,ACCEPT,0,4355,1006,20329,0,0,4452,0,0,0,0
40,0,1,1,ACCEPT,14.9345,3.3737,4514,0,-4,0.3932,274.80,591.75,66.57,32.36,270.50,590.00,49.00,24.00,0.5459,4.64,1,0,2.8791,ACCEPT,0,4474,1007,20804,0,0,4514,0,0,0,0
