frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,297.00,455.50,154.00,229.00,297.00,455.50,154.00,229.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,9521,13446,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,66.3290,15.6756,3527,0,0,1.0000,297.00,455.50,154.00,229.00,298.50,449.50,149.00,217.00,0.9168,6.18,1,0,3.3389,ACCEPT,0,1213,8404,12947,0,0,3527,0,0,0,0
2,0,1,1,ACCEPT,66.4480,17.7989,3364,0,0,1.0000,297.00,455.50,154.00,229.00,294.00,450.00,152.00,218.00,0.9159,6.26,1,0,3.3497,ACCEPT,0,1157,7268,13827,0,0,3364,0,0,0,0
3,0,1,1,ACCEPT,59.2880,12.1779,3422,0,0,1.0000,297.00,455.50,154.00,229.00,294.50,450.50,149.00,217.00,0.9168,5.59,1,0,3.2214,ACCEPT,0,1356,6323,14404,0,0,3422,0,0,0,0
4,0,1,1,ACCEPT,60.6240,14.6349,3688,-1,0,0.9300,292.19,455.50,154.00,229.00,292.00,450.50,150.00,217.00,0.9230,5.00,1,0,3.2271,ACCEPT,0,1462,5703,14132,0,0,3688,0,0,0,0
5,0,1,1,ACCEPT,61.2639,14.1284,3631,0,0,1.0000,292.19,455.50,154.00,229.00,292.50,450.50,149.00,217.00,0.9168,5.01,1,0,3.2966,ACCEPT,0,1425,4986,14593,0,0,3631,0,0,0,0
6,0,1,1,ACCEPT,56.4354,12.4830,3670,0,0,1.0000,292.19,455.50,154.00,229.00,289.50,449.50,149.00,217.00,0.9146,6.57,1,0,3.0038,ACCEPT,0,1481,4684,16859,0,0,3670,0,0,0,0
7,0,1,1,ACCEPT,58.8933,14.0485,4341,-1,0,0.9348,287.38,455.50,154.00,229.00,288.00,449.50,150.00,217.00,0.9230,6.03,1,0,3.2868,ACCEPT,0,1594,4648,18312,0,0,4341,0,0,0,0
8,0,1,1,ACCEPT,63.1127,15.9481,4609,0,0,1.0000,287.38,455.50,154.00,229.00,286.00,449.50,148.00,217.00,0.9107,6.16,1,0,3.2840,ACCEPT,0,1658,4505,18082,0,0,4609,0,0,0,0
9,0,1,1,ACCEPT,59.1451,14.1824,4510,0,0,1.0000,287.38,455.50,154.00,229.00,285.50,449.50,147.00,217.00,0.9045,6.29,1,0,3.0394,ACCEPT,0,1668,4396,18320,0,0,4510,0,0,0,0
10,0,1,1,ACCEPT,58.1128,12.9288,4538,0,0,1.0000,287.38,455.50,154.00,229.00,283.50,449.50,147.00,217.00,0.9001,7.14,1,0,3.0627,ACCEPT,0,1750,4307,19931,0,0,4538,0,0,0,0
11,0,1,1,ACCEPT,58.3499,15.1631,5019,0,0,1.0000,287.38,455.50,154.00,229.00,284.00,450.50,148.00,217.00,0.9063,6.03,1,0,2.9446,ACCEPT,0,1957,4275,20074,0,0,5019,0,0,0,0
12,0,1,1,ACCEPT,60.8214,14.6611,5234,-1,0,0.9228,282.56,455.50,154.00,229.00,283.00,450.50,148.00,217.00,0.9107,5.02,1,0,3.2795,ACCEPT,0,1888,4247,20056,0,0,5234,0,0,0,0
13,0,1,1,ACCEPT,57.8263,11.8707,5235,0,0,1.0000,282.56,455.50,154.00,229.00,283.00,451.00,146.00,218.00,0.9025,4.52,1,0,3.2427,ACCEPT,0,2044,4210,20321,0,0,5235,0,0,0,0
14,0,1,1,ACCEPT,60.4150,12.4475,5452,0,0,1.0000,282.56,455.50,154.00,229.00,280.50,450.50,149.00,217.00,0.9168,5.41,1,0,3.2436,ACCEPT,0,2046,4154,19889,0,0,5452,0,0,0,0
15,0,1,1,ACCEPT,56.8886,11.8202,5260,0,0,1.0000,282.56,455.50,154.00,229.00,280.00,451.50,148.00,217.00,0.9107,4.75,1,0,3.1772,ACCEPT,0,2090,4178,19779,0,0,5260,0,0,0,0
16,0,1,1,ACCEPT,54.6065,10.3859,5141,0,0,1.0000,282.56,455.50,154.00,229.00,280.50,452.50,147.00,217.00,0.9045,3.64,1,0,3.0960,ACCEPT,0,2031,4014,19536,0,0,5141,0,0,0,0
17,0,1,1,ACCEPT,57.3861,13.6830,5309,-1,0,0.9514,277.75,455.50,154.00,229.00,279.50,451.00,149.00,218.00,0.9211,4.83,1,0,2.9912,ACCEPT,0,2169,4009,19406,0,0,5309,0,0,0,0
18,0,1,1,ACCEPT,60.2841,14.0026,5405,0,0,1.0000,277.75,455.50,154.00,229.00,279.00,451.50,150.00,217.00,0.9230,4.19,1,0,3.2077,ACCEPT,0,2121,4009,18907,0,0,5405,0,0,0,0
19,0,1,1,ACCEPT,58.6311,13.5216,5314,0,0,1.0000,277.75,455.50,154.00,229.00,277.50,451.50,151.00,217.00,0.9291,4.01,1,0,3.1212,ACCEPT,0,2200,4010,20081,0,0,5314,0,0,0,0
20,0,1,1,ACCEPT,57.1460,11.0595,5574,0,0,1.0000,277.75,455.50,154.00,229.00,276.50,453.50,151.00,217.00,0.9291,2.36,1,0,3.0494,ACCEPT,0,2251,3944,20245,0,0,5574,0,0,0,0
21,0,1,1,ACCEPT,58.5646,12.6645,5851,0,0,1.0000,277.75,455.50,154.00,229.00,278.50,451.50,153.00,217.00,0.9385,4.07,1,0,3.1683,ACCEPT,0,2265,4015,19870,0,0,5851,0,0,0,0
22,0,1,1,ACCEPT,55.2558,11.3607,5669,0,0,1.0000,277.75,455.50,154.00,229.00,280.00,454.00,152.00,218.00,0.9247,2.70,1,0,3.1023,ACCEPT,0,2302,3890,20420,0,0,5669,0,0,0,0
23,0,1,1,ACCEPT,56.3256,11.8048,5926,0,0,1.0000,277.75,455.50,154.00,229.00,279.50,453.50,151.00,219.00,0.9347,2.66,1,0,3.1238,ACCEPT,0,2264,3937,20130,0,0,5926,0,0,0,0
24,0,1,1,ACCEPT,57.4633,12.4898,6145,0,0,1.0000,277.75,455.50,154.00,229.00,281.00,452.50,152.00,219.00,0.9171,4.42,1,0,3.1836,ACCEPT,0,2364,3949,20246,0,0,6145,0,0,0,0
25,0,1,1,ACCEPT,54.6735,12.4574,5992,2,0,0.5993,287.38,455.50,154.00,229.00,289.50,453.50,149.00,219.00,0.9253,2.92,1,0,3.1074,ACCEPT,0,2532,3839,18594,0,0,5992,0,0,0,0
26,0,1,1,ACCEPT,54.0708,11.7629,5458,1,0,0.8954,292.19,455.50,154.00,229.00,293.50,461.50,149.00,229.00,0.9189,6.14,1,0,3.0269,ACCEPT,0,2183,3869,18392,0,0,5458,0,0,0,0
27,0,1,1,ACCEPT,55.9404,12.8732,5381,1,0,0.8196,297.00,455.50,154.00,229.00,298.00,455.00,148.00,216.00,0.9065,1.12,1,0,2.8071,ACCEPT,0,2083,3841,18803,0,0,5381,0,0,0,0
28,0,1,1,ACCEPT,54.6493,13.4513,5246,1,0,0.9434,301.81,455.50,154.00,229.00,300.00,454.50,148.00,217.00,0.9107,2.07,1,0,3.0358,ACCEPT,0,2139,3889,19091,0,0,5246,0,0,0,0
29,0,1,1,ACCEPT,58.7857,14.5782,5496,0,0,1.0000,301.81,455.50,154.00,229.00,301.00,455.00,150.00,218.00,0.9272,0.95,1,0,2.9944,ACCEPT,0,2167,3892,19637,0,0,5496,0,0,0,0
30,0,1,1,ACCEPT,53.5989,11.1723,5251,0,0,1.0000,301.81,455.50,154.00,229.00,304.00,454.50,150.00,217.00,0.9208,2.41,1,0,2.6973,ACCEPT,0,2244,3800,19241,0,0,5251,0,0,0,0
