frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,59.00,352.00,40.00,40.00,59.00,352.00,40.00,40.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,3114,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,5.4285,1.2300,1337,-4,1,0.3822,54.00,353.25,40.00,40.00,52.50,352.50,43.00,35.00,0.8211,1.68,1,0,2.5270,ACCEPT,0,3643,3308,9875,0,0,1337,0,0,0,0
2,0,1,1,ACCEPT,8.0782,2.2210,613,-7,1,0.0620,45.25,354.50,40.00,40.00,45.50,351.00,47.00,32.00,0.7018,3.51,1,0,2.6644,ACCEPT,0,1492,2535,32767,0,0,613,0,0,0,0
3,0,1,1,ACCEPT,11.6389,2.7472,1967,-6,0,0.2217,37.75,354.50,40.00,40.00,40.50,352.00,51.00,34.00,0.6890,3.72,1,0,2.7691,ACCEPT,0,2052,1676,32767,0,0,1967,0,0,0,0
4,0,1,1,ACCEPT,9.7012,1.9415,1394,-4,2,0.4785,32.75,357.00,38.46,38.46,37.50,352.50,51.00,39.00,0.6119,6.54,1,-1,2.6822,ACCEPT,0,2194,2310,29668,0,0,1394,0,0,0,0
5,0,1,1,ACCEPT,11.9633,2.0993,2538,0,3,0.5039,32.75,360.61,38.46,38.46,39.50,357.00,53.00,40.00,0.6146,7.65,1,0,2.7059,ACCEPT,0,3409,1980,32767,0,0,2538,0,0,0,0
6,0,1,1,ACCEPT,12.1726,2.6079,2647,6,2,0.0903,39.97,363.02,38.46,38.46,43.00,365.00,48.00,40.00,0.7284,3.62,1,0,2.8608,ACCEPT,0,2891,1304,32767,0,0,2647,0,0,0,0
7,0,1,1,ACCEPT,9.9196,2.1195,1863,6,5,0.0537,47.19,369.03,38.46,38.46,52.00,370.00,44.00,38.00,0.7563,4.91,1,0,2.4171,ACCEPT,0,2955,1020,30936,0,0,1863,0,0,0,0
8,0,1,1,ACCEPT,11.3122,2.6624,2311,7,5,0.1294,55.61,375.05,38.46,38.46,58.00,375.00,44.00,40.00,0.8405,2.39,1,0,2.7560,ACCEPT,0,2733,2608,27597,0,0,2311,0,0,0,0
9,0,1,1,ACCEPT,8.4543,1.8823,2462,8,5,0.3412,65.23,381.06,38.46,38.46,66.00,378.50,40.00,39.00,0.8440,2.67,1,0,2.5657,ACCEPT,0,3529,1160,25774,0,0,2462,0,0,0,0
