frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,264.00,438.50,136.00,103.00,264.00,438.50,136.00,103.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,1347,32767,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,52.6283,10.2952,2162,1,-1,0.9343,268.25,435.28,141.44,107.12,266.00,437.00,134.00,104.00,0.9171,2.83,1,1,2.9697,ACCEPT,0,828,1172,32767,0,0,2162,0,0,0,0
2,0,1,1,ACCEPT,40.6786,9.2212,2084,1,1,0.9218,272.67,438.62,136.00,103.00,270.50,437.00,133.00,102.00,0.9384,2.71,1,-1,2.7320,ACCEPT,0,971,962,32767,0,0,2084,0,0,0,0
3,0,1,1,ACCEPT,14.2402,2.2988,1131,3,0,0.5791,285.42,438.62,136.00,103.00,284.00,438.50,120.00,101.00,0.8652,1.43,1,0,2.2869,ACCEPT,0,927,1064,32768,0,0,1131,0,0,0,0
4,0,1,1,ACCEPT,8.2757,1.1969,918,5,5,0.0686,306.67,454.72,130.77,99.04,302.50,445.00,121.00,110.00,0.7756,10.58,1,-1,2.2794,ACCEPT,0,1882,784,32767,0,0,918,0,0,0,0
5,0,1,1,ACCEPT,7.3103,1.6083,928,4,-5,0.1099,323.05,439.25,136.00,103.00,323.00,464.50,100.00,113.00,0.4858,25.25,1,1,3.1387,ACCEPT,0,1756,752,32767,0,0,928,0,0,0,0
6,0,1,1,ACCEPT,6.1390,1.1627,836,2,2,0.1746,331.55,445.69,136.00,103.00,326.00,487.00,90.00,120.00,0.3416,41.68,1,-3,2.3368,MAX_STEP,0,1583,418,32767,0,0,836,0,0,0,0
7,0,1,1,ACCEPT,4.9176,1.0011,915,-3,18,0.4951,318.80,503.62,130.77,99.04,350.50,528.00,87.00,114.00,0.3836,39.99,1,-1,2.3726,ACCEPT,0,2687,367,32767,0,0,915,0,0,0,0
8,0,1,1,ACCEPT,4.6105,1.0484,932,-2,16,0.1384,310.61,553.12,130.77,99.04,353.00,555.50,98.00,87.00,0.4117,42.46,1,-6,1.7130,MAX_STEP,0,3082,248,32767,0,0,932,0,0,0,0
9,0,1,1,ACCEPT,5.3312,1.3353,677,11,7,0.3516,355.64,574.78,130.77,99.04,356.00,572.50,118.00,81.00,0.7380,2.31,1,0,1.8790,LOW_CONF,0,1724,750,32767,0,0,677,0,0,0,0
10,0,1,1,ACCEPT,6.1739,1.1609,2367,-4,-6,0.0689,339.27,556.22,130.77,99.04,357.00,570.00,110.00,94.00,0.5739,22.46,1,-3,1.6121,MAX_STEP,0,4945,625,27444,0,0,2367,0,0,0,0
11,0,1,0,NEGATIVE_PEAK,-4.4320,1.0847,-474,-16,11,0.1414,339.27,556.22,130.77,99.04,358.50,449.00,97.00,74.00,0.0000,108.93,0,0,0.0000,NOT_RUN,0,3017,441,0,0,0,474,0,0,0,0
12,0,1,1,ACCEPT,3.9291,1.1541,337,-9,-7,0.6558,302.42,534.56,136.00,103.00,346.00,376.50,100.00,69.00,0.0000,163.96,1,1,2.7729,ACCEPT,0,1561,289,19070,0,0,337,0,0,0,0
