frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,171.00,259.00,68.00,54.00,171.00,259.00,68.00,54.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,7946,13729,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,13.0417,2.8737,1388,1,-1,0.7457,173.12,257.31,68.00,54.00,173.50,255.50,65.00,55.00,0.8960,1.85,1,0,2.7712,ACCEPT,0,1655,7132,18699,0,0,1388,0,0,0,0
2,0,1,1,ACCEPT,6.4166,1.3998,1628,0,-1,0.8256,173.12,255.62,68.00,54.00,170.50,252.50,69.00,57.00,0.8304,4.08,1,0,2.8217,ACCEPT,0,3988,6160,16271,0,0,1628,0,0,0,0
3,0,1,1,ACCEPT,4.2475,1.0175,989,-1,-3,0.5905,171.00,250.56,70.72,56.16,169.50,250.00,71.00,56.00,0.9399,1.60,1,1,2.5190,ACCEPT,0,3060,5605,22430,0,0,989,0,0,0,0
4,0,1,1,ACCEPT,5.2613,1.2563,1485,-1,-2,0.7461,168.80,247.06,70.72,56.16,167.50,248.00,71.00,56.00,0.9329,1.60,1,0,2.3405,ACCEPT,0,3281,4760,23359,0,0,1485,0,0,0,0
5,0,1,1,ACCEPT,5.2187,1.2700,1364,-1,0,0.8563,166.59,247.06,70.72,56.16,164.00,244.00,68.00,60.00,0.8390,4.01,1,0,2.4598,ACCEPT,0,2729,4545,22013,0,0,1364,0,0,0,0
6,0,1,1,ACCEPT,6.8072,1.5820,1756,-2,-1,0.6532,162.19,245.31,70.72,56.16,160.50,241.50,69.00,65.00,0.8272,4.17,1,0,2.3659,ACCEPT,0,2856,3576,24889,0,0,1756,0,0,0,0
7,0,1,1,ACCEPT,9.0361,1.9898,2348,-1,-1,0.8480,159.98,243.56,73.55,58.41,157.50,240.00,65.00,64.00,0.7956,4.34,1,1,2.6791,ACCEPT,0,3393,3304,26571,0,0,2348,0,0,0,0
8,0,1,1,ACCEPT,9.0935,1.9471,2504,-2,-1,0.4669,155.39,241.73,70.72,56.16,152.00,239.00,64.00,66.00,0.7805,4.36,1,-1,2.4674,ACCEPT,0,3505,2501,32767,0,0,2504,0,0,0,0
9,0,1,1,ACCEPT,8.5701,1.4529,2563,-2,-1,0.4834,150.98,239.98,70.72,56.16,148.50,238.00,69.00,62.00,0.8473,3.18,1,0,2.2321,ACCEPT,0,4101,2079,32767,0,0,2563,0,0,0,0
10,0,1,1,ACCEPT,8.1159,1.3309,2200,-3,-2,0.4295,144.38,236.48,70.72,56.16,143.00,235.00,70.00,62.00,0.8731,2.02,1,0,3.1829,ACCEPT,0,4055,2051,32767,0,0,2200,0,0,0,0
11,0,1,1,ACCEPT,7.0176,1.6095,2139,-3,-2,0.6232,137.77,232.98,70.72,56.16,139.00,231.50,72.00,63.00,0.8619,1.93,1,0,3.2183,ACCEPT,0,4931,1284,32767,0,0,2139,0,0,0,0
12,0,1,1,ACCEPT,8.3863,1.9967,2408,-3,-3,0.4373,131.16,227.73,68.00,54.00,135.00,229.00,70.00,64.00,0.7593,4.05,1,-1,2.0258,ACCEPT,0,5519,1409,30241,0,0,2408,0,0,0,0
13,0,1,1,ACCEPT,9.9378,2.6150,2832,-1,-1,0.8697,129.03,226.05,68.00,54.00,132.00,226.00,72.00,64.00,0.7767,2.97,1,0,2.5950,ACCEPT,0,6470,1152,30771,0,0,2832,0,0,0,0
14,0,1,1,ACCEPT,10.5833,2.5633,2853,-2,0,0.8188,124.78,226.05,70.72,56.16,127.00,223.00,68.00,66.00,0.8042,3.77,1,1,2.5091,ACCEPT,0,6264,1204,32768,0,0,2853,0,0,0,0
15,0,1,1,ACCEPT,11.6438,2.6678,3260,-1,0,0.9067,122.58,226.05,70.72,56.16,123.50,222.00,63.00,66.00,0.7706,4.15,1,0,2.5337,ACCEPT,0,6521,1145,32767,0,0,3260,0,0,0,0
16,0,1,1,ACCEPT,12.0498,3.0576,3290,-1,-1,0.9438,120.38,224.30,70.72,56.16,122.50,222.50,63.00,67.00,0.7601,2.78,1,0,2.3898,ACCEPT,0,6075,1430,32767,0,0,3290,0,0,0,0
17,0,1,1,ACCEPT,11.6046,2.2166,3868,0,0,1.0000,120.38,224.30,70.72,56.16,121.00,221.00,66.00,60.00,0.8378,3.36,1,0,2.5879,ACCEPT,0,7004,1359,32767,0,0,3868,0,0,0,0
18,0,1,1,ACCEPT,11.6648,2.3931,3458,0,1,0.9948,120.38,226.05,68.00,54.00,120.00,221.00,66.00,62.00,0.8187,5.06,1,-1,2.7358,ACCEPT,0,5959,1423,32767,0,0,3458,0,0,0,0
19,0,1,1,ACCEPT,11.5607,2.5751,3824,-1,0,0.9914,118.25,226.05,68.00,54.00,120.00,223.50,66.00,67.00,0.7709,3.09,1,0,2.6868,ACCEPT,0,6027,1277,32768,0,0,3824,0,0,0,0
20,0,1,1,ACCEPT,12.3931,2.6910,3910,0,0,1.0000,118.25,226.05,68.00,54.00,120.50,222.00,67.00,64.00,0.7942,4.63,1,0,2.5202,ACCEPT,0,4686,1096,26707,0,0,3910,0,0,0,0
21,0,1,1,ACCEPT,13.3773,3.2912,3831,0,0,1.0000,118.25,226.05,70.72,56.16,121.50,221.50,69.00,65.00,0.7900,5.59,1,1,2.3690,ACCEPT,0,4579,720,32767,0,0,3831,0,0,0,0
22,0,1,1,ACCEPT,14.1555,3.5706,4399,1,0,0.8782,120.45,226.05,70.72,56.16,121.00,222.00,66.00,66.00,0.8021,4.08,1,0,2.2640,ACCEPT,0,4935,968,32052,0,0,4399,0,0,0,0
