frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,251.00,338.00,198.00,102.00,251.00,338.00,198.00,102.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,4627,21606,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,50.1030,10.5962,2204,0,0,1.0000,251.00,338.00,198.00,102.00,249.50,338.50,201.00,105.00,0.9569,1.58,1,0,3.2035,ACCEPT,0,928,4189,22563,0,0,2204,0,0,0,0
2,0,1,1,ACCEPT,37.5059,6.4206,2061,0,0,1.0000,251.00,338.00,198.00,102.00,248.00,340.00,204.00,110.00,0.9000,3.61,1,0,3.0151,ACCEPT,0,1133,3691,22750,0,0,2061,0,0,0,0
3,0,1,1,ACCEPT,29.6917,6.3062,1936,0,-1,0.9680,251.00,334.81,198.00,102.00,247.00,341.00,206.00,114.00,0.8571,7.37,1,0,2.9561,ACCEPT,0,1227,3058,27122,0,0,1936,0,0,0,0
4,0,1,1,ACCEPT,25.3669,4.8697,2055,0,0,1.0000,251.00,334.81,198.00,102.00,246.00,340.50,204.00,113.00,0.8567,7.57,1,0,2.9055,ACCEPT,0,1494,2714,28139,0,0,2055,0,0,0,0
5,0,1,1,ACCEPT,21.1026,4.1874,1989,0,0,1.0000,251.00,334.81,198.00,102.00,247.00,342.50,204.00,119.00,0.8243,8.67,1,0,2.8892,ACCEPT,0,1553,2294,31076,0,0,1989,0,0,0,0
6,0,1,1,ACCEPT,18.8876,3.9878,1958,0,0,1.0000,251.00,334.81,198.00,102.00,245.00,340.00,206.00,114.00,0.8440,7.93,1,0,2.8831,ACCEPT,0,1626,1725,32767,0,0,1958,0,0,0,0
7,0,1,1,ACCEPT,16.4565,3.4792,1757,0,0,1.0000,251.00,334.81,198.00,102.00,244.00,338.50,208.00,117.00,0.8147,7.91,1,0,2.8746,ACCEPT,0,1460,1712,32767,0,0,1757,0,0,0,0
8,0,1,1,ACCEPT,15.2194,3.6703,1670,0,0,1.0000,251.00,334.81,198.00,102.00,243.50,339.00,209.00,118.00,0.8040,8.59,1,0,2.8080,ACCEPT,0,1633,1587,32767,0,0,1670,0,0,0,0
9,0,1,1,ACCEPT,12.6809,2.5769,1474,0,1,0.9891,251.00,338.00,198.00,102.00,244.00,340.00,208.00,110.00,0.8661,7.28,1,0,2.8603,ACCEPT,0,1688,1484,30935,0,0,1474,0,0,0,0
10,0,1,1,ACCEPT,10.9295,2.3415,1248,-1,0,0.9856,244.81,338.00,205.92,106.08,244.00,337.00,208.00,118.00,0.8900,1.29,1,1,2.5116,ACCEPT,0,1900,1017,32767,0,0,1248,0,0,0,0
11,0,1,1,ACCEPT,12.2192,2.8174,1358,0,0,1.0000,244.81,338.00,205.92,106.08,243.50,336.00,209.00,120.00,0.8710,2.39,1,0,2.5526,ACCEPT,0,1432,1105,32767,0,0,1358,0,0,0,0
12,0,1,1,ACCEPT,10.0699,1.6890,831,0,-2,0.8893,244.81,331.38,205.92,106.08,244.00,338.00,208.00,122.00,0.8608,6.67,1,0,2.7176,ACCEPT,0,1087,999,32138,0,0,831,0,0,0,0
13,0,1,1,ACCEPT,10.5173,2.1821,1198,0,0,1.0000,244.81,331.38,198.00,102.00,244.50,339.00,207.00,118.00,0.8268,7.63,1,-1,2.7351,ACCEPT,0,1523,840,32767,0,0,1198,0,0,0,0
14,0,1,1,ACCEPT,10.2657,1.9800,1091,0,-1,0.9413,244.81,328.19,198.00,102.00,242.50,338.00,211.00,132.00,0.7251,10.08,1,0,2.8465,ACCEPT,0,1326,819,32767,0,0,1091,0,0,0,0
15,0,1,1,ACCEPT,9.6401,1.8107,985,0,-1,0.9726,244.81,325.00,198.00,102.00,244.00,340.00,208.00,138.00,0.7036,15.02,1,0,2.7669,ACCEPT,0,1243,703,32767,0,0,985,0,0,0,0
16,0,1,1,ACCEPT,9.6954,1.8359,940,0,-1,0.9649,244.81,321.81,190.38,98.08,241.00,339.50,214.00,135.00,0.6463,18.09,1,-1,2.7455,ACCEPT,0,1248,648,32767,0,0,940,0,0,0,0
17,0,1,1,ACCEPT,9.1185,1.6809,869,-1,-1,0.9390,238.86,318.75,198.00,102.00,242.00,340.00,212.00,136.00,0.6522,21.48,1,1,2.5653,ACCEPT,0,1355,681,32767,0,0,869,0,0,0,0
18,0,1,1,ACCEPT,10.8768,2.2881,945,0,0,1.0000,238.86,318.75,198.00,102.00,241.00,341.50,210.00,139.00,0.6445,22.85,1,0,2.7094,ACCEPT,0,1307,729,32767,0,0,945,0,0,0,0
19,0,1,1,ACCEPT,10.7403,2.0585,1021,0,-1,0.9344,238.86,315.56,198.00,102.00,242.00,341.50,212.00,135.00,0.6011,26.13,1,0,2.7629,ACCEPT,0,1375,694,32767,0,0,1021,0,0,0,0
20,0,1,1,ACCEPT,11.4626,2.3319,1082,0,-1,0.9750,238.86,312.38,198.00,102.00,241.00,341.50,208.00,133.00,0.5763,29.20,1,0,2.6999,ACCEPT,0,1374,677,32767,0,0,1082,0,0,0,0
21,0,1,1,ACCEPT,11.6973,2.5050,1265,0,0,1.0000,238.86,312.38,190.38,98.08,240.50,341.00,207.00,134.00,0.5591,28.67,1,-1,2.5406,ACCEPT,0,1577,757,32767,0,0,1265,0,0,0,0
22,0,1,1,ACCEPT,10.8489,2.3980,1446,-1,0,0.9799,232.91,312.38,198.00,102.00,241.00,342.50,206.00,131.00,0.5503,31.19,1,1,2.7523,ACCEPT,0,2181,702,32768,0,0,1446,0,0,0,0
23,0,1,1,ACCEPT,10.9671,2.7022,1624,0,-1,0.9858,232.91,309.19,198.00,102.00,235.00,341.50,210.00,133.00,0.5396,32.38,1,0,2.6906,ACCEPT,0,2499,753,32767,0,0,1624,0,0,0,0
24,0,1,1,ACCEPT,11.1766,2.7343,1780,0,0,1.0000,232.91,309.19,190.38,98.08,231.50,340.50,215.00,135.00,0.5156,31.34,1,-1,2.6707,ACCEPT,0,2646,743,32767,0,0,1780,0,0,0,0
25,0,1,1,ACCEPT,9.6950,1.9619,1701,0,0,1.0000,232.91,309.19,190.38,98.08,229.00,341.00,214.00,134.00,0.5121,32.05,1,0,2.8861,ACCEPT,0,3368,730,32767,0,0,1701,0,0,0,0
26,0,1,1,ACCEPT,8.8115,1.6019,1722,-1,0,0.9692,226.95,309.19,190.38,98.08,228.00,340.00,212.00,136.00,0.5280,30.83,1,0,3.0417,ACCEPT,0,3803,749,32767,0,0,1722,0,0,0,0
27,0,1,1,ACCEPT,9.8283,1.8091,2057,0,0,1.0000,226.95,309.19,190.38,98.08,233.00,341.50,206.00,135.00,0.5267,32.87,1,0,3.2809,ACCEPT,0,4103,736,32767,0,0,2057,0,0,0,0
28,0,1,1,ACCEPT,10.4815,2.0050,2426,0,-1,0.9934,226.95,306.12,190.38,98.08,232.00,343.00,204.00,130.00,0.4816,37.22,1,0,3.0742,ACCEPT,0,4494,782,32767,0,0,2426,0,0,0,0
29,0,1,1,ACCEPT,10.7066,2.0739,2555,0,0,1.0000,226.95,306.12,190.38,98.08,230.50,345.00,203.00,130.00,0.4653,39.04,1,0,3.1319,ACCEPT,0,4431,704,32768,0,0,2555,0,0,0,0
30,0,1,1,ACCEPT,10.3956,1.9871,2462,0,0,1.0000,226.95,306.12,190.38,98.08,229.50,346.00,201.00,130.00,0.4602,39.96,1,0,2.9120,ACCEPT,0,4250,654,32767,0,0,2462,0,0,0,0
31,0,1,1,ACCEPT,9.8781,1.8615,2379,0,0,1.0000,226.95,306.12,190.38,98.08,228.50,344.00,201.00,130.00,0.4785,37.91,1,0,2.7236,ACCEPT,0,4002,627,32767,0,0,2379,0,0,0,0
32,0,1,1,ACCEPT,9.3596,2.1812,2371,0,0,1.0000,226.95,306.12,190.38,98.08,228.50,345.00,199.00,126.00,0.4672,38.91,1,0,2.5412,ACCEPT,0,3847,541,32766,0,0,2371,0,0,0,0
33,0,1,1,ACCEPT,10.2061,2.5244,2277,0,0,1.0000,226.95,306.12,190.38,98.08,228.00,345.00,198.00,124.00,0.4660,38.89,1,0,2.3803,ACCEPT,0,3470,584,32767,0,0,2277,0,0,0,0
34,0,1,1,ACCEPT,8.0221,1.3723,2396,-1,0,0.9908,221.00,306.12,190.38,98.08,225.50,344.50,201.00,121.00,0.4601,38.64,1,0,2.6172,ACCEPT,0,4616,2873,26812,0,0,2396,0,0,0,0
35,0,1,1,ACCEPT,8.9374,1.6619,2576,0,0,1.0000,221.00,306.12,190.38,98.08,224.50,345.50,195.00,121.00,0.4578,39.53,1,0,2.4257,ACCEPT,0,4695,734,32767,0,0,2576,0,0,0,0
36,0,1,1,ACCEPT,9.1398,1.8825,1986,0,-1,0.9315,221.00,303.06,190.38,98.08,224.50,348.00,193.00,122.00,0.4088,45.07,1,0,2.4027,ACCEPT,0,3719,679,32767,0,0,1986,0,0,0,0
37,0,1,1,ACCEPT,9.2870,1.6776,2305,0,-1,0.9991,221.00,300.00,190.38,98.08,225.50,349.50,189.00,121.00,0.3655,49.70,1,0,2.6559,ACCEPT,0,4057,808,32766,0,0,2305,0,0,0,0
38,0,1,1,ACCEPT,9.4859,1.6392,2444,0,0,1.0000,221.00,300.00,190.38,98.08,223.50,350.00,189.00,120.00,0.3647,50.06,1,0,2.4925,ACCEPT,0,4005,738,32767,0,0,2444,0,0,0,0
39,0,1,1,ACCEPT,9.3014,1.6758,2517,0,-1,0.9766,221.00,296.94,190.38,98.08,224.00,350.50,188.00,121.00,0.3362,53.65,1,0,2.5988,ACCEPT,0,4243,694,32767,0,0,2517,0,0,0,0
40,0,1,1,ACCEPT,6.8307,1.2456,1785,0,1,0.9978,221.00,300.00,190.38,98.08,223.50,352.50,183.00,119.00,0.3396,52.56,1,0,2.4147,ACCEPT,0,5015,5493,15083,0,0,1785,0,0,0,0
41,0,1,1,ACCEPT,9.9857,2.1790,2861,0,-2,0.8836,221.00,293.88,190.38,98.08,224.00,353.00,184.00,120.00,0.2909,59.20,1,0,2.4946,ACCEPT,0,5015,1480,32767,0,0,2861,0,0,0,0
42,0,1,1,ACCEPT,12.4829,3.0068,4390,0,-1,0.9786,221.00,290.81,190.38,98.08,222.00,353.50,188.00,121.00,0.2701,62.70,1,0,2.5460,ACCEPT,0,6287,1324,32767,0,0,4390,0,0,0,0
43,0,1,1,ACCEPT,13.9255,3.1875,4641,0,0,1.0000,221.00,290.81,190.38,98.08,221.00,355.00,184.00,116.00,0.2454,64.19,1,0,2.4860,ACCEPT,0,6032,1101,32767,0,0,4641,0,0,0,0
44,0,1,1,ACCEPT,14.9937,3.5088,4772,0,-1,0.9971,221.00,287.75,190.38,98.08,222.00,355.00,184.00,116.00,0.2239,67.26,1,0,2.4685,ACCEPT,0,5793,1212,32767,0,0,4772,0,0,0,0
45,0,1,1,ACCEPT,16.4632,3.1829,5115,0,0,1.0000,221.00,287.75,190.38,98.08,220.50,356.50,181.00,111.00,0.2006,68.75,1,0,2.3692,ACCEPT,0,5844,1153,32767,0,0,5115,0,0,0,0
46,0,1,1,ACCEPT,15.6492,3.0882,4830,0,0,1.0000,221.00,287.75,190.38,98.08,219.00,356.00,182.00,110.00,0.2024,68.28,1,0,2.1650,ACCEPT,0,5431,1002,32767,0,0,4830,0,0,0,0
47,0,1,1,ACCEPT,16.4010,3.3692,4855,-1,-1,0.9629,215.05,284.69,183.06,94.30,219.50,357.00,179.00,108.00,0.1617,72.45,1,-1,2.3625,ACCEPT,0,5250,1326,31668,0,0,4855,0,0,0,0
48,0,1,1,ACCEPT,17.1146,3.5272,4924,0,-1,0.9588,215.05,281.73,176.02,90.68,221.00,356.50,174.00,109.00,0.1381,75.00,1,-1,2.6424,ACCEPT,0,5085,1476,31771,0,0,4924,0,0,0,0
49,0,1,1,ACCEPT,17.1061,3.1770,5242,0,0,1.0000,215.05,281.73,176.02,90.68,220.00,358.00,176.00,108.00,0.1272,76.43,1,0,2.7219,ACCEPT,0,5429,1226,32767,0,0,5242,0,0,0,0
50,0,1,1,ACCEPT,19.3221,4.0509,5813,0,-1,0.9231,215.05,278.91,176.02,90.68,218.00,360.50,176.00,107.00,0.0938,81.65,1,0,2.8648,ACCEPT,0,5858,1396,32767,0,0,5813,0,0,0,0
51,0,1,1,ACCEPT,21.3463,3.9572,6284,0,0,1.0000,215.05,278.91,176.02,90.68,219.00,359.50,176.00,105.00,0.0943,80.69,1,0,2.8283,ACCEPT,0,5852,1237,32767,0,0,6284,0,0,0,0
