frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,670.50,911.50,341.00,183.00,670.50,911.50,341.00,183.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,10001,8114,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,13.6675,2.7635,923,-1,-1,0.7952,659.84,905.78,354.64,190.32,669.50,907.50,333.00,177.00,0.8733,9.81,1,1,2.2188,ACCEPT,0,1359,8015,8711,0,0,923,0,0,0,0
2,0,1,1,ACCEPT,11.2486,2.4688,832,1,-2,0.4760,670.92,893.88,341.00,183.00,681.00,888.00,312.00,190.00,0.8626,11.67,1,-1,2.6579,ACCEPT,0,1140,6603,9245,0,0,832,0,0,0,0
3,0,1,1,ACCEPT,8.6488,1.8267,780,1,-1,0.7756,681.58,888.16,327.88,175.96,693.00,872.50,296.00,207.00,0.7777,19.38,1,-1,2.6268,ACCEPT,0,1232,5258,9992,0,0,780,0,0,0,0
4,0,1,1,ACCEPT,7.3641,1.6184,581,0,1,0.9329,681.58,893.66,327.88,175.96,712.00,861.50,278.00,237.00,0.6245,44.27,1,-7,1.5439,MAX_STEP,0,983,5005,10789,0,0,581,0,0,0,0
5,0,1,1,ACCEPT,7.1434,1.4298,682,-1,2,0.5411,671.33,904.66,327.88,175.96,714.50,868.50,279.00,255.00,0.5515,56.31,1,-14,2.2763,MAX_STEP,0,1285,4632,9513,0,0,682,0,0,0,0
6,0,1,1,ACCEPT,7.4503,1.8950,650,0,5,0.2938,671.33,932.16,327.88,175.96,720.00,888.50,266.00,289.00,0.4807,65.38,1,-9,1.3522,MAX_STEP,0,1137,4623,9848,0,0,650,0,0,0,0
7,0,1,1,ACCEPT,7.0962,2.2163,707,0,3,0.1372,671.33,948.66,327.88,175.96,729.00,906.00,262.00,310.00,0.4297,71.73,1,-14,1.9512,MAX_STEP,0,1256,4122,9450,0,0,707,0,0,0,0
8,0,1,1,ACCEPT,5.9040,1.7085,504,0,5,0.3492,671.33,976.16,327.88,175.96,740.00,926.00,244.00,344.00,0.3697,85.04,1,-16,1.7892,AT_SEARCH_RAIL,0,987,3338,10685,0,0,504,0,0,0,0
9,0,1,1,ACCEPT,5.0099,1.0951,380,0,2,0.3237,671.33,987.16,327.88,175.96,739.50,942.50,245.00,353.00,0.3631,81.50,1,-15,1.6013,MAX_STEP,0,1011,2746,10622,0,0,380,0,0,0,0
10,0,1,1,ACCEPT,4.7847,1.0805,349,0,6,0.4069,671.33,1020.16,327.88,175.96,741.50,971.50,235.00,359.00,0.3544,85.39,1,-14,1.9815,MAX_STEP,0,1018,2484,10162,0,0,349,0,0,0,0
11,0,1,1,ACCEPT,5.3486,1.3092,398,-1,4,0.0804,661.08,1042.16,327.88,175.96,745.50,1000.50,247.00,375.00,0.3117,94.14,1,-14,1.8091,MAX_STEP,0,973,2212,12104,0,0,398,0,0,0,0
12,0,1,1,ACCEPT,8.2816,1.8252,752,-2,4,0.0186,640.58,1064.16,327.88,175.96,739.50,1027.50,241.00,379.00,0.2805,105.50,1,-10,1.4906,MAX_STEP,0,1493,2415,12533,0,0,752,0,0,0,0
13,0,1,1,ACCEPT,5.4120,1.5398,542,-2,2,0.5258,620.08,1075.16,327.88,175.96,727.00,1041.50,232.00,369.00,0.2698,112.09,1,10,1.9763,MAX_STEP,0,1792,2585,13005,0,0,542,0,0,0,0
14,0,1,1,ACCEPT,4.6206,1.1543,561,-5,7,0.0856,568.83,1113.66,327.88,175.96,695.50,1053.00,243.00,388.00,0.2252,140.45,1,-10,0.9979,MAX_STEP,0,2408,2826,13554,0,0,561,0,0,0,0
15,0,1,1,ACCEPT,5.1667,1.4373,585,-3,1,0.4923,538.08,1119.16,327.88,175.96,672.50,1055.50,253.00,395.00,0.2109,148.73,1,-3,1.9046,MAX_STEP,0,2439,2982,13043,0,0,585,0,0,0,0
16,0,1,1,ACCEPT,5.4951,1.3841,591,-4,0,0.4755,497.08,1119.16,354.64,190.32,654.00,1045.50,250.00,423.00,0.1901,173.35,1,2,2.2318,ACCEPT,0,2292,2970,12741,0,0,591,0,0,0,0
17,0,1,1,ACCEPT,5.5973,1.0581,492,-1,1,0.9004,486.00,1125.11,383.58,205.85,655.50,1040.00,233.00,438.00,0.1874,189.67,1,2,2.1153,ACCEPT,0,1566,2873,13635,0,0,492,0,0,0,0
18,0,1,1,ACCEPT,5.8313,1.4517,556,-2,4,0.3219,462.03,1150.86,383.58,205.85,654.00,1050.00,224.00,484.00,0.1401,216.85,1,10,2.5273,MAX_STEP,0,1635,2939,13925,0,0,556,0,0,0,0
19,0,1,1,ACCEPT,5.7228,1.4777,498,-1,4,0.6787,450.05,1176.61,383.58,205.85,648.00,1056.00,224.00,500.00,0.1288,231.80,1,10,2.4275,MAX_STEP,0,1527,2955,14165,0,0,498,0,0,0,0
20,0,1,1,ACCEPT,5.5216,1.4318,504,-1,5,0.5496,438.06,1208.80,383.58,205.85,638.00,1077.00,210.00,552.00,0.1140,239.47,1,11,2.5155,MAX_STEP,0,1550,3020,14256,0,0,504,0,0,0,0
21,0,1,1,ACCEPT,5.8589,1.1908,593,-2,7,0.4941,414.09,1253.86,383.58,205.85,630.00,1098.50,206.00,591.00,0.0880,265.99,1,4,1.3929,MAX_STEP,0,1453,3057,14148,0,0,593,0,0,0,0
22,0,1,1,ACCEPT,5.7125,1.1365,558,0,7,0.7258,414.09,1298.92,414.88,222.65,619.50,1123.00,201.00,590.00,0.1213,270.44,1,2,2.2092,ACCEPT,0,1730,3050,13777,0,0,558,0,0,0,0
23,0,1,1,ACCEPT,5.0163,1.0646,527,-1,6,0.4611,401.12,1340.64,414.88,222.65,621.00,1151.50,206.00,609.00,0.1020,290.03,1,16,1.8872,AT_SEARCH_RAIL,0,1919,2949,14375,0,0,527,0,0,0,0
24,0,1,1,ACCEPT,5.0637,1.1727,489,0,11,0.3661,401.12,1417.12,414.88,222.65,629.50,1192.50,213.00,621.00,0.0812,320.33,1,-3,1.3395,MAX_STEP,0,2005,2440,15703,0,0,489,0,0,0,0
25,0,1,1,ACCEPT,5.0521,1.2045,477,1,9,0.6436,414.09,1479.70,414.88,222.65,638.00,1228.50,222.00,659.00,0.0812,336.51,1,-5,1.3084,MAX_STEP,0,2085,2247,17062,0,0,477,0,0,0,0
26,0,1,1,ACCEPT,5.3805,1.1981,496,1,0,0.9778,427.06,1479.70,414.88,222.65,655.50,1262.00,237.00,666.00,0.0950,315.56,1,15,2.4938,MAX_STEP,0,2186,2170,16659,0,0,496,0,0,0,0
27,0,1,1,ACCEPT,6.2411,1.2382,603,0,6,0.6252,427.06,1521.42,414.88,222.65,665.00,1310.50,242.00,681.00,0.0850,317.97,1,15,1.8400,MAX_STEP,0,2258,2286,16347,0,0,603,0,0,0,0
28,0,1,1,ACCEPT,5.0686,1.2324,509,1,11,0.5481,440.03,1597.91,414.88,222.65,685.00,1380.00,242.00,648.00,0.0785,327.86,1,-16,1.7847,AT_SEARCH_RAIL,0,2343,2093,15510,0,0,509,0,0,0,0
29,0,1,1,ACCEPT,5.2467,1.0991,488,1,11,0.6824,453.00,1674.39,414.88,222.65,693.50,1419.50,245.00,669.00,0.0714,350.44,1,-4,1.5618,MAX_STEP,0,2160,1974,17381,0,0,488,0,0,0,0
30,0,1,1,ACCEPT,5.2074,1.0763,550,1,4,0.7036,465.97,1702.20,414.88,222.65,704.50,1450.50,237.00,641.00,0.0689,346.77,1,-14,1.0545,MAX_STEP,0,2322,1797,20533,0,0,550,0,0,0,0
31,0,1,1,ACCEPT,5.9139,1.0031,657,0,-3,0.1568,465.97,1681.34,414.88,222.65,704.00,1449.00,240.00,582.00,0.0701,332.63,1,12,2.3482,MAX_STEP,0,2534,1793,18150,0,0,657,0,0,0,0
32,0,1,1,ACCEPT,6.7074,1.1985,652,0,7,0.0353,465.97,1730.02,414.88,222.65,704.50,1448.00,243.00,528.00,0.0397,369.36,1,-3,1.9357,MAX_STEP,0,2438,1944,18218,0,0,652,0,0,0,0
33,0,1,1,ACCEPT,7.1567,1.2376,698,0,2,0.5960,465.97,1743.92,383.58,205.85,701.50,1452.50,245.00,505.00,0.0255,374.70,1,-2,2.2091,ACCEPT,0,2401,1815,18499,0,0,698,0,0,0,0
34,0,1,1,ACCEPT,7.4167,1.5847,599,1,1,0.7730,477.95,1750.36,383.58,205.85,702.00,1442.00,244.00,448.00,0.0089,381.16,1,-5,1.6951,MAX_STEP,0,2077,1710,12747,0,0,599,0,0,0,0
35,0,1,1,ACCEPT,6.2419,1.0978,404,-2,0,0.6460,453.98,1750.36,383.58,205.85,675.00,1445.00,228.00,444.00,0.0093,376.95,1,-6,1.1737,MAX_STEP,0,1533,2140,11438,0,0,404,0,0,0,0
36,0,1,1,ACCEPT,5.6899,1.0281,403,-3,-2,0.2308,418.03,1737.48,383.58,205.85,642.50,1426.50,239.00,441.00,0.0059,383.53,1,14,1.3603,MAX_STEP,0,1473,2167,10586,0,0,403,0,0,0,0
37,0,1,1,ACCEPT,5.4108,1.1136,343,-3,-3,0.5802,382.08,1718.17,354.64,190.32,611.50,1412.00,245.00,432.00,0.0020,382.59,1,-2,2.6386,ACCEPT,0,1385,2087,10383,0,0,343,0,0,0,0
38,0,1,1,ACCEPT,4.6810,1.1947,313,-5,-6,0.1470,326.69,1682.45,354.64,190.32,549.50,1386.50,241.00,431.00,0.0065,370.45,1,15,1.4323,MAX_STEP,0,1287,2615,9198,0,0,313,0,0,0,0
39,0,1,1,ACCEPT,6.3010,1.2353,399,-2,-3,0.3634,304.53,1664.59,354.64,190.32,525.50,1368.00,223.00,438.00,0.0073,369.86,1,7,1.3330,MAX_STEP,0,1201,2278,9290,0,0,399,0,0,0,0
40,0,1,1,ACCEPT,5.8206,1.3811,366,-2,-2,0.4863,282.38,1652.69,354.64,190.32,524.50,1356.00,237.00,434.00,0.0049,382.95,1,16,1.6598,AT_SEARCH_RAIL,0,1069,2188,11380,0,0,366,0,0,0,0
41,0,1,1,ACCEPT,6.6360,1.3594,435,-2,0,0.8322,260.22,1652.69,354.64,190.32,518.50,1350.00,241.00,432.00,0.0020,397.91,1,-15,1.5709,MAX_STEP,0,1176,2156,12185,0,0,435,0,0,0,0
42,0,1,1,ACCEPT,7.7852,1.5202,564,-2,2,0.6613,238.06,1664.59,354.64,190.32,502.00,1351.00,260.00,478.00,0.0047,409.88,1,-12,1.3102,MAX_STEP,0,1225,2211,11665,0,0,564,0,0,0,0
43,0,1,1,ACCEPT,8.4123,1.5184,577,-1,3,0.6759,226.98,1682.45,354.64,190.32,493.00,1353.00,272.00,514.00,0.0052,423.44,1,-4,1.3986,MAX_STEP,0,1299,1976,11070,0,0,577,0,0,0,0
