frame,occluded,evaluated,accept,reason,psr_bolme,psr_ratio,peak,dr_bin,dc_bin,resp00_over_peak,est_row,est_col,est_h,est_w,truth_row,truth_col,truth_h,truth_w,iou,centre_err,published,scale_idx,scale_conf,scale_reason,rails,accum_max,fch0_max,h_max,job,anchor,resp_max,rails_fch,rails_accum,rails_resp,rails_h
0,0,0,0,ZERO_RESPONSE,0.0000,0.0000,0,0,0,0.0000,176.00,655.00,34.00,30.00,176.00,655.00,34.00,30.00,1.0000,0.00,1,0,0.0000,NOT_RUN,0,0,967,23731,0,0,0,0,0,0,0
1,0,1,1,ACCEPT,25.6899,5.4720,684,0,1,0.8114,176.00,655.94,34.00,30.00,177.00,656.50,36.00,29.00,0.9109,1.15,1,0,3.2113,ACCEPT,0,691,948,23967,0,0,684,0,0,0,0
2,0,1,1,ACCEPT,12.9005,2.9548,588,1,2,0.5187,177.06,657.81,34.00,30.00,177.00,662.00,38.00,26.00,0.6756,4.19,1,0,3.1248,ACCEPT,0,1007,914,32767,0,0,588,0,0,0,0
3,0,1,1,ACCEPT,7.5711,1.3047,912,3,1,0.8257,180.25,658.75,34.00,30.00,178.00,666.50,36.00,23.00,0.4976,8.07,1,0,2.9498,ACCEPT,0,2760,979,27370,0,0,912,0,0,0,0
4,0,1,1,ACCEPT,5.9409,1.2172,1104,5,3,0.5643,185.56,661.56,34.00,30.00,179.50,667.00,37.00,22.00,0.4926,8.14,1,0,2.7257,ACCEPT,0,2754,1015,27871,0,0,1104,0,0,0,0
5,0,1,1,ACCEPT,5.4032,1.0421,1536,-1,4,0.6204,184.50,665.31,32.69,28.85,179.50,669.50,37.00,23.00,0.5664,6.52,1,-1,2.5367,ACCEPT,0,3854,1342,32630,0,0,1536,0,0,0,0
6,0,1,1,ACCEPT,8.1561,1.3505,2628,-1,2,0.7766,183.48,667.12,32.69,28.85,179.50,669.50,37.00,25.00,0.6822,4.64,1,-5,1.9168,MAX_STEP,0,4185,1532,30617,0,0,2628,0,0,0,0
7,0,1,1,ACCEPT,10.1138,1.9550,3392,-3,-3,0.0666,180.44,664.41,31.43,27.74,176.50,666.00,39.00,34.00,0.6522,4.25,1,-1,2.7394,ACCEPT,0,4174,1624,30683,0,0,3392,0,0,0,0
8,0,1,1,ACCEPT,13.5586,2.7048,4582,-1,-4,0.1405,179.45,660.97,31.43,27.74,175.00,663.00,44.00,32.00,0.6192,4.89,1,0,2.8308,ACCEPT,0,4569,1541,32767,0,0,4582,0,0,0,0
9,0,1,1,ACCEPT,8.8176,1.7299,3458,1,-7,0.2209,180.44,654.95,31.43,27.74,174.50,657.50,45.00,27.00,0.5972,6.46,1,-1,1.6999,LOW_CONF,0,5472,1338,32767,0,0,3458,0,0,0,0
10,0,1,1,ACCEPT,6.0852,1.2304,3039,3,1,0.0852,183.39,655.81,31.43,27.74,175.00,647.50,38.00,27.00,0.3593,11.81,1,-4,2.3801,MAX_STEP,0,7272,1690,23455,0,0,3039,0,0,0,0
11,0,1,1,ACCEPT,5.4458,1.0197,2692,4,-8,0.3637,187.33,648.94,30.23,26.67,174.50,639.50,37.00,31.00,0.2601,15.93,1,-1,2.0357,ACCEPT,0,5363,1359,21442,0,0,2692,0,0,0,0
12,0,1,1,ACCEPT,7.7450,1.3291,2698,2,-2,0.3944,189.20,647.28,30.23,26.67,172.50,633.50,35.00,35.00,0.1542,21.65,1,0,2.4428,ACCEPT,0,6167,2379,14946,0,0,2698,0,0,0,0
13,0,1,1,ACCEPT,7.1190,1.1141,2383,-2,-3,0.0235,187.33,644.80,30.23,26.67,171.50,637.50,39.00,39.00,0.2597,17.43,1,0,2.9336,ACCEPT,0,4944,2655,16654,0,0,2383,0,0,0,0
14,0,1,0,NEGATIVE_PEAK,-7.3323,1.2765,-3038,-12,-2,0.5520,187.33,644.80,30.23,26.67,170.00,645.00,36.00,40.00,0.2307,17.33,0,0,0.0000,NOT_RUN,0,6867,3282,0,0,0,3038,0,0,0,0
15,0,1,1,ACCEPT,6.6853,1.0822,2646,-6,4,0.2389,181.70,648.11,30.23,26.67,169.50,650.00,37.00,46.00,0.2948,12.35,1,5,2.5643,MAX_STEP,0,6541,3340,10195,0,0,2646,0,0,0,0
16,0,1,1,ACCEPT,7.4426,1.1707,2421,0,13,0.1813,181.70,658.88,27.95,24.66,171.00,659.50,36.00,39.00,0.3343,10.72,1,-2,2.1320,ACCEPT,0,4689,2054,15915,0,0,2421,0,0,0,0
17,0,1,1,ACCEPT,5.9325,1.2141,1633,-1,17,0.2149,180.83,671.89,27.95,24.66,168.50,671.00,35.00,34.00,0.3355,12.36,1,8,1.6557,MAX_STEP,0,4140,1825,14308,0,0,1633,0,0,0,0
18,0,1,1,ACCEPT,5.7654,1.2182,1396,1,20,0.5688,181.70,687.20,26.87,23.71,169.50,686.50,43.00,33.00,0.3553,12.22,1,-1,2.2952,ACCEPT,0,3214,1752,16064,0,0,1396,0,0,0,0
19,0,1,1,ACCEPT,5.3600,1.4448,877,-7,6,0.4173,175.80,691.61,27.95,24.66,166.50,707.50,47.00,25.00,0.1547,18.41,1,1,2.6671,ACCEPT,0,3420,2942,7493,0,0,877,0,0,0,0
20,0,1,1,ACCEPT,6.0621,1.1451,513,-7,22,0.0507,169.67,708.45,27.95,24.66,165.50,723.00,41.00,48.00,0.2972,15.13,1,0,2.8349,ACCEPT,0,1789,2601,8207,0,0,513,0,0,0,0
21,0,1,1,ACCEPT,12.1878,1.3297,1605,-5,16,0.1782,165.30,720.70,27.95,24.66,162.50,730.00,31.00,48.00,0.4329,9.71,1,0,2.9701,ACCEPT,0,2193,685,25422,0,0,1605,0,0,0,0
22,0,1,1,ACCEPT,9.0573,1.8176,907,0,15,0.0154,165.30,732.19,27.95,24.66,164.00,748.00,34.00,42.00,0.3008,15.87,1,0,3.1445,ACCEPT,0,2480,861,8736,0,0,907,0,0,0,0
23,0,1,1,ACCEPT,10.1760,1.3974,742,3,14,0.1092,167.92,742.91,27.95,24.66,165.50,756.50,39.00,41.00,0.3071,13.81,1,0,2.8767,ACCEPT,0,1825,1493,4395,0,0,742,0,0,0,0
24,0,1,1,ACCEPT,7.9945,1.0922,1007,-1,6,0.0546,167.05,747.50,27.95,24.66,165.50,755.50,45.00,41.00,0.3735,8.15,1,0,2.4123,ACCEPT,0,2331,3098,6520,0,0,1007,0,0,0,0
25,0,1,1,ACCEPT,7.7966,1.2840,1650,2,8,0.4727,168.80,753.62,27.95,24.66,163.50,749.00,51.00,38.00,0.3556,7.03,1,0,3.3042,ACCEPT,0,3423,2258,11071,0,0,1650,0,0,0,0
